pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
683.334776,337.835179,704.837973,371.095641,888.430972,547.985452,918.024438,606.938829
692.610389,342.774090,716.805718,376.665951,897.170000,551.710000,931.435780,611.208646
702.073388,348.450152,727.837438,382.709211,907.060000,555.960000,944.847122,615.745327
711.270000,354.140000,740.447805,389.649874,916.800000,560.950000,958.020000,621.850000
720.830000,360.860000,751.980000,397.430000,926.810000,566.200000,970.990000,628.250000
729.670000,368.110000,763.770000,405.560000,936.390000,571.740000,983.950000,634.930000
738.200000,375.770000,774.970000,413.970000,945.150000,577.900000,996.830000,641.730000
746.370000,383.410000,786.560000,422.280000,953.250000,584.240000,1009.870000,648.200000
754.230000,391.030000,797.520000,430.740000,961.240000,590.310000,1022.730000,654.720000
761.960000,398.110000,808.630000,438.640000,968.690000,596.580000,1035.770000,660.250000
769.710000,405.330000,819.700000,445.940000,976.540000,601.960000,1042.500347,669.211181
777.190000,411.530000,830.810000,452.780000,983.870000,607.010000,1054.001217,675.330751
785.220000,417.180000,842.040000,459.050000,991.350000,611.540000,1066.171944,679.686701
793.330000,422.170000,853.490000,464.700000,999.420000,615.270000,1078.994673,684.042650
801.580000,426.810000,865.430000,469.670000,1007.650000,618.460000,1091.817403,687.373670
810.210000,430.960000,877.700000,474.160000,1016.360000,621.070000,1105.074801,690.363047
819.300000,434.520000,890.540000,477.990000,1025.370000,623.360000,1118.223533,692.839960
828.860000,437.420000,903.970000,480.960000,1034.550000,625.180000,1131.263597,695.146050
839.180000,439.500000,918.570000,483.210000,1044.780000,626.230000,1143.760325,697.964606
850.200000,441.250000,933.470000,485.030000,1055.300000,626.690000,1161.590806,698.135427
861.480000,442.590000,948.690000,486.720000,1066.290000,626.980000,1177.299449,698.733303
873.080000,444.030000,964.540000,488.190000,1077.470000,627.260000,1192.729449,699.416589
885.000000,445.510000,980.290000,490.410000,1088.960000,627.870000,1209.453456,700.356108
896.970000,447.580000,996.390000,492.720000,1100.330000,628.790000,1226.152785,702.064323
909.000000,450.200000,1012.610000,495.740000,1112.340000,629.880000,1241.967367,703.629336
921.320000,453.120000,1029.260000,499.230000,1124.470000,631.410000,1260.278709,705.705168
934.260000,456.380000,1046.240000,503.220000,1137.240000,633.330000,1278.413981,708.334556
947.260000,460.240000,1063.290000,507.670000,1150.150000,635.900000,1296.380000,710.890000
960.330000,464.430000,1080.260000,512.810000,1163.060000,638.840000,1313.800000,714.700000
973.310000,469.120000,1097.170000,518.280000,1176.010000,642.120000,1331.020000,719.110000
986.370000,474.000000,1113.970000,523.940000,1189.000000,645.350000,1347.970000,724.050000
999.300000,478.840000,1130.590000,529.500000,1201.920000,648.970000,1364.990000,728.690000
1012.410000,483.380000,1146.850000,534.640000,1214.870000,652.370000,1382.050000,732.940000
1025.620000,487.270000,1162.820000,539.400000,1227.900000,655.400000,1399.030000,736.720000
1038.950000,490.840000,1178.750000,543.580000,1241.020000,657.770000,1415.950000,739.720000
1052.040000,493.640000,1194.620000,546.710000,1254.100000,659.580000,1432.920000,742.010000
1065.190000,495.910000,1210.550000,548.630000,1267.320000,660.930000,1449.830000,743.250000
1078.540000,497.030000,1225.790000,550.160000,1281.100000,661.290000,1466.750000,743.700000
1092.350000,497.430000,1240.990000,550.840000,1295.070000,660.770000,1483.640000,743.180000
1106.160000,497.020000,1256.200000,550.400000,1309.090000,659.860000,1500.620000,741.810000
1120.000000,495.980000,1271.310000,549.340000,1323.230000,658.110000,1517.660000,739.410000
1134.140000,494.000000,1286.360000,547.310000,1337.290000,656.170000,1534.250000,736.560000
1148.100000,491.660000,1301.490000,544.350000,1351.670000,653.290000,1550.620000,733.330000
1162.250000,488.590000,1317.190000,540.630000,1366.510000,649.660000,1566.700000,729.690000
1176.290000,485.530000,1332.750000,536.570000,1381.480000,645.980000,1582.620000,725.750000
1190.390000,482.020000,1347.590000,532.550000,1396.360000,642.190000,1598.650000,721.620000
1204.320000,478.870000,1362.130000,528.760000,1411.120000,638.430000,1614.420000,717.620000
1218.230000,475.850000,1376.510000,525.080000,1425.930000,635.060000,1629.760000,713.750000
1232.200000,473.070000,1390.810000,522.060000,1440.910000,632.010000,1644.890000,710.860000
1246.260000,470.950000,1405.020000,519.990000,1455.950000,629.450000,1659.970000,709.120000
1260.420000,469.810000,1419.090000,519.260000,1470.850000,627.690000,1674.780000,708.600000
1275.130000,469.240000,1433.120000,519.200000,1486.030000,627.020000,1690.140000,708.590000
1289.980000,469.370000,1447.360000,519.920000,1501.330000,626.710000,1705.280000,709.290000
1304.920000,470.160000,1462.120000,521.280000,1517.050000,627.400000,1721.090000,710.890000
1319.670000,471.810000,1476.980000,523.300000,1532.920000,628.360000,1737.330000,712.450000
1333.820000,474.060000,1491.720000,525.740000,1548.670000,630.050000,1753.140000,714.930000
1347.730000,476.800000,1505.620000,528.450000,1563.690000,632.180000,1768.830000,717.410000
1361.170000,479.730000,1518.880000,531.530000,1578.080000,634.910000,1784.640000,719.360000
1374.010000,483.300000,1531.280000,535.390000,1591.980000,637.860000,1794.672561,726.376580
1386.500000,486.840000,1543.300000,539.230000,1605.270000,641.370000,1806.470000,731.910000
1398.640000,490.230000,1554.660000,543.260000,1617.910000,645.220000,1818.230000,737.670000
1410.620000,494.070000,1561.256989,551.198533,1630.550000,649.060000,1830.330000,743.000000
1422.590000,498.200000,1573.555451,556.607117,1642.800000,653.460000,1842.450000,747.800000
1434.750000,502.260000,1583.218529,562.015701,1654.860000,658.260000,1855.530000,753.060000
1446.920000,506.680000,1595.370581,567.194132,1667.200000,663.370000,1869.010000,758.250000
1459.310000,511.960000,1607.083403,573.293174,1679.870000,668.750000,1882.240000,764.600000
1472.070000,517.740000,1619.240000,579.380000,1692.990000,674.300000,1895.970000,771.240000
1484.770000,523.550000,1631.590000,586.480000,1706.350000,680.300000,1909.950000,778.390000
1497.350000,529.230000,1644.600000,594.130000,1720.160000,686.490000,1923.930000,786.470000
1511.110000,535.250000,1657.710000,601.890000,1733.920000,693.170000,1937.920000,795.030000
1525.080000,541.210000,1671.160000,609.540000,1747.690000,699.360000,1951.950000,803.440000
1538.660000,546.930000,1684.820000,616.090000,1760.920000,705.730000,1965.860000,811.760000
1551.950000,552.210000,1697.980000,622.200000,1774.150000,711.190000,1979.890000,818.950000
1564.990000,556.480000,1711.140000,627.000000,1787.290000,715.850000,1993.900000,825.210000
1578.230000,559.370000,1724.210000,630.640000,1800.530000,719.520000,2007.930000,830.260000
1591.170000,561.480000,1737.270000,633.180000,1813.970000,722.070000,2021.940000,833.310000
1604.030000,562.430000,1750.420000,633.800000,1826.890000,723.510000,2035.780000,835.130000
1616.830000,562.360000,1763.530000,634.190000,1839.640000,724.090000,2049.210000,835.960000
1629.390000,561.550000,1776.330000,632.500000,1851.690000,724.200000,2062.020000,836.230000
1640.900000,560.300000,1788.220000,630.810000,1863.640000,723.630000,2074.150000,835.970000
1652.760000,558.060000,1799.560000,628.630000,1875.490000,722.340000,2085.790000,835.280000
1664.160000,555.690000,1810.640000,626.040000,1886.710000,720.870000,2097.410000,833.920000
1675.470000,552.840000,1821.650000,623.050000,1897.730000,719.120000,2108.680000,832.260000
1686.440000,549.910000,1832.500000,619.710000,1908.510000,717.220000,2119.710000,830.300000
1696.970000,547.120000,1842.950000,616.060000,1918.710000,715.800000,2130.840000,828.040000
1707.870000,544.280000,1853.180000,613.110000,1928.820000,714.430000,2141.780000,826.060000
1718.690000,541.590000,1863.310000,610.320000,1938.830000,713.050000,2152.710000,824.070000
1728.770000,539.490000,1873.210000,608.200000,1948.770000,711.920000,2163.710000,821.970000
1738.480000,537.750000,1883.130000,606.210000,1958.640000,710.520000,2172.632627,823.826394
1747.540000,536.740000,1893.110000,604.470000,1968.470000,709.460000,2182.130000,824.330000
1756.500000,536.260000,1903.403312,602.956914,1977.460000,708.990000,2192.050000,824.110000
1765.050000,536.020000,1911.409646,602.956914,1986.190000,708.740000,2201.880000,823.860000
1773.300000,535.690000,1921.017246,602.817073,1994.270000,708.870000,2211.500000,823.870000
1781.500000,535.080000,1930.091090,602.817073,2002.000000,709.190000,2220.630000,824.130000
1789.400000,535.090000,1938.631180,602.817073,2009.310000,709.830000,2229.670000,824.350000
1796.770000,535.070000,1947.705024,602.956914,2015.950000,710.630000,2237.320000,825.650000
1803.990000,534.950000,1955.889276,602.257708,2022.830000,711.030000,2244.970000,826.940000
1811.120000,534.800000,1965.141039,601.978025,2029.680000,711.140000,2253.110000,827.580000
1818.160000,534.550000,1972.079862,601.838184,2036.560000,710.630000,2261.310000,827.920000
1825.280000,533.740000,1980.619951,600.999136,2042.730000,710.040000,2269.370000,827.900000
1832.190000,532.660000,1989.871714,599.460882,2048.710000,709.310000,2277.410000,827.760000
1838.890000,531.200000,1999.479314,597.083581,2054.150000,708.250000,2285.140000,827.250000
1844.510000,529.660000,2006.879563,595.374818,2058.480000,706.700000,2293.180000,824.780000
1849.220000,527.650000,2014.602610,593.443391,2061.920000,704.810000,2301.060000,821.330000
1852.410000,525.730000,2020.219372,590.960128,2064.240000,702.600000,2308.660000,817.190000
1854.730000,523.670000,2025.836133,588.200947,2065.750000,699.820000,2310.045239,814.738219
1856.310000,521.210000,2031.101848,584.614012,2066.030000,697.060000,2313.310000,812.180000
1856.920000,518.480000,2035.665467,581.302995,2065.280000,694.100000,2316.020000,809.310000
1856.590000,515.750000,2038.122800,577.991977,2063.510000,691.130000,2318.710000,804.900000
1855.110000,512.980000,2040.580133,574.405042,2060.610000,688.070000,2320.000000,800.740000
1852.510000,510.270000,2040.229085,571.645861,2056.990000,685.000000,2319.211849,797.021458
1848.890000,507.940000,2040.229085,568.610762,2052.310000,681.880000,2318.240000,792.750000
