pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
537.737146,532.999961,661.703840,615.309988,352.871143,349.684182,473.567369,419.282890
539.190000,532.820000,661.930000,614.740000,354.590000,348.690000,474.320000,417.540000
541.190000,532.470000,662.170000,614.500000,357.030000,347.160000,475.230000,415.920000
544.050000,531.710000,663.300000,613.730000,359.830000,345.590000,476.700000,414.130000
547.380000,530.840000,664.880000,612.830000,363.160000,343.880000,478.350000,412.430000
550.890000,529.740000,666.760000,611.730000,366.530000,342.030000,479.970000,410.930000
554.690000,528.580000,669.623810,610.139938,370.140000,340.160000,481.750000,408.960000
558.630000,526.810000,671.920000,608.610000,373.790000,338.170000,483.160000,407.030000
562.530000,525.070000,674.063793,606.520903,377.030000,336.090000,484.900000,404.670000
566.180000,523.180000,675.830000,605.050000,380.670000,333.710000,486.350000,402.220000
569.700000,521.330000,677.867061,603.169322,383.810000,331.130000,487.960000,399.320000
572.630000,519.360000,679.210000,600.920000,386.690000,328.490000,489.070000,396.540000
575.310000,517.620000,680.070000,598.960000,389.310000,325.820000,489.770000,393.830000
577.450000,516.090000,679.831365,596.721329,391.640000,323.070000,490.330000,391.130000
579.340000,514.820000,680.110000,595.170000,393.550000,320.590000,490.380000,388.790000
580.920000,513.150000,678.989520,594.303332,394.970000,318.520000,489.980000,386.820000
582.470000,511.980000,678.380000,592.950000,396.010000,316.770000,489.330000,385.250000
583.670000,511.000000,678.050000,592.030000,396.690000,315.480000,488.540000,384.020000
584.760000,510.450000,677.680000,591.180000,397.090000,314.670000,487.700000,383.050000
585.700000,510.300000,675.060912,592.086834,397.820000,314.030000,486.720000,382.250000
586.510000,510.270000,673.530000,592.500000,398.120000,313.490000,485.620000,381.810000
587.000000,510.500000,672.430000,592.650000,398.700000,313.150000,484.270000,381.600000
587.690000,510.970000,671.280000,592.850000,398.830000,313.050000,482.760000,381.370000
588.090000,511.180000,670.100000,593.000000,398.970000,312.830000,481.110000,381.220000
588.720000,511.380000,668.820000,593.110000,399.110000,312.570000,479.580000,380.940000
588.720000,511.950000,667.240000,593.200000,399.350000,311.810000,478.180000,380.310000
588.880000,512.100000,665.470000,593.200000,399.930000,310.810000,476.810000,379.330000
588.980000,512.030000,663.650000,593.070000,399.970000,309.880000,475.150000,378.170000
589.130000,511.700000,661.830000,592.750000,399.930000,308.770000,473.540000,377.000000
589.520000,510.790000,660.200000,591.760000,399.850000,307.490000,471.800000,375.760000
590.280000,509.570000,659.070000,590.470000,399.960000,305.780000,470.090000,374.220000
591.180000,508.000000,658.090000,588.890000,400.250000,303.910000,468.940000,372.230000
592.050000,506.720000,657.240000,587.160000,400.920000,301.810000,468.350000,369.810000
593.210000,505.070000,656.560000,585.380000,402.120000,299.580000,468.190000,367.170000
594.480000,503.300000,656.140000,583.950000,403.420000,296.950000,468.040000,364.760000
595.980000,501.790000,656.140000,581.960000,405.170000,294.190000,468.140000,362.100000
597.480000,499.910000,656.320000,579.990000,406.970000,291.540000,468.370000,359.560000
599.670000,497.960000,656.990000,578.010000,408.810000,289.290000,469.010000,357.260000
602.270000,495.940000,658.320000,576.000000,410.790000,287.180000,469.970000,355.100000
605.080000,494.170000,659.650000,574.250000,413.150000,285.240000,471.270000,353.010000
608.010000,492.680000,661.330000,572.740000,416.000000,283.160000,473.000000,350.980000
611.070000,491.410000,663.270000,571.360000,419.190000,281.250000,474.980000,349.090000
614.190000,490.120000,665.390000,570.080000,422.070000,279.640000,476.900000,347.360000
617.470000,488.920000,667.680000,568.850000,425.030000,278.260000,478.930000,346.050000
621.210000,487.600000,670.440000,567.640000,428.210000,277.030000,481.180000,344.800000
625.340000,486.060000,673.830000,566.020000,431.700000,275.860000,483.840000,343.610000
629.710000,484.920000,677.840000,564.300000,435.550000,274.770000,487.090000,342.130000
634.500000,483.690000,682.150000,563.080000,439.820000,273.720000,490.550000,341.030000
639.850000,482.180000,686.470000,562.040000,444.510000,272.620000,494.580000,339.990000
645.410000,481.160000,691.510000,561.030000,449.630000,271.690000,499.090000,338.980000
651.230000,480.200000,696.840000,560.170000,455.280000,270.770000,504.080000,338.130000
657.290000,479.480000,702.680000,559.410000,461.290000,269.950000,509.600000,337.310000
663.400000,479.170000,708.670000,559.200000,467.570000,269.230000,515.560000,336.620000
669.830000,479.030000,715.130000,559.080000,474.320000,268.670000,521.730000,336.260000
676.480000,478.990000,721.430000,559.140000,481.180000,268.400000,528.140000,336.050000
683.300000,479.010000,728.280000,559.150000,487.970000,268.450000,534.400000,336.250000
690.160000,479.000000,735.260000,559.340000,494.760000,268.650000,541.070000,336.450000
697.090000,479.230000,742.290000,559.790000,501.550000,269.270000,547.730000,337.170000
703.950000,479.770000,749.180000,560.790000,507.870000,270.350000,554.010000,338.270000
710.670000,480.730000,756.060000,562.180000,514.160000,271.710000,560.430000,339.700000
716.910000,482.170000,763.040000,563.380000,520.250000,273.470000,566.930000,341.310000
723.220000,483.370000,769.850000,565.090000,526.160000,275.390000,572.990000,343.340000
729.400000,484.960000,776.510000,566.910000,532.120000,277.360000,579.020000,345.440000
735.380000,486.330000,782.760000,568.880000,537.890000,279.400000,584.820000,347.880000
740.670000,488.180000,788.740000,570.890000,543.390000,281.520000,590.560000,350.140000
745.790000,490.120000,794.710000,572.950000,548.160000,284.130000,595.850000,352.640000
750.680000,492.100000,800.450000,575.030000,552.600000,287.010000,600.910000,355.580000
755.330000,494.180000,805.920000,577.290000,556.770000,289.940000,605.920000,358.540000
759.780000,496.410000,811.000000,580.160000,560.910000,292.980000,610.820000,361.660000
763.830000,499.110000,816.070000,583.040000,564.900000,296.130000,615.480000,365.240000
767.870000,501.820000,821.230000,585.990000,568.720000,299.480000,619.790000,369.190000
772.060000,504.620000,826.610000,589.020000,572.510000,303.320000,624.190000,373.330000
776.480000,507.220000,832.280000,592.110000,575.950000,307.470000,629.020000,377.530000
781.140000,510.200000,838.170000,595.320000,579.520000,312.090000,633.880000,382.040000
785.910000,513.310000,843.940000,599.070000,583.550000,316.550000,638.990000,386.250000
790.680000,516.520000,849.750000,602.950000,587.920000,320.680000,644.170000,390.900000
794.930000,520.260000,855.560000,606.890000,592.510000,324.760000,649.590000,395.220000
799.200000,524.040000,861.050000,610.900000,597.190000,328.840000,655.080000,399.760000
803.500000,527.740000,867.010000,614.740000,601.920000,332.800000,660.850000,403.970000
808.300000,530.940000,872.980000,618.620000,606.600000,336.890000,666.680000,408.180000
813.140000,534.090000,879.150000,622.110000,611.020000,340.980000,672.390000,412.470000
817.950000,537.340000,885.250000,626.080000,615.760000,344.980000,678.300000,416.920000
822.630000,540.990000,891.260000,630.060000,620.720000,348.890000,684.440000,421.010000
827.010000,544.750000,898.455470,634.005259,625.970000,352.760000,690.910000,424.970000
831.640000,548.000000,905.101552,638.261653,630.960000,356.590000,697.220000,429.030000
836.630000,551.140000,912.825378,641.744157,636.190000,360.110000,703.960000,432.950000
841.960000,554.180000,919.651083,644.968698,641.350000,364.040000,710.850000,437.040000
847.230000,557.330000,927.195285,647.548331,647.060000,367.910000,717.850000,441.040000
853.010000,560.350000,934.380238,651.933707,652.950000,371.730000,725.120000,445.150000
859.050000,563.300000,942.360764,655.984889,658.940000,375.580000,732.680000,449.130000
865.280000,566.280000,950.971671,658.850271,665.360000,379.000000,740.730000,453.120000
871.850000,569.010000,959.792600,661.414034,672.130000,382.650000,749.180000,456.920000
878.840000,571.580000,967.983463,664.128607,679.310000,385.840000,758.080000,460.430000
886.550000,573.530000,977.644481,666.089131,686.950000,388.850000,767.340000,463.610000
894.520000,575.240000,988.030000,668.050000,694.890000,391.560000,777.150000,466.400000
902.940000,576.510000,999.066738,670.010181,703.390000,393.800000,787.190000,468.790000
911.880000,577.200000,1010.070000,671.020000,712.200000,395.760000,797.620000,470.810000
921.150000,577.280000,1021.410000,671.590000,721.140000,397.380000,808.330000,472.400000
930.360000,577.210000,1033.030000,671.560000,730.250000,398.420000,819.350000,473.180000
940.060000,576.380000,1044.890000,670.940000,739.610000,398.870000,830.400000,473.610000
949.740000,575.210000,1056.720000,669.690000,749.150000,398.750000,841.460000,473.550000
959.000000,573.660000,1068.180000,668.230000,758.730000,398.080000,852.780000,472.610000
968.080000,571.830000,1079.480000,666.420000,767.930000,397.180000,863.810000,471.300000
977.030000,569.780000,1090.430000,664.290000,777.130000,395.520000,874.770000,469.410000
985.700000,567.530000,1100.960000,661.920000,786.120000,393.690000,885.210000,467.470000
994.060000,564.950000,1111.220000,659.530000,794.910000,391.590000,895.110000,465.500000
1002.110000,562.120000,1121.020000,656.590000,803.140000,389.580000,904.560000,463.400000
1009.830000,559.190000,1130.340000,653.750000,810.610000,387.650000,913.620000,460.980000
1017.210000,556.380000,1139.420000,650.890000,817.710000,385.690000,922.220000,458.970000
1023.840000,554.040000,1148.300000,648.020000,824.590000,383.830000,930.520000,457.100000
1030.370000,551.900000,1156.860000,645.490000,831.320000,382.120000,938.630000,455.340000
1036.750000,550.060000,1165.030000,643.800000,837.760000,380.880000,946.720000,454.250000
1043.120000,548.480000,1173.190000,642.590000,843.970000,380.370000,954.590000,453.730000
1049.480000,547.540000,1181.460000,641.710000,850.110000,380.390000,962.420000,453.780000
1056.120000,546.930000,1189.960000,641.410000,856.270000,380.880000,969.960000,454.470000
1062.860000,546.780000,1198.360000,641.740000,863.769952,381.363096,977.840000,455.870000
1069.630000,547.320000,1207.060000,642.670000,870.830000,382.220000,985.970000,457.680000
1076.260000,548.440000,1215.930000,644.060000,877.670000,384.070000,994.130000,460.080000
1083.280000,549.870000,1224.950000,645.980000,884.630000,386.640000,1002.410000,463.100000
1090.490000,551.690000,1234.170000,648.350000,891.730000,389.660000,1011.150000,466.460000
1098.120000,553.800000,1243.550000,651.310000,898.900000,393.180000,1020.040000,470.290000
1105.850000,556.270000,1253.290000,654.170000,906.210000,397.020000,1029.020000,474.290000
1113.470000,558.970000,1262.920000,657.160000,913.490000,400.850000,1038.050000,478.320000
1120.780000,561.580000,1272.380000,660.020000,921.090000,404.330000,1046.910000,482.170000
1128.100000,563.770000,1281.590000,662.860000,928.750000,407.500000,1055.620000,485.950000
1135.270000,565.810000,1290.560000,665.420000,935.870000,410.580000,1063.960000,489.550000
1142.280000,567.810000,1299.470000,667.750000,942.920000,413.410000,1072.280000,492.720000
1149.300000,569.570000,1308.090000,669.810000,949.950000,415.830000,1080.860000,495.450000
1156.340000,570.800000,1316.840000,671.530000,956.950000,418.000000,1088.890000,497.820000
1163.250000,571.800000,1325.500000,672.750000,963.830000,419.970000,1096.960000,499.970000
1170.140000,572.720000,1333.780000,673.880000,970.660000,421.770000,1104.890000,501.800000
1176.940000,573.360000,1341.850000,674.810000,977.290000,423.230000,1112.590000,503.540000
1183.740000,573.540000,1349.980000,675.320000,983.690000,424.430000,1120.020000,504.780000
1190.520000,573.500000,1357.980000,675.510000,989.930000,425.370000,1127.620000,505.610000
1197.000000,573.330000,1365.950000,675.280000,996.210000,425.830000,1134.960000,506.200000
1203.780000,572.730000,1373.850000,674.720000,1002.610000,425.880000,1142.140000,506.500000
1210.340000,571.760000,1381.630000,673.780000,1009.050000,425.730000,1149.430000,506.140000
1216.790000,570.760000,1389.000000,672.700000,1015.160000,425.490000,1156.690000,505.400000
1223.010000,569.550000,1396.190000,671.540000,1021.250000,424.610000,1163.570000,504.570000
1229.420000,567.950000,1403.710000,669.730000,1027.290000,423.770000,1170.500000,503.560000
1236.200000,566.290000,1411.190000,668.150000,1033.610000,422.800000,1177.090000,502.700000
1242.790000,565.110000,1418.570000,666.900000,1040.120000,421.690000,1184.020000,501.590000
1248.980000,564.120000,1425.500000,665.890000,1046.820000,420.710000,1190.720000,500.580000
1255.250000,563.050000,1432.530000,664.880000,1052.850000,419.870000,1196.970000,499.880000
1261.910000,561.980000,1439.580000,663.940000,1058.910000,419.250000,1203.290000,499.440000
1268.520000,561.390000,1446.750000,663.270000,1065.080000,419.200000,1209.960000,499.200000
1275.190000,561.280000,1453.740000,663.300000,1071.250000,419.240000,1216.490000,499.300000
1282.030000,561.210000,1460.750000,663.350000,1077.460000,419.690000,1222.730000,500.040000
1289.070000,561.270000,1467.850000,663.740000,1084.030000,420.490000,1228.760000,501.280000
1296.160000,561.480000,1475.050000,664.510000,1090.650000,421.470000,1234.940000,502.570000
1303.290000,562.170000,1482.140000,665.440000,1097.000000,422.690000,1241.110000,504.160000
1310.420000,563.080000,1489.140000,666.400000,1103.380000,424.100000,1247.200000,505.730000
1317.620000,563.850000,1496.000000,667.550000,1110.110000,425.030000,1253.380000,506.790000
1324.580000,564.690000,1502.640000,668.820000,1116.840000,425.920000,1259.700000,507.590000
1331.520000,565.330000,1508.930000,669.780000,1123.310000,426.790000,1265.660000,508.210000
1338.260000,565.890000,1515.240000,670.780000,1129.660000,427.650000,1271.360000,509.160000
1345.350000,566.210000,1521.810000,671.640000,1135.960000,428.450000,1276.980000,510.020000
1352.300000,566.990000,1529.112080,671.860714,1142.430000,428.840000,1282.770000,510.690000
1359.340000,567.630000,1535.570000,672.230000,1149.170000,428.950000,1288.610000,510.910000
1366.510000,567.870000,1541.880000,673.070000,1156.050000,429.010000,1294.280000,511.090000
1373.980000,568.050000,1548.120000,673.940000,1163.010000,428.900000,1300.280000,511.060000
1381.260000,568.320000,1554.360000,674.740000,1170.030000,428.780000,1306.320000,510.950000
1388.480000,568.900000,1560.810000,675.190000,1177.080000,428.480000,1312.320000,510.670000
1395.690000,568.940000,1567.030000,675.280000,1184.110000,427.850000,1318.260000,509.970000
1402.910000,568.770000,1573.280000,674.840000,1191.010000,426.980000,1324.010000,509.020000
1409.890000,568.520000,1579.130000,674.610000,1197.930000,425.810000,1329.720000,507.740000
1416.760000,567.860000,1584.660000,673.970000,1204.730000,424.260000,1334.950000,506.000000
1423.450000,567.040000,1589.750000,673.100000,1211.330000,422.310000,1340.000000,503.770000
1429.670000,566.110000,1594.550000,672.060000,1217.600000,419.920000,1344.790000,501.460000
1435.630000,565.100000,1598.880000,671.030000,1223.500000,417.720000,1349.390000,498.700000
1441.410000,563.920000,1603.030000,669.750000,1229.020000,415.220000,1353.660000,495.860000
1446.940000,562.660000,1607.160000,668.200000,1234.680000,412.820000,1357.770000,493.030000
1452.710000,560.880000,1611.320000,666.260000,1239.990000,410.160000,1361.740000,490.100000
1458.310000,559.050000,1615.640000,663.970000,1245.080000,407.870000,1365.640000,487.150000
1464.140000,557.140000,1619.850000,661.970000,1250.240000,405.540000,1369.590000,484.190000
1469.890000,555.300000,1624.000000,660.020000,1255.620000,402.790000,1373.590000,481.240000
1475.780000,553.260000,1628.340000,657.970000,1261.150000,400.080000,1377.660000,478.420000
1481.820000,551.350000,1633.170000,655.940000,1266.950000,397.340000,1381.870000,476.050000
1488.060000,549.460000,1638.510000,653.990000,1272.900000,395.230000,1386.330000,473.980000
1494.550000,548.150000,1644.530000,652.030000,1279.110000,393.190000,1391.800000,471.740000
1501.760000,546.940000,1651.060000,650.390000,1285.960000,391.240000,1397.970000,469.600000
1509.220000,545.880000,1657.920000,649.390000,1293.660000,389.120000,1405.260000,466.940000
1517.390000,545.050000,1665.900000,648.730000,1302.140000,387.130000,1413.540000,464.460000
1526.140000,544.410000,1674.650000,648.530000,1311.684744,385.381382,1422.550000,462.680000
1535.520000,544.400000,1684.016326,648.634693,1321.760000,383.900000,1432.420000,461.400000
1545.720000,544.710000,1695.402527,648.721672,1332.670000,382.680000,1442.940000,460.580000
1556.380000,545.170000,1706.120000,649.230000,1343.630000,382.320000,1453.670000,460.410000
1567.240000,545.690000,1717.320000,650.020000,1354.860000,382.310000,1464.290000,460.450000
1578.340000,545.820000,1728.530000,650.730000,1365.770000,382.400000,1475.060000,460.670000
1589.120000,546.010000,1739.620000,651.010000,1376.590000,382.380000,1485.390000,460.920000
1599.490000,546.220000,1749.920000,651.440000,1386.830000,382.260000,1495.420000,460.820000
1609.100000,546.390000,1758.899698,652.560236,1396.580000,382.070000,1504.710000,460.680000
1617.750000,546.870000,1767.687462,652.682352,1405.380000,381.930000,1513.120000,460.580000
1626.070000,546.860000,1776.770000,653.090000,1413.660000,381.660000,1521.270000,459.810000
1633.780000,546.710000,1784.405861,652.328253,1421.630000,380.920000,1528.930000,458.890000
1641.450000,546.300000,1792.216281,651.596723,1429.250000,380.000000,1536.280000,458.010000
1648.660000,545.630000,1799.500000,651.230000,1436.430000,379.060000,1543.250000,457.020000
