pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y,pt4_cam1_X,pt4_cam1_Y,pt4_cam2_X,pt4_cam2_Y,pt5_cam1_X,pt5_cam1_Y,pt5_cam2_X,pt5_cam2_Y,pt6_cam1_X,pt6_cam1_Y,pt6_cam2_X,pt6_cam2_Y,pt7_cam1_X,pt7_cam1_Y,pt7_cam2_X,pt7_cam2_Y,pt8_cam1_X,pt8_cam1_Y,pt8_cam2_X,pt8_cam2_Y,pt9_cam1_X,pt9_cam1_Y,pt9_cam2_X,pt9_cam2_Y,pt10_cam1_X,pt10_cam1_Y,pt10_cam2_X,pt10_cam2_Y,pt11_cam1_X,pt11_cam1_Y,pt11_cam2_X,pt11_cam2_Y,pt12_cam1_X,pt12_cam1_Y,pt12_cam2_X,pt12_cam2_Y,pt13_cam1_X,pt13_cam1_Y,pt13_cam2_X,pt13_cam2_Y,pt14_cam1_X,pt14_cam1_Y,pt14_cam2_X,pt14_cam2_Y,pt15_cam1_X,pt15_cam1_Y,pt15_cam2_X,pt15_cam2_Y,pt16_cam1_X,pt16_cam1_Y,pt16_cam2_X,pt16_cam2_Y,pt17_cam1_X,pt17_cam1_Y,pt17_cam2_X,pt17_cam2_Y,pt18_cam1_X,pt18_cam1_Y,pt18_cam2_X,pt18_cam2_Y,pt19_cam1_X,pt19_cam1_Y,pt19_cam2_X,pt19_cam2_Y,pt20_cam1_X,pt20_cam1_Y,pt20_cam2_X,pt20_cam2_Y,pt21_cam1_X,pt21_cam1_Y,pt21_cam2_X,pt21_cam2_Y,pt22_cam1_X,pt22_cam1_Y,pt22_cam2_X,pt22_cam2_Y,pt23_cam1_X,pt23_cam1_Y,pt23_cam2_X,pt23_cam2_Y,pt24_cam1_X,pt24_cam1_Y,pt24_cam2_X,pt24_cam2_Y,pt25_cam1_X,pt25_cam1_Y,pt25_cam2_X,pt25_cam2_Y,pt26_cam1_X,pt26_cam1_Y,pt26_cam2_X,pt26_cam2_Y,pt27_cam1_X,pt27_cam1_Y,pt27_cam2_X,pt27_cam2_Y,pt28_cam1_X,pt28_cam1_Y,pt28_cam2_X,pt28_cam2_Y,pt29_cam1_X,pt29_cam1_Y,pt29_cam2_X,pt29_cam2_Y,pt30_cam1_X,pt30_cam1_Y,pt30_cam2_X,pt30_cam2_Y,pt31_cam1_X,pt31_cam1_Y,pt31_cam2_X,pt31_cam2_Y,pt32_cam1_X,pt32_cam1_Y,pt32_cam2_X,pt32_cam2_Y
1266.0,542.0,768.0,696.5,1375.0,555.5,903.0,700.0,1477.0,555.5,835.5,704.0,1515.0,546.5,936.0,689.0,1100.0,622.5,1486.0,561.5,1202.0,629.5,1537.0,367.0,1285.0,670.0,1515.0,471.0,1316.0,688.5,1538.0,330.25,755.0,509.5,655.5,603.5,858.5,523.0,807.0,627.5,950.0,535.0,731.0,616.5,1000.5,518.0,847.5,614.5,1801.0,231.25,1134.0,620.5,1709.0,241.125,1322.0,642.0,1606.0,260.0,1228.0,626.0,1550.0,258.0,1367.0,643.5,710.5,752.0,679.5,822.0,660.0,688.0,560.5,734.5,693.0,613.5,604.5,797.0,737.0,592.5,585.5,708.5,1817.0,151.5,1596.0,231.75,1734.0,139.125,1421.0,228.5,1643.0,153.125,1502.0,229.875,1605.0,163.0,1383.0,238.5,859.5,618.0,958.5,702.5,945.0,619.5,1132.0,708.0,1021.0,616.0,1051.0,710.0,1050.0,630.0,1167.0,719.0,1706.0,451.5,1544.0,310.5,1737.0,345.25,1345.0,335.0,1756.0,260.5,1439.0,329.0,1765.0,206.5,1306.0,359.25
1266.0,542.0,768.0,697.5,1375.0,555.5,903.0,702.5,1477.0,558.5,835.5,704.0,1515.0,548.5,936.0,690.0,1100.0,625.0,1486.0,566.5,1202.0,629.5,1537.0,374.0,1285.0,670.0,1516.0,474.75,1316.0,696.5,1539.0,333.5,755.0,509.5,655.5,604.0,858.5,523.0,807.0,628.0,952.0,538.5,731.0,616.5,1000.5,518.0,847.5,618.0,1806.0,231.75,1134.0,622.0,1715.0,241.125,1322.0,642.0,1607.0,260.25,1228.0,626.0,1559.0,270.25,1367.0,649.5,722.5,752.0,685.0,822.5,660.0,699.5,560.5,742.5,693.0,617.5,605.0,797.0,737.0,600.0,585.5,709.0,1819.0,153.375,1600.0,232.375,1741.0,140.875,1425.0,228.5,1643.0,153.25,1508.0,230.0,1611.0,167.5,1388.0,238.5,859.5,618.0,958.5,702.5,945.0,620.0,1132.0,708.0,1021.0,616.0,1051.0,711.0,1051.0,630.0,1167.0,719.0,1706.0,459.25,1549.0,310.5,1737.0,347.25,1349.0,335.0,1756.0,267.75,1441.0,329.0,1767.0,213.875,1307.0,359.25
1266.0,542.0,768.0,698.0,1375.0,555.5,903.0,703.0,1477.0,559.0,835.5,704.0,1515.0,551.0,936.0,692.5,1100.0,630.0,1486.0,574.0,1202.0,629.5,1537.0,379.25,1285.0,670.0,1516.0,483.0,1316.0,696.5,1541.0,339.75,755.0,509.5,655.5,604.5,858.5,523.0,807.0,628.5,952.0,539.0,731.0,616.5,1000.5,518.0,847.5,621.5,1808.0,232.125,1134.0,622.5,1718.0,241.125,1322.0,642.0,1610.0,260.25,1228.0,626.0,1562.0,275.75,1367.0,652.5,735.5,752.0,687.0,822.5,660.5,707.5,560.5,745.5,693.0,622.5,606.0,800.5,737.0,607.0,585.5,712.5,1822.0,154.5,1601.0,233.0,1742.0,142.375,1428.0,228.5,1648.0,153.25,1509.0,230.125,1611.0,167.5,1396.0,238.5,859.5,618.0,958.5,702.5,945.0,621.0,1132.0,708.5,1021.0,616.0,1051.0,711.0,1051.0,630.0,1167.0,719.0,1706.0,463.25,1550.0,310.5,1737.0,349.0,1353.0,335.0,1756.0,268.25,1446.0,329.0,1767.0,214.5,1310.0,359.25
1260.0,540.5,767.0,698.0,1370.0,553.5,900.0,706.5,1470.0,563.5,832.0,704.0,1510.0,553.0,932.5,692.5,1099.0,632.0,1485.0,580.5,1198.0,628.0,1535.0,385.25,1281.0,663.5,1516.0,485.75,1308.0,696.5,1545.0,343.5,752.0,506.25,651.5,604.5,853.0,522.0,802.5,628.5,950.0,539.0,730.5,615.5,997.0,516.0,845.0,626.0,1814.0,232.75,1130.0,622.5,1718.0,240.625,1319.0,640.0,1615.0,260.25,1226.0,626.0,1563.0,280.25,1362.0,654.5,743.5,751.0,694.0,822.5,661.5,710.0,560.0,752.0,681.0,623.0,608.5,803.0,727.5,611.5,574.5,714.0,1825.0,156.625,1605.0,233.0,1743.0,142.875,1430.0,228.5,1652.0,153.125,1516.0,230.125,1611.0,167.5,1396.0,230.5,856.0,616.5,950.0,700.0,941.5,621.0,1130.0,708.5,1017.0,614.5,1039.0,711.5,1050.0,625.5,1167.0,709.0,1704.0,472.75,1554.0,307.5,1735.0,362.25,1355.0,333.0,1756.0,270.0,1447.0,329.0,1770.0,232.625,1312.0,358.0
1255.0,540.5,762.5,698.5,1369.0,552.5,896.0,709.5,1468.0,566.5,830.0,702.0,1507.0,554.0,932.0,698.0,1088.0,632.0,1483.0,583.5,1195.0,628.0,1535.0,393.25,1280.0,656.0,1516.0,491.5,1303.0,695.5,1545.0,348.75,747.5,506.0,647.0,605.0,845.0,519.5,801.5,628.5,947.5,539.0,728.0,615.0,991.5,516.0,840.0,630.5,1817.0,233.0,1127.0,622.5,1726.0,239.25,1314.0,639.0,1616.0,259.0,1222.0,625.5,1568.0,280.5,1357.0,655.5,748.0,751.0,699.0,823.0,669.0,716.5,559.5,761.0,665.0,629.5,612.0,804.0,711.0,615.0,564.0,724.0,1830.0,157.375,1610.0,233.375,1747.0,143.0,1433.0,228.25,1656.0,147.0,1517.0,230.125,1619.0,167.0,1397.0,228.25,853.0,616.0,946.5,697.5,938.5,621.0,1121.0,708.5,1015.5,614.5,1034.0,711.5,1048.0,617.5,1162.0,702.5,1702.0,477.75,1559.0,305.5,1735.0,365.75,1355.0,331.5,1758.0,276.75,1455.0,328.25,1772.0,243.5,1312.0,347.75
1254.0,540.5,760.5,700.5,1366.0,551.5,893.0,710.5,1466.0,568.0,827.0,701.0,1501.0,555.0,930.5,701.5,1084.0,632.0,1479.0,589.5,1190.0,628.0,1534.0,397.25,1275.0,648.5,1515.0,496.5,1300.0,684.5,1546.0,358.0,743.5,505.25,646.5,605.5,843.5,519.0,799.5,628.0,943.5,537.0,728.0,613.0,989.5,516.0,837.5,633.5,1819.0,233.125,1122.0,623.0,1726.0,239.25,1312.0,639.0,1617.0,254.625,1215.0,625.0,1578.0,280.5,1352.0,656.0,755.0,751.0,705.0,822.5,674.0,722.5,559.5,767.0,650.0,633.5,615.0,808.5,695.0,615.5,558.0,733.0,1833.0,157.75,1613.0,233.375,1751.0,143.0,1437.0,228.25,1661.0,144.5,1518.0,230.0,1623.0,161.5,1399.0,228.25,846.5,614.5,939.0,695.0,935.0,621.0,1114.0,713.5,1010.5,614.5,1028.0,711.5,1047.0,614.0,1153.0,702.5,1700.0,484.5,1561.0,304.75,1731.0,378.0,1359.0,331.5,1758.0,285.0,1456.0,328.25,1772.0,249.25,1313.0,344.25
1247.0,541.0,755.5,700.5,1356.0,549.5,892.0,710.5,1459.0,568.5,825.5,700.5,1498.0,560.0,928.5,707.5,1081.0,630.0,1476.0,594.0,1177.0,628.5,1532.0,403.0,1272.0,637.5,1514.0,501.25,1300.0,670.5,1547.0,363.0,742.0,505.25,642.0,610.5,841.0,518.0,799.5,628.0,942.5,536.5,728.0,612.0,986.0,516.5,833.0,637.5,1822.0,233.375,1120.0,624.5,1728.0,239.25,1308.0,638.5,1623.0,251.75,1214.0,623.5,1579.0,280.5,1346.0,655.5,758.5,751.0,707.0,822.0,675.0,723.5,560.0,773.5,639.5,641.0,619.5,811.5,677.0,616.0,552.5,741.0,1838.0,160.0,1614.0,233.375,1756.0,143.25,1437.0,228.25,1667.0,141.875,1524.0,230.0,1624.0,156.375,1399.0,228.25,846.0,614.0,935.5,695.0,932.0,621.0,1111.0,719.0,1007.5,616.5,1023.5,710.5,1044.0,611.5,1147.0,702.5,1699.0,490.25,1563.0,302.5,1731.0,381.5,1362.0,331.5,1758.0,290.0,1460.0,330.0,1772.0,249.875,1316.0,336.0
1242.0,541.5,752.0,701.5,1352.0,548.0,888.5,710.5,1456.0,568.5,819.0,700.0,1495.0,563.5,921.0,714.5,1072.0,626.0,1468.0,596.5,1173.0,629.0,1528.0,408.0,1267.0,632.5,1514.0,507.25,1299.0,656.5,1546.0,372.25,735.0,505.25,640.0,619.0,840.5,516.5,798.0,628.0,937.0,536.5,735.5,612.0,984.0,519.5,827.5,637.5,1824.0,233.375,1115.0,624.5,1730.0,239.875,1305.0,637.5,1624.0,249.125,1210.0,623.0,1583.0,276.25,1341.0,655.5,764.0,751.0,712.0,822.0,679.5,730.5,560.0,777.0,632.5,646.5,625.0,813.0,660.0,617.0,549.5,747.0,1838.0,160.0,1618.0,233.875,1758.0,145.125,1437.0,228.25,1671.0,140.625,1532.0,230.0,1624.0,151.125,1399.0,228.25,842.5,614.0,926.0,695.0,926.0,620.5,1103.0,719.5,1005.0,617.0,1014.5,709.0,1040.0,609.0,1141.0,707.5,1697.0,497.5,1567.0,302.0,1730.0,386.75,1365.0,332.5,1758.0,296.5,1467.0,329.75,1767.0,261.75,1318.0,332.25
1242.0,542.0,751.0,701.5,1352.0,546.0,884.5,708.5,1449.0,568.5,817.5,700.0,1492.0,565.5,917.0,715.0,1062.0,624.0,1463.0,598.5,1162.0,629.5,1520.0,415.5,1262.0,632.5,1514.0,515.5,1299.0,645.0,1545.0,377.0,734.0,505.25,639.0,624.5,836.0,515.0,797.5,628.0,934.5,536.0,735.5,610.5,980.0,526.0,823.0,638.5,1829.0,233.125,1113.0,624.5,1732.0,240.5,1302.0,636.5,1629.0,247.625,1208.0,623.0,1584.0,270.5,1337.0,654.0,774.5,751.5,716.5,822.0,681.0,731.5,567.0,786.0,622.0,651.5,629.0,815.5,645.0,621.0,545.5,757.5,1842.0,160.0,1622.0,234.25,1761.0,147.75,1437.0,228.25,1672.0,140.625,1533.0,230.5,1627.0,150.25,1399.0,228.25,841.5,614.0,922.0,695.5,923.0,620.5,1094.0,720.0,1000.5,620.5,1009.5,706.0,1036.0,609.0,1136.0,715.0,1695.0,503.5,1569.0,301.0,1729.0,395.75,1369.0,335.25,1758.0,301.75,1471.0,329.75,1767.0,266.75,1323.0,329.25
1236.0,542.0,748.5,702.0,1345.0,546.0,878.5,706.5,1447.0,568.0,816.0,700.0,1489.0,565.5,910.5,715.0,1060.0,620.5,1454.0,600.0,1161.0,629.5,1520.0,420.75,1257.0,632.5,1514.0,523.5,1297.0,628.5,1531.0,385.25,728.0,505.75,638.0,630.0,828.5,511.5,797.5,628.0,927.0,536.0,735.5,610.0,978.5,532.0,820.5,642.0,1832.0,230.75,1107.0,624.5,1735.0,243.375,1300.0,636.0,1630.0,245.5,1203.0,623.0,1584.0,265.75,1337.0,654.0,777.5,751.0,720.5,822.0,686.0,733.5,567.5,790.5,620.5,661.5,631.5,817.0,632.5,623.5,543.5,763.5,1848.0,159.125,1624.0,234.75,1766.0,148.25,1437.0,228.25,1677.0,140.625,1533.0,230.5,1632.0,146.25,1399.0,228.25,837.0,614.0,913.5,699.0,919.0,619.5,1087.0,720.0,997.5,624.0,1001.5,704.0,1032.0,609.0,1129.0,722.5,1694.0,506.75,1573.0,301.0,1728.0,398.0,1374.0,338.5,1757.0,309.0,1472.0,329.75,1767.0,268.25,1326.0,329.25
