scorer,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,859.547,620.23,1,946.258,618.118,0.999989986,1020.638,616.826,0.999989986,1055.256,632.743,1,1705.03,452.849,0.999970019,1733.743,351.62,0.990310013,1754.53,263.076,,1760.28074,211.5986229,1,757.031,509.44,1,858.008,525.939,0.999050021,954.601,538.211,1,999.349,519.457,0.999989986,1267.739,539.895,1,1372.545,554.168,0.999960005,1479.014,556.292,0.999069989,1518.284,546.291,0.999989986,710.536,755.329,1,659.728,682.381,0.996580005,693.738,614.055,0.999960005,737.913,593.366,1,1815.351,151.642,0.999989986,1728.268,143.235,0.999989986,1648.92,153.717,0.999930024,1606.265,164.826,0.891269982,1101.728,624.584,1,1205.194,632.534,0.999800026,1286.176,670.956,0.999660015,1319.452,690.695,0.999989986,1804.016,230.543,0.999979973,1704.274,241.597,0.999989986,1607.483,259.697,1,1548.446,258.879,0.999989986
1,859.547,620.23,1,946.258,618.691,0.999989986,1020.638,616.826,0.999979973,1055.256,632.743,1,1705.03,455.945,0.999909997,1733.917,358.475,0.996190012,1755.561,264.73,0.222749993,1756.085221,221.4804022,1,757.031,509.44,1,858.008,525.939,0.999289989,954.601,538.211,0.999989986,999.349,519.457,0.999989986,1267.739,539.895,1,1372.545,554.168,0.999819994,1479.014,557.116,0.999939978,1518.284,549.509,1,723.685,755.329,0.999979973,660.23,688.504,0.999180019,693.738,621.02,0.999970019,737.913,604.522,1,1818.183,154.394,1,1735.769,144.056,0.999979973,1651.385,153.717,0.999899983,1611.351,171.019,0.999069989,1101.728,626.927,1,1205.194,632.534,0.999859989,1286.176,670.956,0.996020019,1319.452,696.517,0.999960005,1806.703,232.959,0.999899983,1709.043,241.619,0.999949992,1607.521,261.233,0.999989986,1552.118,269.885,0.999979973
2,859.547,620.23,1,946.258,619.841,1,1020.638,616.826,0.999899983,1055.256,632.743,1,1705.03,466.743,0.999960005,1733.917,363.848,0.997370005,1756.434,265.868,0.996909976,1767.501,218.3391424,1,757.031,509.44,1,858.008,525.939,0.999040008,954.601,538.211,0.999989986,999.349,519.457,0.999979973,1267.739,539.96,1,1372.545,554.168,0.999939978,1479.014,560.998,0.999989986,1518.284,552.088,1,734.893,755.329,0.999920011,661.003,695.462,0.998880029,693.738,623.798,0.998759985,737.913,606.967,0.999960005,1824.087,154.706,0.999989986,1739.507,144.709,0.999989986,1653.766,153.717,0.999740005,1618.611,171.019,0.999830008,1101.728,629.961,1,1205.194,632.534,0.999710023,1286.176,670.956,0.992900014,1319.452,696.517,0.999759972,1809.626,233.431,0.999880016,1712.245,241.619,0.999840021,1610.085,261.233,0.999989986,1558.974,275.574,0.999949992
3,857.731,618.734,1,942.22,621.525,0.999979973,1018.077,615.422,0.999880016,1053.114,627.983,1,1703.37,472.142,0.999840021,1733.748,367.813,0.997420013,1755.92,265.868,0.928439975,1770.438,226.187662,1,754.074,506.534,1,851.222,524.81,0.999779999,951.419,537.139,0.999989986,996.468,517.488,1,1260.204,540.049,1,1367.664,552.7,0.999819994,1472.245,564.547,0.999979973,1512.884,554.085,1,743.47,753.839,0.999710023,661.003,708.145,0.999920011,680.948,624.402,0.999939978,728.54,613.053,0.999989986,1827.81,155.819,1,1741.968,144.85,1,1658.282,148.811,0.999249995,1618.611,171.019,0.999930024,1096.839,629.961,1,1198.47,630.413,0.999859989,1280.658,663.996,0.999170005,1312.167,696.517,0.999899983,1812.949,234.089,0.999939978,1715.753,241.597,0.999909997,1612.44,261.233,0.999989986,1564.376,282.975,0.999930024
4,852.045,615.858,1,940.051,621.525,1,1016.637,615.422,0.999639988,1051.382,621.494,1,1702.752,477.816,0.999989986,1733.743,373.543,0.999199986,1756.434,275.501,0.990260005,1767.20874,246.0622207,1,747.885,505.993,1,848.15,524.728,0.999870002,948.874,537.139,1,991.312,517.488,0.999979973,1256.618,540.049,1,1363.755,552.221,0.999819994,1467.008,565.758,1,1508.491,554.524,1,751.726,751.661,0.999870002,661.504,711.038,0.999549985,666.882,627.318,0.999679983,709.256,613.974,0.999989986,1830.398,155.819,1,1746.242,144.864,0.999960005,1660.491,146.457,0.999450028,1621.802,168.534,0.999960005,1089.782,629.961,1,1191.84,630.116,0.999970019,1278.632,654.839,0.999880016,1304.143,695.006,0.99970001,1815.575,234.55,0.999840021,1718.435,241.597,0.999840021,1616.846,260.632,0.999970019,1567.631,284.547,0.999979973
5,847.436,615.053,1,936.5,621.525,1,1012.513,615.422,0.999729991,1047.618,615.532,0.999949992,1699.844,484.666,0.999970019,1731.304,382.485,0.998730004,1757.044,284.8,0.946380019,1771.251,256.203,0.980099976,745.422,505.876,1,845,523.228,0.999639988,945.679,536.836,1,988.504,517.488,1,1253.091,540.049,1,1361.614,551.369,0.999710023,1462.516,566.919,0.999989986,1505.097,558.378,1,756.672,751.661,0.999970019,667.075,715.298,0.999459982,652.339,637.43,0.999830008,694.776,614.659,1,1833.934,157.19,1,1748.278,145.989,0.999989986,1661.617,144.522,0.999880016,1622.102,164.7,0.999989986,1085.13,629.935,1,1186.004,630.116,0.999979973,1275.426,649.761,0.999840021,1303.225,684.453,0.999960005,1819.275,235.122,0.999729991,1721.185,241.619,0.99970001,1620.284,257.271,0.999920011,1572.267,284.547,0.999989986
6,846.256,613.875,1,932.763,620.673,1,1010.105,616.867,0.999750018,1045.247,609.849,1,1699.097,489.244,0.999989986,1730.606,388.504,0.999539971,1757.276,291.102,0.990140021,1771.251,259.835,0.997189999,740.902,504.547,1,840.892,519.789,0.998929977,944.032,536.836,0.999960005,986.342,518.463,1,1249.305,540.297,1,1356.405,550.786,0.999890029,1459.26,568.407,1,1500.145,558.38,1,762.771,751.383,0.99980998,670.384,719.197,0.999840021,641.474,638.034,0.999670029,676.694,615.785,1,1836.299,157.19,1,1751.286,146.021,0.999989986,1663.926,143.292,0.999759972,1623.45,159.918,0.999970019,1078.074,627.988,1,1179.354,630.116,0.999970019,1270.908,639.92,0.999890029,1301.67,670.654,0.999989986,1823.129,235.122,0.999750018,1722.179,241.904,0.999899983,1623.751,254.001,0.999930024,1579.714,284.547,0.999989986
