scorer,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8
bodyparts,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1266,542,0.9995,1477,555.5,0.9995,1375,555.5,0.9956,1515,546.5,0.999,1100,622.5,0.9995,1285,670,0.9995,1202,629.5,0.9985,1316,688.5,0.9985,755,509.5,0.9995,950,535,0.999,858.5,523,0.998,1000.5,518,0.9985,1801,231.25,1,1606,260,0.999,1709,241.125,1,1550,258,0.999,710.5,752,0.9995,693,613.5,0.9995,660,688,0.951,737,592.5,0.9995,1817,151.5,1,1643,153.125,0.999,1734,139.125,0.9976,1605,163,0.9883,859.5,618,0.9995,1021,616,0.9995,945,619.5,0.999,1050,630,0.9995,1706,451.5,1,1756,260.5,0.794,1737,345.25,0.996,1765,206.5,1
1,1266,542,0.9995,1477,558.5,0.9995,1375,555.5,0.997,1515,548.5,0.9995,1100,625,1,1285,670,0.9995,1202,629.5,0.9976,1316,696.5,0.999,755,509.5,1,952,538.5,0.999,858.5,523,0.9966,1000.5,518,0.997,1806,231.75,1,1607,260.25,0.9995,1715,241.125,0.9976,1559,270.25,0.9995,722.5,752,1,693,617.5,0.999,660,699.5,0.991,737,600,0.9995,1819,153.375,1,1643,153.25,0.999,1741,140.875,0.9976,1611,167.5,0.9995,859.5,618,1,1021,616,0.999,945,620,0.9995,1051,630,0.9995,1706,459.25,1,1756,267.75,0.9395,1737,347.25,0.997,1767,213.875,1
2,1266,542,0.999,1477,559,0.999,1375,555.5,0.996,1515,551,0.9995,1100,630,1,1285,670,0.9995,1202,629.5,0.9985,1316,696.5,0.998,755,509.5,1,952,539,0.9985,858.5,523,0.996,1000.5,518,0.999,1808,232.125,1,1610,260.25,0.9995,1718,241.125,0.997,1562,275.75,0.9995,735.5,752,0.9995,693,622.5,0.9995,660.5,707.5,0.964,737,607,0.9985,1822,154.5,1,1648,153.25,0.998,1742,142.375,0.9985,1611,167.5,0.999,859.5,618,1,1021,616,0.9995,945,621,0.9985,1051,630,0.9995,1706,463.25,1,1756,268.25,0.98,1737,349,0.9897,1767,214.5,1
3,1260,540.5,1,1470,563.5,0.9995,1370,553.5,0.9966,1510,553,0.999,1099,632,0.9995,1281,663.5,0.999,1198,628,0.999,1308,696.5,0.9995,752,506.25,0.9995,950,539,0.999,853,522,0.996,997,516,0.9995,1814,232.75,1,1615,260.25,0.9995,1718,240.625,0.994,1563,280.25,0.9995,743.5,751,0.9995,681,623,0.9985,661.5,710,0.8896,727.5,611.5,0.999,1825,156.625,1,1652,153.125,0.998,1743,142.875,0.997,1611,167.5,0.999,856,616.5,0.9995,1017,614.5,0.9995,941.5,621,0.999,1050,625.5,0.9995,1704,472.75,1,1756,270,0.975,1735,362.25,0.997,1770,232.625,1
4,1255,540.5,1,1468,566.5,0.9995,1369,552.5,0.9966,1507,554,0.9995,1088,632,0.9995,1280,656,0.9995,1195,628,0.999,1303,695.5,0.9995,747.5,506,1,947.5,539,0.9995,845,519.5,0.9917,991.5,516,0.9995,1817,233,1,1616,259,0.9995,1726,239.25,0.995,1568,280.5,1,748,751,1,665,629.5,0.999,669,716.5,0.9185,711,615,0.9995,1830,157.375,1,1656,147,0.9985,1747,143,0.999,1619,167,0.999,853,616,0.9995,1015.5,614.5,0.9995,938.5,621,0.9995,1048,617.5,0.9995,1702,477.75,1,1758,276.75,0.9937,1735,365.75,0.9966,1772,243.5,1
5,1254,540.5,1,1466,568,0.998,1366,551.5,0.995,1501,555,0.9956,1084,632,1,1275,648.5,0.999,1190,628,0.999,1300,684.5,0.9995,743.5,505.25,0.9995,943.5,537,0.9995,843.5,519,0.9907,989.5,516,0.9995,1819,233.125,1,1617,254.625,0.9995,1726,239.25,0.995,1578,280.5,0.9995,755,751,1,650,633.5,0.9985,674,722.5,0.976,695,615.5,0.9985,1833,157.75,0.9995,1661,144.5,0.999,1751,143,0.9985,1623,161.5,0.999,846.5,614.5,0.9995,1010.5,614.5,0.9995,935,621,0.999,1047,614,0.999,1700,484.5,1,1758,285,0.9956,1731,378,0.9966,1772,249.25,1
6,1247,541,0.9995,1459,568.5,0.999,1356,549.5,0.9956,1498,560,0.993,1081,630,1,1272,637.5,0.9985,1177,628.5,0.999,1300,670.5,0.9985,742,505.25,0.9995,942.5,536.5,0.999,841,518,0.9917,986,516.5,0.9995,1822,233.375,1,1623,251.75,0.999,1728,239.25,0.997,1579,280.5,0.999,758.5,751,0.9995,639.5,641,0.9976,675,723.5,0.9907,677,616,0.999,1838,160,1,1667,141.875,0.999,1756,143.25,0.998,1624,156.375,0.9985,846,614,1,1007.5,616.5,0.9995,932,621,0.9995,1044,611.5,0.9995,1699,490.25,1,1758,290,0.9966,1731,381.5,0.998,1772,249.875,1
