scorer,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind2,ind2,ind2,ind2,ind2,ind2,ind2,ind2,ind2,ind2,ind2,ind2,ind3,ind3,ind3,ind3,ind3,ind3,ind3,ind3,ind3,ind3,ind3,ind3,ind4,ind4,ind4,ind4,ind4,ind4,ind4,ind4,ind4,ind4,ind4,ind4,ind5,ind5,ind5,ind5,ind5,ind5,ind5,ind5,ind5,ind5,ind5,ind5,ind6,ind6,ind6,ind6,ind6,ind6,ind6,ind6,ind6,ind6,ind6,ind6,ind7,ind7,ind7,ind7,ind7,ind7,ind7,ind7,ind7,ind7,ind7,ind7,ind8,ind8,ind8,ind8,ind8,ind8,ind8,ind8,ind8,ind8,ind8,ind8
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,388.772,216.027,0.999890029,418.22,193.234,0.999339998,482.018,214.357,0.998430014,519.098,175.742,0.99980998,1316.648,367.054,0.99612999,1389.569,410.949,0.962459981,1424.306,483.396,0.999559999,1429.126,514.845,0.999610007,716.59,558.645,0.99654001,684.439,630.827,0.993120015,584.053,652.37,0.999080002,550.712,644.803,0.998709977,356.206,453.197,0.999989986,401.102,384.539,0.999520004,416.713,304.411,0.999159992,400.542,280.375,0.99555999,562.83,283.673,0.99612999,617.181,253.017,0.999689996,697.554,251.983,0.999939978,726.992,257.4,0.994289994,923.007,651.233,0.999989986,901.848,580.079,0.999979973,914.157,500.329,1,936.209,475.917,0.999859989,675.425,725.895,0.01,756.5,742.887,0.01,842.813,752.797,0.01,857.972,750.626,0.01,373.617,278.702,0.01,428.719,247.956,0.01,492.695,230.782,0.01,561.426,229.678,0.01
1,388.815,217.816,0.999979973,421.084,193.234,0.99642998,482.389,214.357,0.999170005,519.102,219.145,0.998350024,1316.648,367.054,0.996710002,1389.658,411.861,0.845149994,1426.203,483.396,0.999819994,1430.286,514.845,0.99940002,716.59,558.645,0.996619999,695.699,630.827,0.992799997,597.655,652.37,0.999430001,566.234,644.803,0.99962002,356.206,453.312,0.999989986,403.838,389.581,0.999549985,417.796,308.781,0.999689996,401.583,285.781,0.997810006,564.945,289.214,0.994189978,619.662,253.082,0.999459982,697.554,251.983,0.999870002,726.992,263.538,0.999670029,927.906,657.354,0.999960005,903.286,580.21,0.999840021,914.157,503.637,1,936.209,477.271,0.999870002,675.425,725.895,0.01,756.5,742.887,0.01,842.813,752.797,0.01,857.972,750.626,0.01,373.617,278.702,0.01,428.719,247.956,0.01,492.695,230.782,0.01,561.426,229.678,0.01
2,388.815,218.148,0.999729991,421.21,193.833,0.997359991,483.499,214.357,0.999930024,519.535,222.37,0.999830008,1316.648,367.054,0.994189978,1390.146,411.861,0.921370029,1429.275,483.396,0.999939978,1435.612,514.845,0.99901998,716.59,558.645,0.999289989,708.685,630.827,0.998340011,611.933,654.334,0.999909997,579.491,644.803,0.999719977,356.52,453.659,0.999989986,405.276,396.884,0.999279976,425.806,310.674,0.999570012,405.874,288.622,0.99962002,568.991,294.013,0.994369984,620.058,253.598,0.999660015,697.554,251.983,0.999750018,726.992,263.538,0.998740017,934.589,660.865,1,907.338,583.914,0.999650002,914.157,504.585,1,936.209,477.873,0.999849975,675.425,725.895,0.01,756.5,742.887,0.01,842.813,752.797,0.01,857.972,750.626,0.01,373.617,278.702,0.01,428.719,247.956,0.01,492.695,230.782,0.01,561.426,229.678,0.01
3,388.815,219.378,0.998979986,421.577,193.234,0.999100029,484.508,211.257,1,519.102,228.636,0.999849975,1315.311,366.667,0.994189978,1395.351,410.949,0.950500011,1436.237,477.666,0.99849999,1435.612,508.996,0.98526001,705.144,553.167,0.999080002,711.767,627.191,0.99962002,627.01,654.334,0.999960005,597.203,637.387,0.999689996,356.611,454.852,0.999979973,409.021,398.346,0.999069989,432.966,311.426,0.998870015,411.382,288.622,0.999890029,572.517,297.301,0.996010005,622.868,253.918,0.998329997,694.544,243.189,0.998740017,722.592,263.538,0.995670021,938.273,665.525,0.999989986,911.65,588.676,0.999350011,914.157,508.799,1,931.228,477.873,0.999970019,675.425,725.895,0.01,756.5,742.887,0.01,842.813,752.797,0.01,857.972,750.626,0.01,373.617,278.702,0.01,428.719,247.956,0.01,492.695,230.782,0.01,561.426,229.678,0.01
4,388.204,220.756,0.999310017,422.729,193.512,0.991490006,484.508,194.292,0.999949992,519.098,228.636,0.999989986,1314.585,366.003,0.998780012,1395.351,405.212,0.980470002,1441.853,473.907,0.999740005,1435.612,505.044,0.999949992,693.586,549.77,0.999800026,716.627,625.558,0.997650027,640.979,654.334,0.999970019,615.256,637.387,0.999830008,357.467,455.45,0.999979973,410.404,399.727,0.994700015,437.173,313.173,0.998860002,421.953,290.5,0.999710023,572.52,298.588,0.997150004,624.253,257.256,0.997810006,693.492,237.749,0.999960005,722.592,254.565,0.997870028,943.15,668.754,0.999970019,917.499,594.876,0.99980998,914.157,513.434,1,927.785,478.838,0.999539971,675.425,725.895,0.01,756.5,742.887,0.01,842.813,752.797,0.01,857.972,750.626,0.01,373.617,278.702,0.01,428.719,247.956,0.01,492.695,230.782,0.01,561.426,229.678,0.01
5,388.204,220.837,0.993139982,423.971,193.512,0.988089979,488.792,188.493,0.999769986,516.929,228.636,0.999840021,1313.45,363.799,0.998319983,1395.351,404.066,0.979520023,1451.796,467.493,0.999819994,1447.039,496.842,0.999899983,687.625,548.154,0.997479975,722.713,620.685,0.993789971,653.36,655.049,0.999530017,628.971,637.387,0.999840021,358.707,456.657,0.999960005,411.103,405.212,0.997910023,447.592,317.069,0.992489994,451.966,290.667,0.999930024,572.52,299.683,0.99673003,628.259,258.895,0.996630013,692.385,234.664,0.999970019,722.592,245.614,0.998780012,951.266,672.439,0.999989986,925.41,602.275,0.99970001,914.232,513.954,1,921.5,481.07,0.999930024,675.425,725.895,0.01,756.5,742.887,0.01,842.813,752.797,0.01,857.972,750.626,0.01,373.617,278.702,0.01,428.719,247.956,0.01,492.695,230.782,0.01,561.426,229.678,0.01
6,388.204,220.837,0.987590015,428.032,194.054,0.994949996,492.639,184.895,0.999779999,516.929,224.659,0.999939978,1313.211,357.522,0.995500028,1387.552,397.364,0.977140009,1452.687,452.06,0.992959976,1453.831,486.214,0.999050021,677.734,545.215,0.999339998,726.029,618.765,0.987919986,664.255,659.893,0.999939978,638.539,642.383,0.999310017,361.977,457.029,0.99980998,411.264,405.228,0.998549998,452.007,321.111,0.978860021,456.54,300.664,0.962000012,572.517,300.123,0.997240007,629.204,261.627,0.996940017,692.209,230.237,0.999960005,725.544,234.68,0.999800026,954.071,676.773,0.999989986,926.988,605.73,0.999769986,915.643,520.397,1,918.165,482.713,0.999970019,675.425,725.895,0.01,756.5,742.887,0.01,842.813,752.797,0.01,857.972,750.626,0.01,373.617,278.702,0.01,428.719,247.956,0.01,492.695,230.782,0.01,561.426,229.678,0.01
