pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
690.383034,344.164080,712.018860,377.718571,881.448235,543.585873,908.413950,598.302037
698.900000,348.710000,724.355970,382.866027,891.704070,546.645408,921.248045,602.368985
708.450000,354.230000,736.898697,389.673953,901.190717,551.651920,933.594769,607.747852
718.070000,360.600000,749.070000,396.930000,910.790000,556.810000,946.700000,614.030000
727.710000,367.470000,760.980000,404.640000,920.010000,562.530000,959.380000,620.710000
736.510000,374.820000,772.740000,412.790000,928.960000,568.460000,972.110000,627.710000
745.110000,382.410000,784.290000,421.140000,937.790000,574.650000,984.800000,634.640000
753.230000,390.070000,795.560000,429.410000,945.980000,580.970000,996.780000,642.070000
761.170000,397.600000,806.610000,437.680000,953.950000,586.990000,1008.620000,649.140000
768.960000,404.480000,817.720000,445.550000,961.830000,592.860000,1020.330000,655.900000
776.640000,411.680000,828.720000,452.890000,969.680000,598.220000,1031.990000,662.310000
784.130000,417.940000,839.860000,459.710000,977.350000,603.080000,1043.970000,667.860000
792.160000,423.550000,851.130000,465.950000,985.160000,607.390000,1056.080000,672.930000
800.270000,428.550000,862.810000,471.460000,993.170000,611.150000,1068.430000,677.260000
808.500000,433.200000,874.740000,476.400000,1001.300000,614.430000,1081.000000,681.050000
817.140000,437.240000,887.220000,480.800000,1009.810000,617.110000,1094.080000,684.170000
826.250000,440.780000,900.110000,484.580000,1018.830000,619.420000,1107.400000,686.870000
835.820000,443.660000,913.460000,487.710000,1028.310000,621.010000,1121.220000,688.960000
846.190000,445.890000,927.880000,489.970000,1038.490000,622.100000,1136.798175,690.063479
857.330000,447.400000,942.770000,491.730000,1049.030000,622.640000,1152.416961,690.703346
868.500000,448.840000,958.190000,493.400000,1059.680000,623.110000,1166.966239,692.232546
880.020000,450.320000,973.760000,495.110000,1070.730000,623.710000,1183.618361,692.749754
891.470000,452.190000,989.480000,497.240000,1082.210000,624.010000,1200.190000,693.860000
903.440000,454.250000,1005.520000,499.680000,1094.050000,624.800000,1216.920000,695.200000
915.480000,456.760000,1021.640000,502.800000,1106.230000,625.440000,1233.940000,696.770000
928.120000,459.510000,1038.330000,506.230000,1118.270000,627.310000,1251.160000,699.080000
941.180000,462.900000,1055.300000,510.230000,1130.460000,629.500000,1267.539107,702.532965
954.180000,466.730000,1072.330000,514.800000,1143.340000,632.250000,1285.467233,705.686553
967.230000,470.950000,1089.300000,519.940000,1156.230000,635.170000,1302.790000,709.560000
980.250000,475.510000,1106.200000,525.310000,1169.220000,638.300000,1320.110000,713.860000
993.270000,480.310000,1122.990000,530.890000,1182.200000,641.570000,1337.300000,718.490000
1006.260000,485.110000,1139.690000,536.130000,1195.120000,645.150000,1354.770000,722.860000
1019.330000,489.700000,1155.910000,541.190000,1208.080000,648.550000,1371.960000,726.980000
1032.640000,493.680000,1171.920000,546.010000,1221.120000,651.540000,1388.890000,730.790000
1045.850000,497.220000,1187.810000,550.310000,1234.250000,653.960000,1405.710000,733.900000
1058.980000,500.020000,1203.710000,553.390000,1247.380000,655.760000,1422.680000,736.170000
