scorer,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000,DLC_dlcrnetms5_Eight_Fish_VentralJul7shuffle1_100000
individuals,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,314.352,718.046,0.9990000128746032,341.351,653.601,1.0,384.066,602.824,0.9990000128746032,397.2096188880545,603.732,0.2800000011920929,598.553,573.845,1.0,561.404,657.998,1.0,526.631,736.429,1.0,532.021,760.481,0.5350000262260437,377.053,668.145,1.0,472.504,665.217,1.0,546.154,627.667,1.0,536.8476730127205,565.710844244909,0.01,827.704,411.514,1.0,907.062,355.642,0.9990000128746032,949.05,302.803,1.0,986.844,284.476,1.0,439.819,259.587,1.0,512.269,244.544,1.0,578.111,256.54,1.0,606.94,271.91,1.0,766.198,197.453,1.0,867.106,178.21,1.0,957.731,160.201,1.0,984.672,140.694,1.0,644.916,293.433,1.0,728.074,271.933,1.0,783.556,264.366,1.0,810.857,287.366,1.0,1007.222,238.234,1.0,1096.122,224.967,1.0,1170.856,216.829,1.0,1210.12,189.002,1.0
1,314.352,725.621,1.0,341.351,662.778,0.9959999918937684,384.066,607.687,0.9990000128746032,397.2096188880545,604.3269289645862,0.3889999985694885,600.719,573.845,1.0,565.063,657.998,1.0,527.914,736.429,1.0,539.947,760.481,0.9480000138282776,377.053,669.742,1.0,472.504,665.37,1.0,546.636,642.058,1.0,568.627,612.648,0.7319999933242798,827.704,415.257,1.0,908.874,356.815,0.996999979019165,949.05,304.927,1.0,986.844,285.124,1.0,439.904,269.59,1.0,512.269,244.838,1.0,578.111,256.54,1.0,606.94,274.462,1.0,766.866,199.064,1.0,867.928,178.21,1.0,959.279,160.336,1.0,987.324,142.159,1.0,644.916,293.556,1.0,728.074,273.632,1.0,783.617,264.972,1.0,813.111,287.366,1.0,1007.222,238.987,1.0,1096.122,224.967,1.0,1170.856,222.789,1.0,1210.12,196.559,1.0
2,314.352,729.8,0.996999979019165,341.886,665.969,0.9399999976158142,384.066,608.991,1.0,397.2096188880545,605.049,0.01,606.229,573.845,1.0,567.356,657.998,1.0,530.521,736.429,1.0,539.947,760.481,0.9819999933242798,377.053,669.803,1.0,472.504,666.074,1.0,547.599,645.496,1.0,569.803,631.148,0.9990000128746032,827.704,415.323,1.0,909.778,360.586,1.0,949.23,310.525,1.0,986.844,285.124,1.0,440.223,271.296,1.0,512.269,245.533,1.0,578.111,256.54,1.0,606.94,274.462,1.0,767.352,200.6,1.0,876.084,178.21,1.0,960.36,161.25,1.0,989.397,144.882,1.0,644.916,294.04,1.0,728.074,274.304,1.0,784.118,265.465,1.0,822.852,287.366,1.0,1007.222,241.034,1.0,1096.122,224.967,1.0,1170.856,223.298,1.0,1210.12,209.159,1.0
3,314.202,735.662,0.9990000128746032,341.796,676.986,0.7390000224113464,382.078,610.214,0.9710000157356262,389.9016783320817,604.3269289645862,0.01,606.373,570.302,1.0,571.156,659.351,1.0,530.918,730.405,1.0,539.947,757.841,1.0,373.314,669.803,1.0,471.803,666.114,1.0,547.599,653.483,1.0,570.543,634.926,1.0,826.945,418.195,1.0,910.373,362.633,1.0,949.23,311.801,1.0,985.311,285.124,1.0,440.223,275.054,1.0,511.719,245.533,1.0,576.658,248.574,1.0,600.104,274.462,1.0,767.933,200.764,1.0,878.705,178.133,1.0,960.589,161.25,1.0,994.783,145.642,1.0,643.871,294.04,1.0,726.544,276.217,1.0,785.841,265.218,1.0,825.295,276.155,1.0,1001.263,241.583,1.0,1091.295,223.989,1.0,1166.179,223.298,1.0,1207.551,221.126,1.0
4,312.068,739.534,0.9990000128746032,341.796,677.83,0.9549999833106996,366.047,617.665,0.9919999837875366,389.181,604.3269289645862,0.9990000128746032,606.373,568.095,1.0,579.157,656.766,1.0,534.865,729.628,1.0,532.305,751.396,1.0,372.578,669.803,1.0,467.636,667.242,1.0,550.557,654.442,1.0,575.474663910955,636.999,0.2919999957084656,825.09,419.003,1.0,910.373,363.711,1.0,949.23,315.403,1.0,980.723,285.124,1.0,439.819,281.009,1.0,511.719,245.533,1.0,575.585,244.541,1.0,600.104,270.025,1.0,768.041,200.764,1.0,878.705,177.776,1.0,964.451,161.25,1.0,998.339,147.982,1.0,642.284,293.922,1.0,724.289,276.668,1.0,786.058,265.218,1.0,827.802,272.049,1.0,998.422,247.548,1.0,1086.882,223.989,1.0,1157.187,223.298,1.0,1201.938,222.445,1.0
5,310.479,742.494,0.9940000176429749,341.796,682.163,0.9990000128746032,364.932,634.309,1.0,389.122,603.399,1.0,606.229,563.252,1.0,579.313,651.888,1.0,536.919,726.309,1.0,529.745,749.478,1.0,369.055,669.803,1.0,466.34,667.504,1.0,550.557,656.393,1.0,575.474663910955,644.361,0.1159999966621398,824.494,419.577,1.0,910.373,372.428,1.0,949.288,319.893,1.0,976.326,287.343,1.0,437.813,283.7,1.0,511.719,246.177,1.0,575.177,239.776,1.0,600.104,266.073,1.0,768.041,200.975,1.0,878.705,177.776,1.0,964.678,160.864,1.0,1001.54,148.977,1.0,641.021,293.922,1.0,723.936,278.044,1.0,786.058,265.465,1.0,827.802,266.701,1.0,991.657,250.735,1.0,1084.154,223.989,1.0,1151.11,217.369,1.0,1194.578,226.188,1.0
6,309.403,747.941,0.996999979019165,341.855,683.134,0.996999979019165,364.423,634.561,1.0,389.122,601.7,1.0,603.384,559.936,1.0,582.964,650.342,1.0,536.974,722.097,1.0,523.262,749.279,1.0,365.291,669.844,1.0,465.493,667.863,1.0,550.557,660.414,1.0,575.474663910955,652.2102152856377,0.01,823.592,421.835,1.0,908.212,375.483,1.0,951.32,322.989,1.0,973.265,288.175,1.0,436.624,287.214,1.0,511.89,248.053,1.0,574.947,235.019,1.0,603.714,258.923,1.0,768.607,201.156,1.0,878.705,177.776,1.0,965.973,160.864,1.0,1001.548,152.113,1.0,640.548,293.307,1.0,722.758,278.056,1.0,786.058,265.465,1.0,827.802,256.793,1.0,991.052,254.304,1.0,1078.455,226.072,1.0,1148.365,213.929,1.0,1188.151,226.188,1.0
