scorer,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,763.789,773.311,0.999949992,823.333,735.923,0.999369979,857.069,659.234,0.999870002,883.071,620.517,0.978320003,1028.552,592.6,1,1093.985,559.907,0.999729991,1160.966,532.611,0.999989986,1193.763,540.566,1,632.668,643.894,1,695.141,605.837,0.999939978,775.64,609.782,0.999989986,798.385,631.112,1,701.436,372.485,1,765.966,338.312,0.999989986,852.935,340.961,1,897.993,338.234,1,781.371,560.451,0.999899983,852.151,524.452,0.998269975,953.51,523.76,0.999880016,962.729,524.299,0.999949992,901.624,667.373,1,976.669,675.918,1,1048.81,682.362,1,1086.435,683.428,1,,,,,,,,,,,,,833.791,603.977,1,920.824,613.214,0.999670029,997.655,596.02,1,1031.957,597.691,1
1,763.789,773.311,0.999989986,826.442,738.591,0.999830008,857.299,661.895,0.999949992,883.071,623.213,0.994310021,1031.024,594.134,1,1094.261,560.39,0.999729991,1161.334,532.611,1,1194.681,540.566,1,632.668,647.359,0.999979973,695.141,606.266,0.999970019,775.64,609.782,1,801.815,631.112,1,702.398,375.856,1,766.91,339.19,0.999989986,852.935,340.961,1,897.993,349.008,1,781.371,560.66,0.999920011,853.047,524.452,0.996169984,954.568,524.219,0.999729991,1000.963,529.158,0.999890029,901.743,667.41,1,977.008,675.918,1,1049.748,682.825,1,1087.39,684.95,1,,,,,,,,,,,,,833.791,603.977,1,920.824,614.44,0.99970001,997.655,596.692,1,1031.957,597.691,0.999989986
2,763.789,773.311,1,827.364,742.921,0.999970019,857.802,668.166,0.999920011,883.071,627.017,0.998549998,1031.024,594.408,1,1095.587,560.597,0.999610007,1161.334,532.611,1,1194.681,540.566,0.999989986,632.668,649.608,0.999989986,695.141,606.95,0.999890029,775.64,609.782,1,801.815,631.112,1,703.948,381.787,1,767.057,339.19,0.999970019,852.935,340.961,1,897.993,357.561,0.999979973,782.118,560.66,0.999930024,855.942,524.452,0.992209971,954.615,525.715,0.995519996,1000.963,535.815,0.999360025,902.548,667.41,1,977.439,675.918,1,1050.108,682.98,1,1087.39,687.819,1,,,,,,,,,,,,,834.476,603.977,1,920.824,614.718,0.999930024,997.655,597.833,1,1031.957,597.691,0.999270022
3,762.104,771.683,1,829.624,744.03,0.999790013,858.018,671.996,0.999870002,872.16,636.227,0.977090001,1031.547,594.603,1,1095.731,561.431,0.999729991,1161.334,531.618,1,1194.288,537.643,0.999949992,631.751,651.722,1,694.902,609.531,0.999930024,775.571,604.969,1,801.815,630.116,0.999989986,703.948,385.194,1,767.663,339.19,0.999960005,850.769,336.066,1,892.083,357.659,0.999960005,781.371,560.66,0.999970019,855.942,525.503,0.994889975,954.568,524.219,0.978280008,1000.963,535.815,0.998239994,902.948,667.373,1,978.194,675.589,1,1050.726,682.98,1,1087.39,689.716,1,,,,,,,,,,,,,834.196,602.189,1,918.653,616.834,0.999769986,997.104,597.833,1,1027.684,591.006,0.999230027
4,760.806,768.465,0.999989986,830.014,747.82,0.999979973,863.837,683.701,0.999880016,855.715,644.641,0.997200012,1031.547,595.43,0.999979973,1096.197,562.106,0.999679983,1161.253,530.417,1,1194.288,534.622,0.999979973,631.146,654.575,0.999989986,693.841,610.637,0.999979973,771.747,602.886,1,800.128,623.689,0.999979973,704.505,386.808,0.999989986,768.853,339.19,0.999949992,849.748,330.992,1,890.175,357.659,0.999930024,780.928,561.404,1,855.942,529.625,0.991890013,953.51,523.76,0.982410014,998.23,540.706,0.999750018,903.442,666.764,1,978.633,674.533,1,1051.45,682.98,1,1088.251,691.567,1,,,,,,,,,,,,,833.791,600.013,1,917.283,616.834,0.999949992,995.123,597.833,1,1025.083,591.006,0.999890029
5,758.396,767.971,1,830.014,750.804,1,868.612,689.901,0.999989986,855.715,656.84,0.99970001,1031.025,596.261,0.999989986,1096.962,564.117,0.999949992,1160.896,529.633,1,1192.655,530.905,0.999939978,630.452,658.025,1,693.118,611.794,1,770.939,597.414,1,799.719,618.756,0.999979973,703.948,389.045,0.999989986,769.259,341.787,0.999909997,849.748,329.174,1,890.175,357.659,0.999989986,780.246,563.217,1,854.359,533.605,0.999010026,947.222,515.609,0.973500013,997.646,540.706,0.999909997,903.755,666.764,1,979.584,672.625,1,1051.849,682.779,0.999989986,1088.251,693.344,1,,,,,,,,,,,,,833.364,600.013,1,916.936,616.834,0.999960005,993.732,606.966,1,1025.083,591.006,
6,757.133,767.971,1,830.014,752.519,0.999939978,873.234,699.993,0.999710023,855.715,665.163,0.999430001,1030.569,598.623,1,1097.18,565.513,0.999960005,1160.716,529.442,1,1192.579,530.375,0.999960005,630.452,659.548,1,692.949,615.236,0.999960005,770.489,594.9,1,797.977,612.161,0.999949992,703.91,393.162,0.999989986,769.624,345.318,0.99980998,850.769,320.063,1,890.175,350.311,0.999930024,780.021,564.712,1,854.359,533.605,0.99940002,947.222,515.609,0.992129982,995.552,545.446,0.999939978,904.847,666.764,1,979.71,672.462,1,1052.188,682.684,0.999979973,1088.353,693.344,1,,,,,,,,,,,,,833.18,600.013,1,915.209,615.75,0.999970019,992.05,615.202,1,1025.083,592.933,0.999670029
7,755.969,767.971,0.999989986,828.64,754.047,0.999970019,879.85,704.674,0.999939978,862.997,673.747,0.989030004,1030.658,598.627,0.999939978,1097.29,566.563,0.999960005,1160.709,528.687,1,1191.395,529.105,0.999920011,630.452,660.804,1,692.863,616.038,0.999949992,770.238,590.128,1,797.977,609.459,0.999979973,703.332,393.162,0.999989986,771.335,345.372,0.999849975,849.365,318.114,1,891.866,345.363,0.999800026,779.897,565.937,1,851.63,534.795,0.999379992,947.222,515.609,0.997449994,995.552,545.446,0.997810006,907.253,667.737,1,979.792,672.462,0.999989986,1052.189,681.847,0.999960005,1088.733,693.344,1,,,,,,,,,,,,,832.819,600.152,1,914.375,613.822,0.999979973,991.28,617.819,1,1028.976,606.113,0.999490023
