pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
1254.9293,508.3378,1328.4305,568.4399,1232.3601,661.16187,1380.5062,747.7246
1004.02295,431.90897,1044.229,483.76227,1254.9293,508.3378,1328.4305,568.4399
1255.2974,508.44708,1328.8478,568.54236,1232.6061,661.14404,1380.7336,747.7466
1004.2753,431.93326,1044.4343,483.82275,1255.2974,508.44708,1328.8478,568.54236
1255.5426,508.44324,1329.4078,568.55865,1233.0369,661.1528,1380.9175,747.5384
1004.47504,431.8764,1044.8706,483.61896,1255.5426,508.44324,1329.4078,568.55865
1255.8267,508.40018,1329.6489,568.62787,1233.3999,661.1775,1381.2924,747.5767
1004.8772,431.93402,1045.2509,483.81625,1255.8267,508.40018,1329.6489,568.62787
1256.0614,508.3448,1329.8118,568.5791,1233.6224,661.1124,1381.7543,747.6804
1005.1392,431.92697,1045.5665,483.76498,1256.0614,508.3448,1329.8118,568.5791
1256.2897,508.29688,1330.3241,568.62854,1233.9092,661.14606,1381.8855,747.53
1005.2696,431.88083,1045.8068,483.87955,1256.2897,508.29688,1330.3241,568.62854
1256.6458,508.3884,1330.5032,568.41626,1234.1617,661.08795,1382.213,747.55524
1005.72736,431.99384,1046.0214,483.90134,1256.6458,508.3884,1330.5032,568.41626
1257.0243,508.4821,1330.9266,568.4518,1234.4393,661.0793,1382.7426,747.4891
1005.9732,432.02917,1046.654,483.93375,1257.0243,508.4821,1330.9266,568.4518
1257.2041,508.41977,1331.2561,568.524,1234.799,661.10956,1382.9619,747.46405
1006.2071,432.0366,1046.8533,483.897,1257.2041,508.41977,1331.2561,568.524
1257.4385,508.40607,1331.4917,568.5571,1235.1346,661.1116,1383.2197,747.495
1006.49585,432.0965,1047.2229,483.97202,1257.4385,508.40607,1331.4917,568.5571
1258.065,508.51917,1332.0771,568.4275,1235.7252,661.05646,1384.0704,747.43494
1007.03784,432.08887,1047.8457,483.9689,1258.065,508.51917,1332.0771,568.4275
1260.5431,508.5991,1334.244,568.2981,1238.109,661.1069,1386.5281,747.1537
1009.14777,432.16327,1050.4542,484.06387,1260.5431,508.5991,1334.244,568.2981
1260.8063,508.57358,1334.4951,568.24646,1238.3345,661.082,1386.8291,747.17926
1009.34143,432.12582,1050.7195,484.0323,1260.8063,508.57358,1334.4951,568.24646
1261.0947,508.58133,1334.8646,568.25464,1238.6545,661.0775,1387.0927,747.1678
1009.711,432.2183,1050.968,484.0478,1261.0947,508.58133,1334.8646,568.25464
1261.3877,508.69363,1335.199,568.2586,1238.9045,661.057,1387.3694,747.1696
1009.9951,432.28812,1051.1844,484.0216,1261.3877,508.69363,1335.199,568.2586
1261.7179,508.7612,1335.3026,568.18945,1239.1287,661.01154,1387.741,747.1254
1010.23096,432.28998,1051.7119,484.17825,1261.7179,508.7612,1335.3026,568.18945
1262.0234,508.80008,1335.9037,568.29254,1239.3752,660.98267,1387.9812,747.1471
1010.5362,432.34378,1051.94,484.15546,1262.0234,508.80008,1335.9037,568.29254
