,id,x,y,frame,camera
0,5,880.5987,480.1388,0,0
1,10,823.20013,447.60483,0,0
2,11,809.67255,476.4131,0,0
3,12,793.5487,508.4468,0,0
4,13,778.4525,540.3701,0,0
5,14,762.8854,572.8781,0,0
6,15,766.0268,413.99826,0,0
7,16,750.3943,443.0822,0,0
8,19,701.8049,537.6193,0,0
9,5,880.7357,480.186,1,0
10,10,823.31433,447.7599,1,0
11,11,810.0781,476.43594,1,0
12,12,793.9077,508.18445,1,0
13,13,778.70886,540.01764,1,0
14,14,763.20026,572.67456,1,0
15,15,766.0655,413.98413,1,0
16,16,750.41925,442.90863,1,0
17,17,734.9608,473.96692,1,0
18,18,718.7928,505.31433,1,0
19,19,702.09906,537.6505,1,0
20,5,880.8825,480.07196,2,0
21,10,823.4179,447.4456,2,0
22,11,810.0258,476.46362,2,0
23,12,794.2423,508.3384,2,0
24,13,778.8452,540.06464,2,0
25,14,763.42755,572.6717,2,0
26,15,766.31024,413.8359,2,0
27,16,750.88074,443.40793,2,0
28,17,734.9221,473.81168,2,0
29,18,719.1134,505.323,2,0
30,19,702.3924,537.60425,2,0
31,2,912.87634,575.879,3,0
32,5,881.0516,479.7921,3,0
33,6,867.5864,510.701,3,0
34,7,853.53516,542.2257,3,0
35,10,823.5612,447.5789,3,0
36,11,810.2042,476.4892,3,0
37,12,794.5146,508.13773,3,0
38,13,779.0595,539.9985,3,0
39,14,763.66547,572.5541,3,0
40,15,766.4581,413.60175,3,0
41,16,751.1494,443.33923,3,0
42,17,735.2374,473.84418,3,0
43,18,719.4503,505.31622,3,0
44,19,702.61676,537.3935,3,0
45,2,913.099,575.8742,4,0
46,3,899.25073,608.6677,4,0
47,4,885.6384,642.71436,4,0
48,5,881.2207,479.75064,4,0
49,6,867.8504,510.71054,4,0
50,7,853.88513,542.0296,4,0
51,8,839.50085,574.609,4,0
52,9,825.05365,607.60114,4,0
53,11,810.6055,476.5588,4,0
54,12,794.71313,508.0919,4,0
55,13,779.2477,539.916,4,0
56,14,763.84686,572.3345,4,0
57,16,751.5039,443.35153,4,0
58,17,735.54614,473.77182,4,0
59,18,719.76276,505.35147,4,0
60,19,702.8502,537.3596,4,0
