scorer,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_resnet50_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,topbackleftP,topbackleftP,topbackleftP,topbackrightP,topbackrightP,topbackrightP,topfrontleftP,topfrontleftP,topfrontleftP,topfrontrightP,topfrontrightP,topfrontrightP,bottombackleftP,bottombackleftP,bottombackleftP,bottombackrightP,bottombackrightP,bottombackrightP,bottomfrontleftP,bottomfrontleftP,bottomfrontleftP,bottomfrontrightP,bottomfrontrightP,bottomfrontrightP
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,749.445,362.498,0.9965500235557556,817.822,319.862,0.9980700016021729,870.618,275.908,0.9897800087928772,,,1.0,992.917,374.103,0.9999399781227112,1032.865,321.701,0.9997900128364563,1101.1,289.642,0.9999799728393555,1125.177,296.4,0.9996600151062012,494.418,472.376,0.9995399713516235,537.72,418.258,0.9988899827003479,618.126,427.588,0.9995499849319458,634.951,459.283,0.9998599886894226,1289.397,433.788,0.9992200136184692,1233.043,471.688,0.9987499713897705,1189.983,524.634,0.9999799728393555,1157.669,544.877,0.9999799728393555,1285.619,352.783,0.9998400211334229,1224.587,384.015,0.9976699948310852,1168.237,415.683,0.999970018863678,1138.933,425.919,0.9999499917030334,578.327,283.703,0.9666600227355957,664.819,259.031,0.9661399722099304,755.726,233.142,0.9867299795150757,789.23,230.405,0.998520016670227,1081.443,276.415,0.9999899864196777,1012.225,269.293,0.9998900294303894,926.828,255.581,0.9998000264167786,900.989,252.977,0.9988200068473816,1277.358,221.472,0.9999099969863892,1221.978,212.486,0.9999899864196777,1161.373,197.633,0.9999399781227112,1133.441,192.136,0.9999899864196777,183.117,790.712,1.0,1622.017,768.373,0.9999899864196777,220.35,185.187,1.0,1647.406,181.57,1.0,117.02,834.677,0.9999899864196777,1731.027,809.208,0.9999799728393555,142.617,117.464,1.0,1753.55,129.838,1.0
1,749.445,364.497,0.9947699904441833,817.822,323.592,0.9991599917411804,870.618,277.014,0.9960100054740906,,,,992.917,379.787,0.9998900294303894,1032.865,322.037,0.9997000098228455,1101.1,289.642,0.9999600052833557,1125.564,296.4,0.9997000098228455,495.808,480.832,0.9999799728393555,537.72,420.435,0.9991099834442139,618.126,427.588,0.999970018863678,634.951,459.283,0.9997900128364563,1294.59,433.788,0.9995700120925903,1236.581,471.688,0.9996799826622009,1195.383,524.634,1.0,1162.211,544.877,0.9999200105667114,1288.313,352.783,0.9995700120925903,1227.092,384.015,0.9970600008964539,1172.796,415.683,0.9998700022697449,1140.168,425.919,0.999970018863678,578.327,284.179,0.9414100050926208,664.819,260.018,0.9799799919128418,755.726,233.233,0.9900799989700317,789.23,230.405,0.9952899813652039,1084.241,276.415,0.9998900294303894,1014.279,269.387,0.9997299909591675,929.766,255.7,0.9999499917030334,900.994,252.977,0.9998599886894226,1281.681,222.558,0.9999499917030334,1227.06,213.648,0.9999799728393555,1163.894,197.809,0.9999799728393555,1136.045,192.752,0.9999899864196777,183.135,790.725,0.9999899864196777,1622.017,768.397,0.9999899864196777,220.593,185.199,1.0,1647.451,181.652,1.0,117.02,834.677,0.9999799728393555,1731.308,809.716,0.999970018863678,142.956,117.503,1.0,1753.632,130.177,1.0
2,749.445,366.489,0.9984700083732605,817.822,327.597,0.9989100098609924,874.307,281.148,0.9993199706077576,,,,992.917,381.656,0.9999499917030334,1032.865,323.424,0.9999300241470337,1101.1,289.642,0.9998900294303894,1125.564,296.4,0.9996299743652344,495.808,488.244,0.999970018863678,537.72,426.418,0.9946399927139282,618.126,427.588,0.9990599751472473,634.951,459.283,0.9991300106048584,1301.089,433.788,0.9996200203895569,1238.374,471.688,0.9990400075912476,1198.652,524.634,0.9999499917030334,1169.502,544.877,0.9998199939727783,1291.332,352.783,0.9996500015258789,1228.67,384.015,0.9954400062561035,1174.547,415.683,0.9997100234031677,1141.686,425.919,0.9999300241470337,578.327,286.971,0.9805600047111511,664.819,260.199,0.9873300194740295,755.726,233.8,0.986240029335022,789.23,230.405,0.9991099834442139,1084.453,276.548,0.976859986782074,1016.214,269.545,0.999779999256134,934.336,256.266,0.9999099969863892,901.74,252.977,0.9992200136184692,1284.609,223.327,0.9999799728393555,1229.606,213.766,0.9999899864196777,1168.411,200.152,0.999970018863678,1139.777,194.085,1.0,185.511,790.758,0.9999799728393555,1622.137,768.397,0.9999899864196777,221.945,185.579,1.0,1647.483,181.652,1.0,117.02,834.728,0.9999899864196777,1731.308,809.731,0.9999600052833557,142.967,117.546,1.0,1753.645,130.177,1.0
3,745.509,372.025,0.9986500144004822,811.473,327.6,0.9966999888420105,870.618,286.555,0.9993699789047241,,,,992.752,385.06,0.9998599886894226,1032.865,324.293,0.9998400211334229,1097.356,283.168,0.9999300241470337,1125.177,290.102,0.9994000196456909,495.808,491.957,0.9999799728393555,535.959,428.71,0.998199999332428,614.773,417.135,0.999750018119812,629.292,445.845,0.999779999256134,1304.27,433.672,0.9971799850463867,1241.659,465.468,0.9978600144386292,1200.047,518.969,0.9999399781227112,1181.441,543.645,0.9997900128364563,1294.723,351.641,0.9996700286865234,1234.467,382.734,0.9988800287246704,1179.366,411.515,0.9996799826622009,1146.079,425.335,0.9998900294303894,576.891,290.336,0.9838200211524963,662.215,261.9,0.9466999769210815,754.43,233.8,0.9850800037384033,786.831,225.946,0.9986100196838379,1085.564,276.565,0.997979998588562,1021.415,269.577,0.9998599886894226,938.445,256.662,0.9999600052833557,905.021,248.386,0.9991700053215027,1289.009,224.591,0.9998800158500671,1232.657,213.982,0.9999600052833557,1171.027,200.561,0.9999799728393555,1143.595,194.085,1.0,185.511,791.214,0.9999899864196777,1622.137,768.373,0.9999899864196777,222.334,185.579,1.0,1647.451,181.689,1.0,117.02,834.677,0.9999899864196777,1731.171,809.731,0.9999600052833557,142.976,117.538,1.0,1753.645,130.177,1.0
4,740.872,380.127,0.9994900226593018,804.857,330.3,0.9987499713897705,870.147,290.114,0.9937300086021423,,,,991.48,387.355,0.9999399781227112,1032.034,326.802,0.9998400211334229,1092.024,283.168,0.9999300241470337,1115.129,286.73,0.9998199939727783,493.963,499.158,1.0,534.623,428.895,0.9988399744033813,608.456,410.31,0.9993000030517578,627.7,437.679,0.9999600052833557,1309.558,429.999,0.9998000264167786,1245.952,461.16,0.9987999796867371,1202.827,513.554,0.9999899864196777,1187.01,542.235,0.999970018863678,1295.921,350.741,0.9998999834060669,1239.017,380.129,0.9995700120925903,1182.794,410.172,0.9998800158500671,1149.073,423.373,0.9999600052833557,573.005,290.453,0.9845100045204163,661.311,261.961,0.9940800070762634,751.637,233.8,0.9860000014305115,779.116,223.357,0.9968299865722656,1089.391,278.593,0.9998499751091003,1025.038,269.844,0.9996399879455566,941.573,257.497,0.9999799728393555,909.446,248.386,0.9994999766349792,1290.817,224.591,0.9999399781227112,1237.613,215.168,0.9999899864196777,1175.3,200.713,0.9999600052833557,1147.63,194.242,1.0,185.627,791.286,0.9999899864196777,1622.02,768.265,0.9999899864196777,222.334,185.368,1.0,1647.406,181.652,1.0,117.158,834.66,0.9999899864196777,1731.027,809.716,0.9999600052833557,143.021,117.503,1.0,1753.645,130.023,1.0
5,739.801,386.601,0.999459981918335,798.122,331.289,0.9975600242614746,860.11,303.897,0.9365599751472473,,,,988.959,389.706,0.9999799728393555,1031.886,330.12,0.999750018119812,1091.633,281.424,0.6205000281333923,1107.355,279.415,0.9990299940109253,493.943,503.401,0.999970018863678,528.006,434.931,0.9974499940872192,603.883,403.265,0.9990299940109253,624.895,427.067,0.9983199834823608,1312.545,427.615,0.9994900226593018,1251.826,458.741,0.9995599985122681,1203.555,508.935,0.9999899864196777,1188.844,537.46,0.999779999256134,1298.732,349.089,0.9999499917030334,1240.775,379.461,0.9991499781608582,1184.722,410.0,0.9999200105667114,1153.553,420.642,0.9999399781227112,571.325,291.112,0.9566500186920166,656.655,262.644,0.9752699732780457,747.757,234.132,0.9858400225639343,776.794,220.165,0.9983699917793274,1090.027,284.292,0.9999600052833557,1025.652,270.01,0.9980800151824951,943.798,258.785,0.9999799728393555,915.606,248.386,0.9998999834060669,1292.994,224.591,0.999970018863678,1239.307,216.319,0.999970018863678,1177.68,201.72,0.9999399781227112,1151.33,195.627,1.0,186.232,791.346,0.9999899864196777,1622.02,768.265,0.9999899864196777,222.334,185.368,1.0,1647.16,181.652,1.0,117.113,834.533,0.9999899864196777,1730.944,809.382,0.9999799728393555,143.188,117.538,1.0,1753.645,129.953,1.0
6,738.744,395.845,0.9998400211334229,788.575,338.751,0.9991300106048584,854.595,304.011,0.9582599997520447,,,,987.828,391.121,0.9999300241470337,1029.606,333.927,0.9999399781227112,1078.089,279.91,0.9473999738693237,1099.295,273.216,0.9998400211334229,492.855,505.573,0.999970018863678,527.973,439.544,0.9988399744033813,595.854,397.866,0.9993199706077576,624.012,415.1,0.9986799955368042,1316.892,426.054,0.9997299909591675,1255.397,457.496,0.9986400008201599,1207.267,502.714,0.9999899864196777,1191.158,529.008,0.9999899864196777,1302.887,345.658,0.9998900294303894,1242.034,377.535,0.997730016708374,1187.935,408.962,0.9999300241470337,1157.804,420.269,0.9999600052833557,564.036,292.13,0.9761300086975098,653.346,263.908,0.9906299710273743,742.01,234.88,0.9604799747467041,771.244,219.537,0.9950699806213379,1091.08,285.45,0.9999899864196777,1028.075,270.142,0.9998800158500671,944.455,262.023,0.9998700022697449,916.125,250.957,0.9997199773788452,1296.521,224.733,0.9999600052833557,1244.95,216.319,0.9999899864196777,1180.093,202.651,0.9999899864196777,1153.403,196.121,1.0,186.232,791.493,0.9999899864196777,1622.137,768.265,0.9999899864196777,222.307,185.368,1.0,1647.16,181.644,1.0,117.113,834.337,0.9999899864196777,1730.937,809.382,0.9999799728393555,143.201,117.538,1.0,1753.281,129.939,1.0
