scorer,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,topbackleftP,topbackleftP,topbackleftP,topbackrightP,topbackrightP,topbackrightP,topfrontleftP,topfrontleftP,topfrontleftP,topfrontrightP,topfrontrightP,topfrontrightP,bottombackleftP,bottombackleftP,bottombackleftP,bottombackrightP,bottombackrightP,bottombackrightP,bottomfrontleftP,bottomfrontleftP,bottomfrontleftP,bottomfrontrightP,bottomfrontrightP,bottomfrontrightP
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1160.678,188.064,1.0,1243.738,164.086,0.9982500076293945,1300.661,147.557,0.9375200271606445,1333.0889164886182,152.7592933618211,1.0,924.133,689.658,0.998769998550415,875.717,611.358,0.9863799810409546,823.928,526.697,0.9998999834060669,818.504,498.78,0.9999899864196777,255.633,353.607,0.9999600052833557,267.852,415.881,0.8314700126647949,324.341,424.06,1.0,342.855,399.808,0.9999899864196777,424.883,555.63,0.9998999834060669,468.084,485.784,0.9995200037956238,500.546,415.307,0.9988099932670593,518.028,391.344,0.9998499751091003,572.5,191.672,0.9999799728393555,644.847,228.282,0.9662600159645081,735.541,293.891,0.9986299872398376,758.684,322.973,0.9988999962806702,1434.834,252.888,1.0,1349.628,245.248,0.9944900274276733,1271.62,231.359,0.9958999752998352,1253.432,218.9,0.999809980392456,972.643,333.207,0.9998700022697449,1077.263,348.578,0.9965100288391113,1181.695,364.201,0.9999200105667114,1214.417,363.165,0.999019980430603,858.351,261.546,0.9993100166320801,916.984,267.28,0.9999600052833557,977.066,269.303,0.999809980392456,1003.556,262.934,0.9993600249290466,161.963,118.173,0.99822998046875,2069.287,135.049,0.9743800163269043,235.89,179.969,0.964709997177124,1915.873,188.411,0.9983199834823608,215.666,843.599,0.9999399781227112,1973.143,811.536,0.7925400137901306,268.801,796.738,0.9703999757766724,1869.673,773.052,0.9914900064468384
1,1160.678,189.987,0.9999499917030334,1244.143,164.381,0.9947599768638611,1301.727,147.724,0.9470099806785583,1331.727,164.546,,925.898,692.64,0.9991899728775024,876.59,611.561,0.9865900278091431,824.91,531.153,0.9996299743652344,818.504,505.582,0.9999899864196777,262.17,353.607,0.999970018863678,271.153,416.911,0.9749299883842468,324.341,426.867,0.9976400136947632,342.855,406.866,0.9999600052833557,425.144,560.938,0.9996600151062012,470.575,490.915,0.9993299841880798,501.423,420.217,0.9989799857139587,518.028,394.694,0.9998000264167786,572.5,191.672,0.9999799728393555,646.14,228.282,0.9106799960136414,736.327,293.891,0.9996500015258789,763.801,322.973,0.9977800250053406,1440.893,252.888,1.0,1362.51,245.441,0.986240029335022,1281.635,232.286,0.9991700053215027,1262.867,218.9,0.9998999834060669,972.643,333.207,0.999779999256134,1077.263,348.578,0.9907799959182739,1181.695,364.542,0.9999099969863892,1224.026,363.165,0.9874799847602844,858.739,261.552,0.9986400008201599,917.283,267.28,0.9999799728393555,977.066,269.488,0.9999099969863892,1003.556,267.674,0.9996399879455566,161.963,118.189,0.9984899759292603,2069.476,135.204,0.9886500239372253,236.271,179.969,0.9755100011825562,1916.958,188.447,0.9956700205802917,216.134,843.599,0.9999600052833557,1973.227,811.947,0.988789975643158,268.801,796.764,0.9761000275611877,1869.693,773.175,0.9928600192070007
2,1160.678,191.974,0.9999099969863892,1246.004,164.631,0.9926699995994568,1307.563,147.724,0.8945599794387817,1331.727,166.681,0.42923998832702637,927.56,698.324,0.9992799758911133,882.494,614.528,0.923799991607666,829.666,539.266,0.9857699871063232,818.504,512.711,0.9999799728393555,268.424,353.607,0.9998800158500671,272.467,416.911,0.9981499910354614,324.341,440.367,0.9998300075531006,342.855,418.429,0.9999799728393555,426.388,567.12,0.9996299743652344,470.645,494.023,0.9997000098228455,501.847,423.142,0.9983500242233276,518.028,402.33,0.9998800158500671,572.5,191.672,0.9998199939727783,646.451,228.282,0.8967400193214417,736.441,293.891,0.9995800256729126,763.801,322.973,0.9974799752235413,1445.875,252.888,1.0,1362.794,246.201,0.9947699904441833,1285.678,233.552,0.9989200234413147,1265.962,220.699,1.0,972.643,333.207,0.999180018901825,1077.263,348.578,0.9948599934577942,1181.695,364.801,0.9998300075531006,1224.026,363.165,0.9773399829864502,858.789,265.499,0.9984899759292603,918.139,267.28,0.999970018863678,977.622,272.699,1.0,1003.556,269.666,0.9998700022697449,161.964,118.189,0.998199999332428,2069.538,135.212,0.9869899749755859,236.285,187.02,0.9606299996376038,1917.274,188.607,0.9912300109863281,216.134,843.599,0.999970018863678,1973.234,811.947,0.9544699788093567,268.801,796.772,0.9667400121688843,1869.693,773.177,0.9905800223350525
3,1159.737,192.977,0.9998499751091003,1246.004,168.845,0.9979900121688843,1301.727,147.627,0.9979299902915955,1330.1702398290736,149.93461670227646,1.0,929.444,700.729,0.9992700219154358,887.674,620.314,0.9734399914741516,829.805,541.153,0.9822700023651123,816.462,515.839,0.9997900128364563,271.171,349.773,0.9999300241470337,272.467,415.881,0.9999099969863892,321.541,446.41,0.9999799728393555,341.687,433.587,0.9999799728393555,426.472,572.689,0.999970018863678,470.645,501.618,0.9989699721336365,502.563,429.201,0.999809980392456,514.203,402.716,0.9999899864196777,570.427,187.382,0.9991099834442139,646.14,228.035,0.9414100050926208,736.699,290.494,0.9997699856758118,759.1,317.658,0.9985399842262268,1452.817,252.888,1.0,1370.142,246.698,0.9973000288009644,1293.778,233.552,0.9990599751472473,1276.15,220.252,0.9999099969863892,971.599,333.047,0.9988899827003479,1075.217,347.969,0.9956300258636475,1180.632,364.801,0.9998700022697449,1222.547,355.791,0.9694200158119202,860.531,273.021,0.9994400143623352,918.788,261.749,0.9999300241470337,977.066,273.712,1.0,1002.119,275.301,0.999970018863678,161.964,118.189,0.9979100227355957,2069.562,135.225,0.986739993095398,236.351,187.02,0.962660014629364,1917.274,188.696,0.9912400245666504,216.134,843.599,0.9999600052833557,1973.234,812.005,0.9828799962997437,268.826,796.764,0.9711499810218811,1869.693,773.213,0.9925299882888794
4,1158.46,193.59,0.9999600052833557,1246.004,170.801,0.9997400045394897,1300.661,147.627,0.981939971446991,1336.0635931481631,149.89961670227646,1.0,934.702,701.056,0.9994999766349792,889.201,620.454,0.9875100255012512,832.144,542.221,0.9956300258636475,815.328,528.243,0.9999399781227112,273.695,346.35,0.9999899864196777,279.648,413.392,0.9983299970626831,321.323,450.407,0.9995200037956238,341.4,443.344,0.9999399781227112,427.467,579.847,0.9999300241470337,470.575,504.602,0.9994800090789795,503.642,438.72,0.999809980392456,514.203,411.142,0.9999799728393555,570.427,186.939,0.9991300106048584,644.847,224.423,0.948930025100708,739.214,285.675,0.9997699856758118,759.1,315.621,0.9828500151634216,1458.749,252.888,1.0,1380.048,246.698,0.9974700212478638,1300.005,233.671,0.9998599886894226,1279.135,220.699,0.9999799728393555,970.516,331.617,0.9976699948310852,1075.217,347.094,0.9921900033950806,1180.481,365.628,0.9998999834060669,1220.394,353.958,0.982230007648468,861.77,280.416,0.9989200234413147,918.788,259.863,0.999459981918335,977.066,273.712,1.0,1001.178,284.649,1.0,161.995,118.186,0.9979900121688843,2069.538,135.263,0.9891300201416016,236.351,187.02,0.9594399929046631,1917.274,188.989,0.990090012550354,216.064,843.599,0.999970018863678,1973.305,811.962,0.9660000205039978,268.826,796.764,0.9693099856376648,1869.668,773.201,0.9929400086402893
5,1157.333,193.849,0.9998999834060669,1245.262,172.034,0.9998999834060669,1300.555,146.669,0.5959699749946594,1336.178593148163,146.98794004273157,1.0,939.998,705.294,0.9991199970245361,890.795,620.684,0.9688799977302551,835.359,547.48,0.9977700114250183,814.655,530.509,0.9999899864196777,276.354,342.04,0.9999899864196777,282.857,404.222,0.9989100098609924,316.285,455.181,0.9986199736595154,340.456,455.377,0.9996200203895569,431.338,587.794,0.9999399781227112,470.529,512.336,0.9961000084877014,511.145,442.872,0.9996500015258789,514.203,417.312,0.9999799728393555,570.427,185.58,0.9865099787712097,642.993,221.572,0.9367300271987915,739.214,281.133,0.9999399781227112,759.1,307.617,0.9771900177001953,1464.87,253.694,1.0,1382.163,247.501,0.9973899722099304,1303.012,234.436,0.9993600249290466,1284.786,220.699,0.9999899864196777,968.839,331.289,0.9983199834823608,1074.775,346.755,0.9836699962615967,1180.481,366.327,0.9997299909591675,1220.394,353.958,0.9996200203895569,864.791,286.889,0.9996399879455566,918.251,259.863,0.9998199939727783,976.983,273.712,0.9999899864196777,1000.013,284.649,0.9999200105667114,162.041,118.066,0.9982600212097168,2069.494,135.407,0.9902899861335754,236.49,187.02,0.9608799815177917,1917.255,189.926,0.9857000112533569,216.017,843.775,0.9999499917030334,1973.305,812.005,0.9814000129699707,268.826,796.64,0.9716299772262573,1869.668,773.245,0.9936599731445312
6,1155.506,193.849,0.9998199939727783,1245.262,175.771,0.9998999834060669,,146.669,,1333.1389164886182,146.9879400427318,1.0,942.092,708.478,0.9992300271987915,892.694,623.101,0.987529993057251,839.377,549.778,0.9968900084495544,814.655,539.615,0.9998800158500671,278.84,337.105,0.9999600052833557,286.928,400.122,0.9997100234031677,312.639,455.958,0.9999099969863892,337.247,462.122,0.9999600052833557,440.424,597.606,0.9999799728393555,470.279,513.199,0.9988800287246704,512.68,451.412,0.9999099969863892,519.892,429.429,1.0,567.373,181.479,0.9945499897003174,642.993,220.768,0.9341999888420105,736.699,275.937,0.9999799728393555,759.1,302.247,0.9996899962425232,1470.962,253.88,1.0,1384.735,247.547,0.9941099882125854,1309.791,236.555,0.998199999332428,1290.66,221.735,0.9999300241470337,967.896,330.757,0.9983100295066833,1074.557,346.457,0.9878699779510498,1180.481,367.435,0.9991400241851807,1218.579,353.958,0.9998700022697449,864.791,292.275,0.999970018863678,918.251,259.863,0.9999899864196777,976.983,271.146,1.0,997.111,284.649,0.9999399781227112,162.041,118.035,0.9984899759292603,2069.494,135.407,0.9914799928665161,236.739,187.02,0.9519699811935425,1917.096,194.369,0.9831799864768982,215.886,843.775,0.9999399781227112,1973.312,811.986,0.9863100051879883,268.826,796.64,0.9712100028991699,1869.65,773.27,0.9925600290298462
