,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Speed_Diff,Sync
0,1995,09,07,05,S,S,0,individual1xindividual2,0,-0.9960225875035976,-1.6240267435247195,1.9051309294903769,-121.35065855059982,-102.40936791269289,0.8742382672903375,0.5586637528896341
1,1995,09,07,05,S,S,0,individual1xindividual2,1,-0.3234502317971093,-1.479498500136351,1.5144424268869767,-101.83856723911956,-146.33252859036082,1.0308475141928266,0.9798677907718356
2,1995,09,07,05,S,S,0,individual1xindividual2,2,0.2573258794655031,-1.253248977365694,1.2793942345934082,-78.07193014048829,-103.40984400059823,0.4262835035284552,0.9706561557768487
3,1995,09,07,05,S,S,0,individual1xindividual2,3,0.27934251431688034,-1.0024251431688027,1.0406192425483354,-74.51403434159265,-29.0257053201683,-0.4858374252536885,0.9706561557768487
4,1995,09,07,05,S,S,0,individual1xindividual2,4,0.2766231251704389,-0.8252124352331606,0.8703424134457102,-71.4092549419685,-33.87889627649952,0.09648179415833973,0.9733510065069584
5,1995,09,07,05,S,S,0,individual1xindividual2,5,,,,,,,0.9962572377128885
6,1995,09,07,05,S,S,0,individual1xindividual2,6,,,,,,,0.9917836111209579
7,1995,09,07,05,S,S,0,individual1xindividual2,7,,,,,,,0.9863847665468117
0,1995,09,07,05,S,S,0,individual3xindividual1,0,-1.3460651758931006,1.6081488955549494,2.097149095326016,129.73794761584935,149.44592517526266,-0.4375982411688478,0.3978911917278415
1,1995,09,07,05,S,S,0,individual3xindividual1,1,-2.082239432778838,1.9059929097354784,2.8228584851850176,137.42344226173643,-120.72009708381151,-0.5258695084119577,0.41243089308735
2,1995,09,07,05,S,S,0,individual3xindividual1,2,-2.741676029451868,2.0562326152167985,3.4270803927471962,143.0597427690801,-136.565529077815,-0.5406595869840234,0.41243089308735
3,1995,09,07,05,S,S,0,individual3xindividual1,3,-3.1978860103626947,2.179807199345514,3.870146555570211,145.71363905452012,-79.8731474735097,-0.10134623447978097,0.7461076218823299
4,1995,09,07,05,S,S,0,individual3xindividual1,4,-3.630086446686665,2.28085274065994,4.2871688600980224,147.8375211141083,-112.67664025145484,-0.3941100426600823,0.9001122659415512
5,1995,09,07,05,S,S,0,individual3xindividual1,5,-3.875925279520043,2.3783572402508866,4.547458623745393,148.46946891387574,-47.51313600681021,0.37115004668732865,0.9210242695331534
6,1995,09,07,05,S,S,0,individual3xindividual1,6,-4.04195882192528,2.5945961276247616,4.803057378756265,147.30422717755246,-50.57325379130294,-0.18602455420304245,0.9306759634985082
7,1995,09,07,05,S,S,0,individual3xindividual1,7,-4.149339241887101,2.520816471229888,4.855052196000382,148.7216708327848,14.373854568445953,-0.11233288601649158,0.845153565099036
8,1995,09,07,05,S,S,0,individual3xindividual1,8,-4.139775293155168,2.359739569130079,4.765092896464472,150.3273507802562,26.90091449775066,0.34905172865007056,0.8470715997954497
0,1995,09,07,05,S,S,0,individual4xindividual1,0,2.7943242432506135,1.1775276793018814,3.0322960627122457,22.856726084578526,-36.116009326673215,-0.9272324077206883,0.586495880228178
1,1995,09,07,05,S,S,0,individual4xindividual1,1,2.6001824379601843,1.2544265066812108,2.886959398976888,25.75118330319773,0.8228111961446342,-0.5517973489899589,0.5557891031017302
2,1995,09,07,05,S,S,0,individual4xindividual1,2,2.4751118080174535,1.2709670029997273,2.782361512259242,27.194873300058763,-28.113940992243162,0.1769634226170308,0.5067874093124715
3,1995,09,07,05,S,S,0,individual4xindividual1,3,2.1083266975729478,1.6465391328061085,2.6750948730018425,37.98951105332703,-74.4658096799094,0.46805617652092496,0.8010024984606389
4,1995,09,07,05,S,S,0,individual4xindividual1,4,,,,,,,0.7826094319668309
5,1995,09,07,05,S,S,0,individual4xindividual1,5,,,,,,,0.7853164633119045
6,1995,09,07,05,S,S,0,individual4xindividual1,6,0.16403763294245985,2.150386419416417,2.1566339740048432,86.02921703748511,179.83090921567162,1.6339049752653498,0.7865795234397944
7,1995,09,07,05,S,S,0,individual4xindividual1,7,,,,,,,0.7819856124301101
8,1995,09,07,05,S,S,0,individual4xindividual1,8,,,,,,,0.9760832275453947
9,1995,09,07,05,S,S,0,individual4xindividual1,9,-2.952769566403054,1.5261298063812379,3.3238411962970367,152.66709262701627,8.066095384180066,0.535612825535068,0.9733869006051407
