,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X,Y,Heading,Speed,TB_Frequency,Fish_Length
0,1995,09,07,05,S,S,0,individual1,0,786.1457368421052,708.6737894736843,33.376289666383876,1.7854736374077127,3.157894736842105,3.157894736842105
1,1995,09,07,05,S,S,0,individual1,1,883.6251578947368,713.9709473684211,-12.153639403575408,1.7903635939288876,3.88663967611336,3.88663967611336
2,1995,09,07,05,S,S,0,individual1,2,972.7165789473684,699.2928421052633,-10.303359921426283,1.34046397377533,3.4441873915558125,3.4441873915558125
3,1995,09,07,05,S,S,0,individual1,3,1044.9962631578946,681.0662105263157,-18.694977692362762,1.1654707137979106,2.1428571428571432,2.1428571428571432
4,1995,09,07,05,S,S,0,individual1,4,1107.0220526315786,658.4506842105264,-21.25891014111398,1.0979892267178675,3.4105263157894736,3.4105263157894736
5,1995,09,07,05,S,S,0,individual1,5,1162.5416842105262,638.7987368421052,-16.166377735151823,0.9106626763098006,2.4,2.4
6,1995,09,07,05,S,S,0,individual1,6,1213.7246842105262,622.5653157894736,-16.207195152001102,0.9768717949778938,3.2916408668730655,3.2916408668730655
7,1995,09,07,05,S,S,0,individual1,7,1274.2922631578947,605.9906315789473,-12.198488792799242,1.2421279547858315,3.0557275541795668,3.0557275541795668
8,1995,09,07,05,S,S,0,individual1,8,1345.1611578947368,585.5829473684211,-8.352431430518362,1.3326845950360762,3.763157894736842,3.763157894736842
9,1995,09,07,05,S,S,0,individual1,9,1429.0256842105264,586.3346842105263,-4.578323150277441,1.603796167412781,2.5,2.5
10,1995,09,07,05,S,S,0,individual1,10,1503.2824210526314,555.2907894736842,-50.263840607097514,2.073883281654473,2.8947368421052633,2.8947368421052633
11,1995,09,07,05,S,S,0,individual1,11,1511.098,439.28057894736844,-99.02692966788132,2.2770101655890485,4.109311740890687,4.109311740890687
12,1995,09,07,05,S,S,0,individual1,12,1463.9181578947369,318.15999999999997,-110.0996642233305,2.0958004160635135,1.5384615384615388,1.5384615384615388
13,1995,09,07,05,S,S,0,individual1,13,1387.9025789473683,250.38115789473684,-167.16369357635264,2.055510508290665,1.5384615384615388,1.5384615384615388
0,1995,09,07,05,S,S,0,individual2,0,978.3780962302995,395.2366279734134,135.02663312773606,0.9112353701173751,2.2222222222222223,2.2222222222222223
1,1995,09,07,05,S,S,0,individual2,1,946.051052631579,428.4277368421053,133.7233026184638,0.7595160797360612,1.8021243585153357,1.8021243585153357
2,1995,09,07,05,S,S,0,individual2,2,923.0526842105263,457.4157894736843,92.7992413804974,0.9141804702468748,1.2244897959183672,1.2244897959183672
3,1995,09,07,05,S,S,0,individual2,3,991.0831578947369,487.59815789473674,9.992287049113276,1.6513081390515993,1.2244897959183672,1.2244897959183672
4,1995,09,07,05,S,S,0,individual2,4,1053.6337894736844,499.1846842105264,13.19517287382259,1.001507432559528,3.6072807501378934,3.6072807501378934
5,1995,09,07,05,S,S,0,individual2,5,,,,,1.6216216216216217,1.6216216216216217
6,1995,09,07,05,S,S,0,individual2,6,,,,,1.518559274269304,1.518559274269304
7,1995,09,07,05,S,S,0,individual2,7,,,,,1.132075471698113,1.132075471698113
8,1995,09,07,05,S,S,0,individual2,8,,,,,1.132075471698113,1.132075471698113
9,1995,09,07,05,S,S,0,individual2,9,1329.6438421052633,603.054,77.95103256860975,1.6983924262685608,1.8037374740453191,1.8037374740453191
10,1995,09,07,05,S,S,0,individual2,10,1279.8031578947366,657.3416842105263,158.9324797916713,1.2303610460955001,2.616856827383143,2.616856827383143
11,1995,09,07,05,S,S,0,individual2,11,1216.6077368421054,660.7695263157897,179.2231416229342,1.3028304161077353,2.3076923076923075,2.3076923076923075
12,1995,09,07,05,S,S,0,individual2,12,1145.9576976870248,641.3629007322068,-170.23319721862052,1.407243210078734,3.40080971659919,3.40080971659919
13,1995,09,07,05,S,S,0,individual2,13,,,,,2.608695652173913,2.608695652173913
0,1995,09,07,05,S,S,0,individual3,0,526.3551578947369,398.3010526315789,-179.17635636413107,1.3478753962388648,4.037963761863675,4.037963761863675
1,1995,09,07,05,S,S,0,individual3,1,481.7529473684211,346.1143157894737,-132.65049381830522,1.2644940855169302,0.9836065573770489,0.9836065573770489
2,1995,09,07,05,S,S,0,individual3,2,443.57310526315797,302.4399473684211,-146.58423315578253,0.7998043867913066,0.9836065573770489,0.9836065573770489
3,1995,09,07,05,S,S,0,individual3,3,427.8042631578947,260.36342105263157,-98.75704062048985,1.06412447931813,1.3909450070387355,1.3909450070387355
4,1995,09,07,05,S,S,0,individual3,4,406.41536842105256,218.24610526315786,-134.08340101997626,0.7038791840577853,1.5789473684210524,1.5789473684210524
5,1995,09,07,05,S,S,0,individual3,5,414.4881052631579,179.7757894736842,-64.7548329306853,1.2818127229971292,1.608145541663547,1.608145541663547
6,1995,09,07,05,S,S,0,individual3,6,433.6266315789473,121.80826315789471,-63.80642692579651,0.7908472407748514,1.6216216216216217,1.6216216216216217
7,1995,09,07,05,S,S,0,individual3,7,473.46978947368416,119.47305263157897,1.885971008038245,1.1297950687693399,3.5846372688477954,3.5846372688477954
8,1995,09,07,05,S,S,0,individual3,8,546.1845263157895,130.1532105263158,19.188951100628934,1.6817363236861471,3.9473684210526314,3.9473684210526314
9,1995,09,07,05,S,S,0,individual3,9,622.2335789473683,181.8716315789474,31.013454465092636,1.3863788574597458,2.5541795665634677,2.5541795665634677
10,1995,09,07,05,S,S,0,individual3,10,679.7500526315789,202.56463157894734,12.72623937935259,1.0989306229599678,3.5642414860681115,3.5642414860681115
11,1995,09,07,05,S,S,0,individual3,11,735.2763684210527,196.2969473684211,-8.97289331966027,1.1192519964757028,3.9191729323308273,3.9191729323308273
12,1995,09,07,05,S,S,0,individual3,12,779.3764736842105,215.11215789473687,36.60905734110906,1.2295469299615054,3.091060985797828,3.091060985797828
13,1995,09,07,05,S,S,0,individual3,13,831.5321578947367,263.25752631578945,35.89729418733498,1.0493045799456133,2.2222222222222223,2.2222222222222223
0,1995,09,07,05,S,S,0,individual4,0,1325.4503157894737,481.410947368421,-2.4176253678984145,0.8582412296870243,3.75,3.75
1,1995,09,07,05,S,S,0,individual4,1,1385.4603684210526,471.86663157894736,-11.378706010781862,1.238566244938929,3.5526315789473686,3.5526315789473686
2,1995,09,07,05,S,S,0,individual4,2,1450.4131578947367,453.9962105263158,-39.82417955105293,1.5174273963923608,3.1578947368421053,3.1578947368421053
3,1995,09,07,05,S,S,0,individual4,3,1451.9033157894735,363.28415789473684,-92.89127569216893,1.6335268903188358,4.16267942583732,4.16267942583732
4,1995,09,07,05,S,S,0,individual4,4,,,,,4.810362936165247,4.810362936165247
5,1995,09,07,05,S,S,0,individual4,5,,,,,1.4634146341463417,1.4634146341463417
6,1995,09,07,05,S,S,0,individual4,6,1245.3839473684213,207.54073684210525,162.9465373884576,2.6107767702432434,3.288239360126394,3.288239360126394
7,1995,09,07,05,S,S,0,individual4,7,,,,,2.2753036437246963,2.2753036437246963
8,1995,09,07,05,S,S,0,individual4,8,,,,,2.9473684210526314,2.9473684210526314
9,1995,09,07,05,S,S,0,individual4,9,859.1411578947369,291.7916315789473,3.5456293423453635,2.139408992947849,5.037593984962406,5.037593984962406
10,1995,09,07,05,S,S,0,individual4,10,978.5669473684211,278.3308421052631,-17.660012428448223,2.1466240390989797,2.8571428571428568,2.8571428571428568
11,1995,09,07,05,S,S,0,individual4,11,1069.9508421052633,246.70936842105263,-10.172024293718312,1.775547951419668,5.167464114832535,5.167464114832535
12,1995,09,07,05,S,S,0,individual4,12,1158.4491578947368,232.78005263157894,-1.3765226707136207,2.0297842254338807,5.0079744816586915,5.0079744816586915
13,1995,09,07,05,S,S,0,individual4,13,1241.704368421053,205.69484210526318,1.3051371212857665,2.0441393546861675,3.8915470494417863,3.8915470494417863
0,1995,09,07,05,S,S,0,individual5,0,909.1041574210526,308.3066906368421,5.637920473831653,0.8319029579413435,0.7894736842105262,0.7894736842105262
1,1995,09,07,05,S,S,0,individual5,1,934.1637168000001,301.9728203894737,-27.206684913867917,0.5688214376045581,0.7894736842105262,0.7894736842105262
2,1995,09,07,05,S,S,0,individual5,2,960.2974049842106,297.63971192631584,-25.617030414964127,0.4662784670694588,0.7894736842105262,0.7894736842105262
3,1995,09,07,05,S,S,0,individual5,3,977.981127763158,288.15746037368416,-38.19284067777786,0.18624095446562827,0.7894736842105262,0.7894736842105262
4,1995,09,07,05,S,S,0,individual5,4,987.7914286631578,323.1488855263158,81.34108607754966,1.2483192844270536,1.9354838709677422,1.9354838709677422
5,1995,09,07,05,S,S,0,individual5,5,984.269762842105,374.4547028789474,102.4703294161234,1.4606224271066506,1.913200339558574,1.913200339558574
6,1995,09,07,05,S,S,0,individual5,6,922.4797783157894,423.1516897736842,122.67534265490593,1.0410480469937222,1.875,1.875
7,1995,09,07,05,S,S,0,individual5,7,895.9774981105262,465.9245952894737,121.09375173739836,0.8103184150174715,1.5933889602053917,1.5933889602053917
8,1995,09,07,05,S,S,0,individual5,8,875.2814490473686,495.4359588105264,133.73207002917368,0.574539038620829,1.4634146341463417,1.4634146341463417
9,1995,09,07,05,S,S,0,individual5,9,847.7007224,511.67465258947374,-174.6521295996776,1.4960018436018772,1.3004838550409794,1.3004838550409794
10,1995,09,07,05,S,S,0,individual5,10,789.5826113052631,455.9027365947369,-147.424695700385,0.9730095604766049,1.1538461538461537,1.1538461538461537
11,1995,09,07,05,S,S,0,individual5,11,755.0187137368421,426.99735745789474,-125.25993645551071,0.5589744124016846,1.1538461538461537,1.1538461538461537
12,1995,09,07,05,S,S,0,individual5,12,754.6801573210527,396.64047174736845,-76.75421585180995,0.5720907110949011,1.1538461538461537,1.1538461538461537
13,1995,09,07,05,S,S,0,individual5,13,756.486771505263,373.76090811578945,-91.54463582291606,0.2988073677262069,1.1538461538461537,1.1538461538461537
0,1995,09,07,05,S,S,0,individual6,0,1302.3070468421054,797.6377464105262,159.09095180586058,1.2871222543578809,2.5,2.5
1,1995,09,07,05,S,S,0,individual6,1,1236.7065849473686,802.5335865894737,-168.28411149634542,1.3283942418669001,3.9962406015037586,3.9962406015037586
2,1995,09,07,05,S,S,0,individual6,2,1159.3395356315787,764.6414733736842,-159.98452170942943,1.6328360266442115,1.7142857142857142,1.7142857142857142
3,1995,09,07,05,S,S,0,individual6,3,1073.0547645789472,740.8746680789474,-171.06467549036972,1.4212547275651906,2.3157894736842106,2.3157894736842106
