Year,Month,Day,Trial,Ablation,Darkness,Flow,Turn Start Frame,Turn End Frame,Fish,Turn Direction,Appox Turn Angle,No. Fish Left,No. Fish Right
2021,10,8,21,LN,DY,F2,4,14,1,right,45,0,7
2021,10,8,21,LN,DY,F2,157,167,1,right,20,0,7
2021,10,8,21,LN,DY,F2,196,210,1,left,20,0,7
2021,10,8,21,LN,DY,F2,241,252,1,right,20,0,7
2021,10,8,21,LN,DY,F2,286,323,1,left,45,6,1
2021,10,8,21,LN,DY,F2,24,34,2,left,20,2,5
2021,10,8,21,LN,DY,F2,73,88,2,left,45,1,6
2021,10,8,21,LN,DY,F2,204,235,2,right,45,2,5
2021,10,8,21,LN,DY,F2,282,296,2,right,10,7,0
2021,10,8,21,LN,DY,F2,56,75,3,right,45,0,7
2021,10,8,21,LN,DY,F2,102,112,3,right,20,0,7
2021,10,8,21,LN,DY,F2,126,132,3,right,20,0,7
2021,10,8,21,LN,DY,F2,140,150,3,right,90,4,3
2021,10,8,21,LN,DY,F2,196,207,3,right,45,2,5
2021,10,8,21,LN,DY,F2,225,234,3,right,20,1,6
2021,10,8,21,LN,DY,F2,262,272,3,right,20,4,3
2021,10,8,21,LN,DY,F2,33,50,4,right,45,4,3
2021,10,8,21,LN,DY,F2,58,80,4,left,90,5,2
2021,10,8,21,LN,DY,F2,268,280,4,left,45,3,4
2021,10,8,21,LN,DY,F2,330,333,4,right,45,4,3
2021,10,8,21,LN,DY,F2,230,248,5,left,45,6,1
2021,10,8,21,LN,DY,F2,252,270,5,left,90,5,2
2021,10,8,21,LN,DY,F2,290,317,5,left,90,4,3
2021,10,8,21,LN,DY,F2,324,333,5,left,20,4,3
2021,10,8,21,LN,DY,F2,5,18,6,right,20,1,6
2021,10,8,21,LN,DY,F2,77,90,6,left,70,5,2
2021,10,8,21,LN,DY,F2,203,216,6,right,45,0,7
2021,10,8,21,LN,DY,F2,264,278,6,right,20,1,6
2021,10,8,21,LN,DY,F2,285,294,6,left,10,4,3
2021,10,8,21,LN,DY,F2,300,315,6,left,20,7,0
2021,10,8,21,LN,DY,F2,44,56,7,left,45,5,2
2021,10,8,21,LN,DY,F2,82,95,7,left,45,6,1
2021,10,8,21,LN,DY,F2,126,140,7,right,120,0,7
2021,10,8,21,LN,DY,F2,163,175,7,right,45,2,5
2021,10,8,21,LN,DY,F2,195,212,7,right,120,2,5
2021,10,8,21,LN,DY,F2,216,228,7,right,20,1,6
2021,10,8,21,LN,DY,F2,246,259,7,right,10,0,7
2021,10,8,21,LN,DY,F2,262,287,7,right,90,1,6
2021,10,8,21,LN,DY,F2,305,318,7,right,45,0,7
2021,10,8,21,LN,DY,F2,59,75,8,left,20,7,0
2021,10,8,21,LN,DY,F2,269,284,8,right,20,2,5
2021,10,8,21,LN,DY,F2,180,205,8,left,10,5,2
2021,10,8,21,LN,DY,F2,244,264,8,left,15,4,3
2021,10,8,21,LN,DY,F2,301,316,8,right,20,2,5
2020,7,28,3,TN,DN,F2,21,37,1,right,45,0,7
2020,7,28,3,TN,DN,F2,51,62,1,right,20,0,7
2020,7,28,3,TN,DN,F2,79,90,1,right,45,0,7
2020,7,28,3,TN,DN,F2,110,123,1,right,20,0,7
2020,7,28,3,TN,DN,F2,139,152,1,right,20,3,4
2020,7,28,3,TN,DN,F2,190,207,1,right,45,6,1
2020,7,28,3,TN,DN,F2,232,247,1,left,20,7,0
2020,7,28,3,TN,DN,F2,266,284,1,left,90,7,0
2020,7,28,3,TN,DN,F2,285,299,1,left,20,4,3
2020,7,28,3,TN,DN,F2,40,57,2,right,50,2,5
2020,7,28,3,TN,DN,F2,102,119,2,right,45,2,5
2020,7,28,3,TN,DN,F2,197,214,2,left,45,7,0
2020,7,28,3,TN,DN,F2,238,256,2,left,90,5,2
2020,7,28,3,TN,DN,F2,4,18,3,right,20,1,6
2020,7,28,3,TN,DN,F2,29,45,3,left,15,1,6
2020,7,28,3,TN,DN,F2,66,83,3,right,45,1,6
2020,7,28,3,TN,DN,F2,284,302,3,right,75,2,5
2020,7,28,3,TN,DN,F2,1,20,4,left,90,7,0
2020,7,28,3,TN,DN,F2,30,45,4,left,20,7,0
2020,7,28,3,TN,DN,F2,162,174,4,right,10,3,4
2020,7,28,3,TN,DN,F2,196,209,4,right,10,3,4
2020,7,28,3,TN,DN,F2,36,50,5,right,20,0,7
2020,7,28,3,TN,DN,F2,65,79,5,right,45,0,7
2020,7,28,3,TN,DN,F2,85,99,5,right,20,0,7
2020,7,28,3,TN,DN,F2,187,226,5,left,20,5,2
2020,7,28,3,TN,DN,F2,284,304,5,right,20,4,3
2020,7,28,3,TN,DN,F2,33,46,6,left,90,5,2
2020,7,28,3,TN,DN,F2,121,133,6,right,20,2,5
2020,7,28,3,TN,DN,F2,139,159,6,right,10,0,7
2020,7,28,3,TN,DN,F2,167,182,6,right,20,0,7
2020,7,28,3,TN,DN,F2,200,216,6,right,20,0,7
2020,7,28,3,TN,DN,F2,264,284,6,right,90,2,5
2020,7,28,3,TN,DN,F2,298,311,6,right,20,0,7
2020,7,28,3,TN,DN,F2,49,66,7,left,10,4,3
2020,7,28,3,TN,DN,F2,80,95,7,right,90,0,7
2020,7,28,3,TN,DN,F2,99,116,7,right,20,0,7
2020,7,28,3,TN,DN,F2,206,223,7,left,20,4,3
2020,7,28,3,TN,DN,F2,222,240,7,left,20,3,4
2020,7,28,3,TN,DN,F2,148,165,8,right,20,1,6
2020,7,28,3,TN,DN,F2,170,180,8,right,20,1,6
2020,7,28,3,TN,DN,F2,190,204,8,right,20,1,6
2020,7,28,3,TN,DN,F2,247,260,8,left,10,5,2
2020,7,28,3,TN,DN,F2,266,284,8,left,45,6,1
2020,7,28,3,TN,DN,F2,288,304,8,left,90,6,1
2020,7,28,3,TN,DN,F2,306,311,8,left,20,6,1
2020,7,28,10,TN,DN,F0,24,38,1,left,45,3,4
2020,7,28,10,TN,DN,F0,63,82,1,left,90,4,3
2020,7,28,10,TN,DN,F0,104,118,1,left,45,7,0
2020,7,28,10,TN,DN,F0,121,134,1,left,20,7,0
2020,7,28,10,TN,DN,F0,172,189,1,left,10,7,0
2020,7,28,10,TN,DN,F0,217,254,1,left,90,7,0
2020,7,28,10,TN,DN,F0,1,16,2,left,45,4,3
2020,7,28,10,TN,DN,F0,43,60,2,left,20,6,1
2020,7,28,10,TN,DN,F0,88,105,2,left,10,6,1
2020,7,28,10,TN,DN,F0,138,158,2,right,10,5,2
2020,7,28,10,TN,DN,F0,180,205,2,right,10,3,4
2020,7,28,10,TN,DN,F0,245,262,2,right,20,3,4
2020,7,28,10,TN,DN,F0,263,279,2,right,90,1,6
2020,7,28,10,TN,DN,F0,297,310,2,left,10,2,5
2020,7,28,10,TN,DN,F0,3,20,3,right,45,0,7
2020,7,28,10,TN,DN,F0,37,51,3,right,10,1,6
2020,7,28,10,TN,DN,F0,99,117,3,right,10,0,7
2020,7,28,10,TN,DN,F0,152,167,3,right,10,4,3
2020,7,28,10,TN,DN,F0,195,214,3,right,10,4,3
2020,7,28,10,TN,DN,F0,251,274,3,right,45,3,4
2020,7,28,10,TN,DN,F0,302,310,3,left,45,7,0
2020,7,28,10,TN,DN,F0,29,44,4,left,90,7,0
2020,7,28,10,TN,DN,F0,51,71,4,left,45,7,0
2020,7,28,10,TN,DN,F0,86,125,4,right,10,7,0
2020,7,28,10,TN,DN,F0,147,165,4,left,20,7,0
2020,7,28,10,TN,DN,F0,188,220,4,left,90,7,0
2020,7,28,10,TN,DN,F0,223,238,4,left,10,6,1
2020,7,28,10,TN,DN,F0,256,272,4,left,20,6,1
2020,7,28,10,TN,DN,F0,283,302,4,left,20,6,1
2020,7,28,10,TN,DN,F0,34,48,5,left,45,7,0
2020,7,28,10,TN,DN,F0,55,70,5,left,45,7,0
2020,7,28,10,TN,DN,F0,90,106,5,left,45,5,2
2020,7,28,10,TN,DN,F0,161,176,5,left,20,6,1
2020,7,28,10,TN,DN,F0,216,233,5,left,20,6,1
2020,7,28,10,TN,DN,F0,265,285,5,left,20,7,0
2020,7,28,10,TN,DN,F0,286,302,5,left,20,6,1
2020,7,28,10,TN,DN,F0,34,48,6,right,20,1,6
2020,7,28,10,TN,DN,F0,93,125,6,left,180,7,0
2020,7,28,10,TN,DN,F0,148,172,6,left,20,6,1
2020,7,28,10,TN,DN,F0,297,310,6,right,10,6,1
2020,7,28,10,TN,DN,F0,35,55,7,right,10,0,7
2020,7,28,10,TN,DN,F0,63,81,7,right,45,1,6
2020,7,28,10,TN,DN,F0,109,142,7,right,45,0,7
2020,7,28,10,TN,DN,F0,191,209,7,right,20,6,1
2020,7,28,10,TN,DN,F0,263,289,7,right,10,5,2
2020,7,28,10,TN,DN,F0,302,310,7,left,45,5,2
2020,7,28,10,TN,DN,F0,11,29,8,left,90,2,5
2020,7,28,10,TN,DN,F0,36,53,8,left,20,3,4
2020,7,28,10,TN,DN,F0,80,96,8,left,20,4,3
2020,7,28,10,TN,DN,F0,105,124,8,left,45,5,2
2020,7,28,10,TN,DN,F0,194,211,8,left,45,4,3
2020,7,28,10,TN,DN,F0,227,245,8,left,90,7,0
2020,7,28,10,TN,DN,F0,299,310,8,left,120,7,0
2020,7,28,11,TN,DN,F0,19,34,1,left,45,4,3
2020,7,28,11,TN,DN,F0,47,65,1,left,90,7,0
2020,7,28,11,TN,DN,F0,77,93,1,left,10,7,0
2020,7,28,11,TN,DN,F0,145,163,1,left,20,7,0
2020,7,28,11,TN,DN,F0,185,204,1,right,20,4,3
2020,7,28,11,TN,DN,F0,229,249,1,right,45,0,7
2020,7,28,11,TN,DN,F0,254,271,1,right,20,0,7
2020,7,28,11,TN,DN,F0,11,25,2,right,20,0,7
2020,7,28,11,TN,DN,F0,68,82,2,right,20,4,3
2020,7,28,11,TN,DN,F0,111,150,2,right,20,5,2
2020,7,28,11,TN,DN,F0,176,196,2,right,20,1,6
2020,7,28,11,TN,DN,F0,209,225,2,right,20,0,7
2020,7,28,11,TN,DN,F0,241,258,2,right,20,0,7
2020,7,28,11,TN,DN,F0,11,25,3,left,20,7,0
2020,7,28,11,TN,DN,F0,46,62,3,left,45,7,0
