"","Year","Month","Day","Trial","Flow","Ablation","Darkness","Frame","Fish","X","Y","BL_X","BL_Y"
"1",2020,7,28,10,"Still Water","No Ablation","Light",0,"1",1366.388454,413.8267358,7.07973292227979,2.14417997823834
"2",2020,7,28,10,"Still Water","No Ablation","Light",0,"2",1072.861505,653.0753645,5.5588679015544,3.38381017875648
"3",2020,7,28,10,"Still Water","No Ablation","Light",0,"3",768.2614083,734.4324905,3.98062905854922,3.80534969170984
"4",2020,7,28,10,"Still Water","No Ablation","Light",0,"4",1483.442387,862.2659501,7.68622998445596,4.46769922331606
"5",2020,7,28,10,"Still Water","No Ablation","Light",0,"5",1014.434333,275.8433009,5.25613644041451,1.42923990103627
"6",2020,7,28,10,"Still Water","No Ablation","Light",0,"6",1333.415015,784.0473041,6.9088860880829,4.06242126476684
"7",2020,7,28,10,"Still Water","No Ablation","Light",0,"7",1206.214802,818.4768981,6.24981762694301,4.24081294352332
"8",2020,7,28,10,"Still Water","No Ablation","Light",0,"8",1079.856763,537.0874236,5.59511276165803,2.78283639170984
"9",2020,7,28,10,"Still Water","No Ablation","Light",1,"1",1366.388454,418.5639516,7.07973292227979,2.16872513782383
"10",2020,7,28,10,"Still Water","No Ablation","Light",1,"2",1082.02865,655.0545122,5.60636606217617,3.39406483005181
"11",2020,7,28,10,"Still Water","No Ablation","Light",1,"3",768.2614083,734.4324905,3.98062905854922,3.80534969170984
"12",2020,7,28,10,"Still Water","No Ablation","Light",1,"4",1488.951074,868.9426297,7.71477240414508,4.50229341813472
"13",2020,7,28,10,"Still Water","No Ablation","Light",1,"5",1014.434333,277.5548283,5.25613644041451,1.43810791865285
"14",2020,7,28,10,"Still Water","No Ablation","Light",1,"6",1333.415015,789.5204535,6.9088860880829,4.09077955181347
"15",2020,7,28,10,"Still Water","No Ablation","Light",1,"7",1206.214802,818.4768981,6.24981762694301,4.24081294352332
"16",2020,7,28,10,"Still Water","No Ablation","Light",1,"8",1079.856763,539.9164927,5.59511276165803,2.79749478082902
"17",2020,7,28,10,"Still Water","No Ablation","Light",2,"1",1366.388454,420.9440989,7.07973292227979,2.18105750725389
"18",2020,7,28,10,"Still Water","No Ablation","Light",2,"2",1092.785569,655.0545122,5.66210139378238,3.39406483005181
"19",2020,7,28,10,"Still Water","No Ablation","Light",2,"3",769.3109723,734.4324905,3.98606721398964,3.80534969170984
"20",2020,7,28,10,"Still Water","No Ablation","Light",2,"4",1493.709211,872.3984349,7.73942596373057,4.52019914455959
"21",2020,7,28,10,"Still Water","No Ablation","Light",2,"5",1014.434333,278.5705171,5.25613644041451,1.44337055492228
