,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,Fish1_X,Fish1_Y,Fish2_X,Fish2_Y,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Spatial_Auto,Sync
0,2021,10,06,34,Y,N,2,individual1xindividual2,0,499.0880419263127,354.18880273325533,,,,,,,,2.2027567472607745,,,,0.471665194036481
1,2021,10,06,34,Y,N,2,individual1xindividual2,1,506.45978947368417,373.179052631579,,,,,,,,1.8318740569029652,,,,0.5437908948407654
2,2021,10,06,34,Y,N,2,individual1xindividual2,2,599.7304210526315,408.9321052631579,,,,,,,,2.593537701090719,,,,0.5437908948407654
3,2021,10,06,34,Y,N,2,individual1xindividual2,3,,,,,,,,,,,,,,0.5437908948407654
4,2021,10,06,34,Y,N,2,individual1xindividual2,4,,,,,,,,,,,,,,0.5437908948407654
5,2021,10,06,34,Y,N,2,individual1xindividual2,5,1075.7848421052631,352.756,1423.1885789473686,285.5808421052631,-1.8000193618761928,-0.34805781292609766,1.833361378525269,-169.0589268994447,26.696077682103525,0.9718881072959952,0.9642806287831103,0.007607478512884838,0.9201644482294333,0.5437908948407654
6,2021,10,06,34,Y,N,2,individual1xindividual2,6,1116.681894736842,302.0052631578947,1503.6680000000001,245.535,-2.0051093536951186,-0.2925920370875375,2.0263448917799485,-171.6696508426549,50.82079860012673,1.940483464763231,1.714482313775635,0.22600115098759616,,0.334769859242398
7,2021,10,06,34,Y,N,2,individual1xindividual2,7,1134.0605789473684,268.5353684210527,1523.4885789473685,207.6987894736842,-2.017761658031088,-0.3152154349604582,2.042234775694919,-171.12368352981088,29.381781123909022,2.323102658037166,1.800377160601272,0.5227254974358942,,0.047365935294642766
0,2021,10,06,34,Y,N,2,individual1xindividual3,0,499.0880419263127,354.18880273325533,1187.0624210526316,367.88347368421046,-3.5646340887374035,0.0709568443054673,3.565340244681078,65.16132296435623,106.57527262706108,2.2027567472607745,1.6283460644911778,0.5744106827695966,,0.38478510183481623
1,2021,10,06,34,Y,N,2,individual1xindividual3,1,506.45978947368417,373.179052631579,1219.2356842105264,347.02115789473686,-3.6931393509680936,-0.13553313335151346,3.6956254539529723,-177.8983487517916,66.63203329725971,1.8318740569029652,1.9696755471536667,-0.13780149025070146,,0.07599760695663468
2,2021,10,06,34,Y,N,2,individual1xindividual3,2,599.7304210526315,408.9321052631579,1226.6973684210527,326.0348421052631,-3.2485334060539954,-0.4295194982274339,3.276805805904024,-172.2387957626057,120.81034783041778,2.593537701090719,1.973273814226691,0.620263886864028,,0.07599760695663468
3,2021,10,06,34,Y,N,2,individual1xindividual3,3,,,1219.4695789473685,308.90836842105256,,,,,,,2.436198388792083,,,0.07599760695663468
4,2021,10,06,34,Y,N,2,individual1xindividual3,4,,,,,,,,,,,,,,0.07602304028259317
5,2021,10,06,34,Y,N,2,individual1xindividual3,5,1075.7848421052631,352.756,,,,,,,,0.9718881072959952,,,,0.07623922355324034
6,2021,10,06,34,Y,N,2,individual1xindividual3,6,1116.681894736842,302.0052631578947,1052.3125263157895,275.2378947368421,0.3335200436323972,-0.13869102808835554,0.3612074483960168,-26.324625890583476,80.1964193444849,1.940483464763231,3.0163952376267518,-1.0759117728635204,-0.4706937194145955,0.1768311322705981
7,2021,10,06,34,Y,N,2,individual1xindividual3,7,1134.0605789473684,268.5353684210527,1000.6096315789473,282.9655263157894,0.6914556858467412,0.07476765748568315,0.6954862817451425,5.9487444443376685,43.807972077591685,2.323102658037166,2.6962995623044215,-0.3731969042672551,,0.32605484990734057
