,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Sync
0,2022,06,10,08,N,N,0,individual2xindividual1,0,-4.535904900202609,0.3550403221511112,4.5497787741861915,175.54084421099844,42.18542881519334,1.731009692237215,1.5133097620587486,0.21769993017846614,0.24175760918146172
1,2022,06,10,08,N,N,0,individual2xindividual1,1,-4.238026440289874,0.17360866807740485,4.241580846598079,120.85006722425742,22.96907424152232,3.4989708611505543,1.7914535262882798,1.7075173348622734,0.3039539246259837
2,2022,06,10,08,N,N,0,individual2xindividual1,2,-3.5127827956691435,-0.1276457333779316,3.5151011938205583,-139.84557256188623,119.97617984447928,4.159275444399557,1.149622512476004,3.0096529319235534,0.3402351086352883
3,2022,06,10,08,N,N,0,individual2xindividual1,3,-2.7654305596685815,-0.33027722577421936,2.7850833427770163,-173.0913759707133,150.05632214676532,0.8547961679445591,1.6306397720618875,-0.7758436041173283,0.4614526843402926
4,2022,06,10,08,N,N,0,individual2xindividual1,4,-1.68110274332305,-0.26511957497826893,1.701879790891514,-170.75123443762325,165.88540018616627,2.14699826922541,2.979046203981192,-0.8320479347557822,0.6106302448658489
5,2022,06,10,08,N,N,0,individual2xindividual1,5,-0.05680910000724366,-0.22244528174107756,0.2295847930776348,-96.26532401098876,165.3503866854446,2.2317217815496435,2.910766170704936,-0.6790443891552932,0.6677810423580569
6,2022,06,10,08,N,N,0,individual2xindividual1,6,1.4556051545029995,-0.10404069045924802,1.4593186187693687,-5.16954460580184,160.1415746637745,2.4419760338617453,2.3832177243177672,0.05875830954397818,0.7757784555091823
7,2022,06,10,08,N,N,0,individual2xindividual1,7,3.020555831705285,-0.09633987464207816,3.0220918093093823,-1.892148466209959,162.1439857474404,2.838584742572153,2.6542299034051346,0.18435483916701825,0.6485955484804509
0,2022,06,10,08,N,N,0,individual1xindividual3,0,7.232319029014051,-1.4769204719404059,7.38158063140107,-11.54302365654719,146.9617579358619,1.5133097620587486,1.4050470162914048,0.10826274576734388,0.5808016816191138
1,2022,06,10,08,N,N,0,individual1xindividual3,1,7.244399745619715,-1.6095687412649986,7.421053780103765,-12.524234530460777,101.24018640996454,1.7914535262882798,2.207244139913841,-0.4157906136255614,0.5808016816191138
2,2022,06,10,08,N,N,0,individual1xindividual3,2,7.266702885519817,-1.6679118759533935,7.455662334921587,-12.924979135692245,66.36185574326261,1.149622512476004,1.7409510666125827,-0.5913285541365785,0.5808016816191138
3,2022,06,10,08,N,N,0,individual1xindividual3,3,7.060059143016472,-2.076975393594368,7.359229707550035,-16.409866251150465,68.91590079576596,1.6306397720618875,2.109077975194561,-0.4784382031326735,0.656786279489516
4,2022,06,10,08,N,N,0,individual1xindividual3,4,6.294305947550578,-2.5890745023046557,6.805996924760889,-22.419088937549294,87.85880703000568,2.979046203981192,1.5280106720441136,1.4510355319370787,0.8394387172882619
5,2022,06,10,08,N,N,0,individual1xindividual3,5,5.321118415393522,-3.1226437217310856,6.16970056027897,-30.464372558889924,93.56078409670687,2.910766170704936,1.5909531477931906,1.319813022911746,0.6980619769846426
6,2022,06,10,08,N,N,0,individual1xindividual3,6,4.473779757925949,-3.715924094735616,5.815737029841074,-39.73942115661909,100.61273774543386,2.3832177243177672,1.3388029191932755,1.0444148051244917,0.499170221957844
7,2022,06,10,08,N,N,0,individual1xindividual3,7,3.7859078046571413,-4.191210039116427,5.647950026102761,-47.925751634885565,86.79621561078267,2.6542299034051346,1.5118553868216027,1.142374516583532,0.6185028974968096
8,2022,06,10,08,N,N,0,individual1xindividual3,8,3.082757280410587,-4.341706246031965,5.324829159396333,-54.69542933497024,53.280187234032766,2.8924785863755207,0.573434695559564,2.3190438908159563,0.9595330494428409
9,2022,06,10,08,N,N,0,individual1xindividual3,9,2.3945073901973046,-4.303054422587115,4.924423113975488,-60.91755736095438,51.77127009542692,2.448794397298625,1.128750297321479,1.3200440999771463,0.967121398649934
10,2022,06,10,08,N,N,0,individual1xindividual3,10,1.5945290512696644,-4.30255232229199,4.588516032597373,-69.7301091293208,89.9002980769033,2.1423642814768473,1.3700689028654283,0.7722953786114187,0.9877554166352637
0,2022,06,10,08,N,N,0,individual1xindividual4,0,2.9753451590515914,-4.543218179395357,5.430792782005239,-56.80710811918161,149.17575632185853,1.5133097620587486,0.8001261078258225,0.7131836542329262,0.800369604095532
1,2022,06,10,08,N,N,0,individual1xindividual4,1,2.480882264431927,-4.438414125049801,5.084712062193343,-60.78630038699157,156.74069895752444,1.7914535262882798,0.9228085472022984,0.8686449790859813,0.800369604095532
2,2022,06,10,08,N,N,0,individual1xindividual4,2,2.1978429207074925,-4.0446457104751845,4.603224133948872,-61.51969010214991,90.77949025075966,1.149622512476004,0.9035482642250552,0.246074248250949,0.800369604095532
3,2022,06,10,08,N,N,0,individual1xindividual4,3,2.0644117469257055,-3.889356281830824,4.403281520396094,-62.045353008390606,68.49216564804789,1.6306397720618875,1.3788340672895278,0.2518057047723597,0.8343151299573118
4,2022,06,10,08,N,N,0,individual1xindividual4,4,1.2674260614091903,-3.8377244635697183,4.041595956973024,-71.9402861751424,74.93245603662344,2.979046203981192,1.5962104051189392,1.3828357988622533,0.8631121020061154
5,2022,06,10,08,N,N,0,individual1xindividual4,5,0.18771388103567294,-3.9102228443987337,3.91472594110893,-87.22946435031713,106.21944534868427,2.910766170704936,0.9237999820097054,1.986966188695231,0.43807923156617806
6,2022,06,10,08,N,N,0,individual1xindividual4,6,-0.5073913957040838,-4.047448072181204,4.07912759366974,-97.10145992299861,81.87715840535036,2.3832177243177672,0.702836436946769,1.680381287370998,0.575511953210642
7,2022,06,10,08,N,N,0,individual1xindividual4,7,-1.282800945430742,-4.116870352706306,4.312099229678064,-107.24869580261552,82.85826184641284,2.6542299034051346,0.35165660960142975,2.302573293803705,0.7995866998839187
8,2022,06,10,08,N,N,0,individual1xindividual4,8,-2.2188698233132924,-4.168718827463217,4.722456982891074,-117.96602720106151,83.62302592898386,2.8924785863755207,1.636489343902248,1.2559892424732726,0.9095876020590932
9,2022,06,10,08,N,N,0,individual1xindividual4,9,-2.827268610346503,-4.158379497793347,5.028475697735716,-124.12711388052072,61.839641706802546,2.448794397298625,1.2928332048849387,1.1559611924136863,0.9900598882967232
10,2022,06,10,08,N,N,0,individual1xindividual4,10,-3.8103360731854634,-4.077830539076082,5.580982251901537,-132.99853888355574,114.52249604120077,2.1423642814768473,1.0253133897881037,1.1170508916887432,0.9984305086784299
0,2022,06,10,08,N,N,0,individual1xindividual5,0,4.764979095916706,-1.7821259468688213,5.087337090760379,-20.580658645974086,37.75716144198216,1.5133097620587486,1.8909210687632083,-0.3776113067044598,0.503381501752264
1,2022,06,10,08,N,N,0,individual1xindividual5,1,3.8175180319189734,-1.6644127322764692,4.164578450142407,-23.52197213865025,87.99774758599547,1.7914535262882798,1.5702174769617179,0.2212360493265619,0.503381501752264
2,2022,06,10,08,N,N,0,individual1xindividual5,2,3.023062434221179,-1.227830806219321,3.26289364979928,-22.109578069544845,153.43520592447686,1.149622512476004,1.1683248915672186,-0.01870237909121475,0.503381501752264
3,2022,06,10,08,N,N,0,individual1xindividual5,3,2.3449829534317903,-1.045172390444974,2.567358638296205,-24.13858601074594,170.7327479292881,1.6306397720618875,0.9908503251530074,0.6397894469088803,0.5557138946023741
4,2022,06,10,08,N,N,0,individual1xindividual5,4,1.329166775410332,-1.1205660880083343,1.7384914939248344,-41.353834482618694,168.20641956750248,2.979046203981192,1.5708057430950908,1.4082404608861012,0.6211127759429452
5,2022,06,10,08,N,N,0,individual1xindividual5,5,-0.0024971651192221087,-1.4264905693942593,1.426492755118087,-89.31773139275822,155.78042933623982,2.910766170704936,1.2899156736895272,1.6208504970154092,0.45917846630787507
6,2022,06,10,08,N,N,0,individual1xindividual5,6,-1.1716104200044313,-1.7454158885946445,2.102176871821587,-123.18473204088116,162.41369056514546,2.3832177243177672,1.2787006808150818,1.1045170435026854,0.38445242411202113
7,2022,06,10,08,N,N,0,individual1xindividual5,7,-2.2567340236026125,-1.9805471120168052,3.0025681201604306,-138.41666082298886,158.44857388843818,2.6542299034051346,1.1784702841991719,1.4757596192059634,0.3834244972132558
