,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X,Y,Z,Yaw Heading,Pitch Heading,Speed,TB_Frequency,Fish_Length
0,2021,10,06,34,Y,N,2,individual1,0,0.04585713741272409,0.15554506996588274,0.06563569303062604,-163.40613201915193,114.34696732273817,2.949592193658183,7.578947368421052,0.12542295660253347
1,2021,10,06,34,Y,N,2,individual1,1,0.048210323430450085,0.1490304951975885,0.06805187082080574,-164.0153543648407,97.41349426091335,4.065970502406084,3.6992481203007515,0.11784025332597145
2,2021,10,06,34,Y,N,2,individual1,2,0.0642076120232359,0.14160737942774917,0.18405349275672214,-110.84868929726294,23.196191123384942,8.656358891688924,5.192392746572312,0.26636715280070916
3,2021,10,06,34,Y,N,2,individual1,3,,,,,,,1.1764705882352942,
4,2021,10,06,34,Y,N,2,individual1,4,,,,,,,1.1764705882352942,
5,2021,10,06,34,Y,N,2,individual1,5,0.2563576173437008,0.16676762393193292,0.11142884376357612,47.23169532220247,116.3754233079996,3.1394312062409875,3.106295149638803,0.13140533190203776
6,2021,10,06,34,Y,N,2,individual1,6,0.27161448294587615,0.1847027232360367,0.09362552473316689,104.02939482202996,123.27651697526208,3.810741999413691,1.1904761904761907,0.19865398777676643
7,2021,10,06,34,Y,N,2,individual1,7,0.27736038066040886,0.19387022516155955,0.07257592604118376,145.59131955260955,123.92757587087667,2.786591699036669,1.0714285714285716,0.29303377531253166
8,2021,10,06,34,Y,N,2,individual1,8,0.2670580701900699,0.20907306663331812,0.07152897574835523,157.1505117506698,95.96719050712858,3.2995809378658443,1.0714285714285716,0.3345460944404875
9,2021,10,06,34,Y,N,2,individual1,9,0.24795465205948322,0.2217943805073353,0.06468456770362818,168.0332314516936,108.05859353546667,3.3459545297718547,3.6672325976230904,
10,2021,10,06,34,Y,N,2,individual1,10,,,,,,,0.9677419354838711,
11,2021,10,06,34,Y,N,2,individual1,11,,,,,,,0.9677419354838711,
12,2021,10,06,34,Y,N,2,individual1,12,,,,,,,2.9687121028377392,
13,2021,10,06,34,Y,N,2,individual1,13,0.15562779208610553,0.23078289824439616,0.0644947686634377,-170.56638641413176,116.90286509519096,3.6502827931778894,7.0206766917293235,0.2461660971437709
14,2021,10,06,34,Y,N,2,individual1,14,0.13270682104302425,0.22291493327843614,0.06460922558490181,-166.48105203802032,121.93177782431171,3.713333574678393,5.881578947368421,0.2156111787834079
0,2021,10,06,34,Y,N,2,individual2,0,,,,,,,1.0344827586206897,
1,2021,10,06,34,Y,N,2,individual2,1,,,,,,,1.0344827586206897,
2,2021,10,06,34,Y,N,2,individual2,2,,,,,,,1.0344827586206897,
3,2021,10,06,34,Y,N,2,individual2,3,,,,,,,1.0344827586206897,
4,2021,10,06,34,Y,N,2,individual2,4,,,,,,,1.0344827586206897,
5,2021,10,06,34,Y,N,2,individual2,5,0.3324593967599893,0.16399416316515367,-0.30437356608533483,-49.9186869002918,174.9002917155826,2.0371504369296987,7.009477717281711,0.6155328870657677
6,2021,10,06,34,Y,N,2,individual2,6,0.34624398400281836,0.16628785338198937,-0.33377723102799195,-108.28477809096498,176.21528514932027,2.138182471270259,2.2222222222222223,0.6737538764959631
7,2021,10,06,34,Y,N,2,individual2,7,0.349761342529262,0.17129387052992381,-0.3383601258345374,158.5097776343051,158.55844385609458,1.942766159208677,1.525907792737658,0.7101390504632481
8,2021,10,06,34,Y,N,2,individual2,8,0.35331359797185447,0.17461261979707132,-0.34288284772584005,165.22503348568574,143.16912594335696,1.9236596615062151,1.3953488372093021,0.74843189729937
