,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,School_Polar,School_Speed,School_TB_Freq,NND,Area
0,2021,08,03,21,0,Y,N,0,1495.9897673060775,341.3912934662594,0.9179430634263743,0.7522844005408863,0.5020518552695568,1.819507008082175,3.867147066435418,1.2187286777468622,3.092742424085015
1,2021,08,03,21,1,Y,N,0,1480.894708817669,316.8700607196429,0.7449795091110996,0.7669457847869113,0.48691272440953154,2.4482035582795114,2.4788388975312237,1.0430650490976048,2.6273202959144424
2,2021,08,03,21,2,Y,N,0,1464.765836679198,317.22018123593364,0.6646901097959239,0.8104397176703084,0.4426562760056273,5.322365373068863,2.1909307686370783,1.6657619563155621,1.9732822830270367
3,2021,08,03,21,3,Y,N,0,1449.0569183652883,301.44541258706136,0.657296129209559,0.8114689989636158,0.41808288136918637,4.0411008471110454,2.5736012968384587,1.1024891999327096,2.09791838645333
4,2021,08,03,21,4,Y,N,0,1440.0603092145363,324.4119327421053,0.7556932001554756,0.8633544596412539,0.40108281438895615,6.454626675221666,2.7291907279329877,1.7420268794782605,2.4851181041504646
5,2021,08,03,21,5,Y,N,0,1400.219654303885,342.99547378245614,1.0020570355138658,0.9598282542315287,0.4785643585669818,3.922222299731519,2.677916182463396,1.5934579876728912,3.2501184897437123
6,2021,08,03,21,6,Y,N,0,1347.308823621554,356.02971522556396,1.1205470906931527,0.9722354740742614,0.6126466871797398,1.7926254545068983,2.4288341422860715,1.4595040923095777,3.3985833874791407
7,2021,08,03,21,7,Y,N,0,1279.8624458721806,344.8445430230263,1.060054797381845,0.9738518059479626,0.875895687350231,2.5656274234426992,3.277505162623117,0.7071020009176712,3.375995335900928
8,2021,08,03,21,8,Y,N,0,1202.5964449088344,332.7835506421053,1.0209136190774453,0.9725805035983761,0.9301296489339128,2.090768699569753,2.445538021384853,0.6607805914499982,3.091789703901624
9,2021,08,03,21,9,Y,N,0,1140.4875460526316,311.8271052631579,0.9723261848847443,0.9648924896096277,0.8682965629991548,0.9474058105990494,2.4355948265322143,0.7281637591913762,3.3525813013214063
10,2021,08,03,21,10,Y,N,0,1096.5354605263155,284.56992763157893,0.9592102506522346,0.9199653642830774,0.8416276785371151,0.8125859007705434,2.0994536939920327,0.7333771173751868,3.3256058457634334
11,2021,08,03,21,11,Y,N,0,1057.010247056391,289.9803829371241,1.0261626619576667,0.7905236983739015,0.785344379761996,1.884844730780948,2.3660070922858507,1.069683414914616,3.0904473636113123
12,2021,08,03,21,12,Y,N,0,1006.2855758130639,269.64382406588345,1.0673250475902787,0.6465653875929785,0.7945336543761249,1.6096975301253549,2.0462081727539747,0.8628014897721932,3.033839061507008
13,2021,08,03,21,13,Y,N,0,948.7598167293232,246.80377349624058,1.097339172115557,0.4882099834244866,0.8452655863290209,1.2221874652463318,2.392588503375829,0.8121959682342116,2.492298023061729
14,2021,08,03,21,14,Y,N,0,897.649063283208,246.26508364661655,1.0677300961740062,0.4243363451750296,0.7800172396108858,2.5379251348832352,2.267042995140425,0.8065884820849373,2.3575610534327307
15,2021,08,03,21,15,Y,N,0,860.288571521648,265.50514907825817,0.9893617346894986,0.46263316788856407,0.6707422052797933,2.6734553636207052,2.854948145317663,0.9632171675316842,2.6996922928467777
16,2021,08,03,21,16,Y,N,0,843.817162750658,257.23804825986844,0.7995450170955334,0.5999790689109874,0.6464907204085071,0.39860767656588275,2.7357548750536806,0.6673030556439852,2.976750253939708
17,2021,08,03,21,17,Y,N,0,837.1634292475563,259.5026646720865,0.6267311340612853,0.6678663942292119,0.43891212966260085,0.9414521882257498,4.548354757857857,0.8020274877089699,2.1960753216442455
18,2021,08,03,21,18,Y,N,0,823.9765765843044,265.65271792255635,0.5405117838319388,0.7612106066072386,0.37162268485603567,1.433389083940138,5.45189993152076,0.6887253528354127,1.8026566042479104
0,2021,07,07,27,0,N,Y,2,1188.569313075188,387.5263594253133,1.615242494273592,1.0131373104935788,0.14330402975882364,1.7663955745960864,4.369724046185503,1.8793236059902567,8.082859340165967
1,2021,07,07,27,1,N,Y,2,1223.2631192030076,399.3073198263158,1.5411382374675238,1.0079561949728764,0.2533131326590606,1.5910815492809913,2.919934762657792,1.7653597146159639,6.51084176951907
2,2021,07,07,27,2,N,Y,2,1273.9421071428571,400.0429830827067,1.4441663523527313,0.9387447236730608,0.2448674704865435,2.4576090539675435,2.274472892788406,1.2504122958491046,5.848270455740953
3,2021,07,07,27,3,N,Y,2,1311.6892001879698,387.1506851503759,1.3873799401145852,0.8392144949617537,0.38417027009545973,4.281252076254309,3.045535383311275,1.344433667971922,6.086375149325097
