X,Y,Distance
-1280.0,-500.0,91.61271139360997
-1280.0,-450.0,90.45318003131656
-1280.0,-400.0,89.40295794261439
-1280.0,-350.0,88.4659382034815
-1280.0,-300.0,87.64575162423884
-1280.0,-250.0,86.94570464120434
-1280.0,-200.0,86.36871861707537
-1280.0,-150.0,85.91727287209345
-1280.0,-100.0,85.59335384375477
-1280.0,-50.0,85.39841268366102
-1280.0,0.0,85.33333333333326
-1280.0,50.0,85.39841268366102
-1280.0,100.0,85.59335384375477
-1280.0,150.0,85.91727287209345
-1280.0,200.0,86.36871861707537
-1280.0,250.0,86.94570464120434
-1280.0,300.0,87.64575162423884
-1280.0,350.0,88.4659382034815
-1280.0,400.0,89.40295794261439
-1280.0,450.0,90.45318003131656
-1280.0,500.0,91.61271139360997
-1230.0,-500.0,88.51616299360875
-1230.0,-450.0,87.31551981177229
-1230.0,-400.0,86.22709035512628
-1230.0,-350.0,85.25517253776714
-1230.0,-300.0,84.40379138403677
-1230.0,-250.0,83.67662623324256
-1230.0,-200.0,83.07693890471518
-1230.0,-150.0,82.60750571225353
-1230.0,-100.0,82.27055636401424
-1230.0,-50.0,82.06772271186225
-1230.0,0.0,82.0
-1230.0,50.0,82.06772271186225
-1230.0,100.0,82.27055636401424
-1230.0,150.0,82.60750571225353
-1230.0,200.0,83.07693890471518
-1230.0,250.0,83.67662623324256
-1230.0,300.0,84.40379138403677
-1230.0,350.0,85.25517253776714
-1230.0,400.0,86.22709035512628
-1230.0,450.0,87.31551981177229
-1230.0,500.0,88.51616299360875
-1180.0,-500.0,85.4374364992043
-1180.0,-450.0,84.19290020212189
-1180.0,-400.0,83.06356334492018
-1180.0,-350.0,82.05418264103848
-1180.0,-300.0,81.169233361197
-1180.0,-250.0,80.41282374237478
-1180.0,-200.0,79.7886096020117
-1180.0,-150.0,79.29971276394673
-1180.0,-100.0,78.9486471631332
-1180.0,-50.0,78.73725646449441
-1180.0,0.0,78.66666666666674
-1180.0,50.0,78.73725646449441
-1180.0,100.0,78.9486471631332
-1180.0,150.0,79.29971276394673
-1180.0,200.0,79.7886096020117
-1180.0,250.0,80.41282374237478
-1180.0,300.0,81.169233361197
-1180.0,350.0,82.05418264103848
-1180.0,400.0,83.06356334492018
-1180.0,450.0,84.19290020212189
-1180.0,500.0,85.4374364992043
-1130.0,-500.0,82.37853010476826
-1130.0,-450.0,81.08705883870188
-1130.0,-400.0,79.91384249441526
-1130.0,-350.0,78.86415887813388
-1130.0,-300.0,77.94299911545039
-1130.0,-250.0,77.15496671562289
-1130.0,-200.0,76.5041756304117
-1130.0,-150.0,75.99415182177573
-1130.0,-100.0,75.62774329275959
-1130.0,-50.0,75.40704358494776
-1130.0,0.0,75.33333333333326
-1130.0,50.0,75.40704358494776
-1130.0,100.0,75.62774329275959
-1130.0,150.0,75.99415182177573
-1130.0,200.0,76.5041756304117
-1130.0,250.0,77.15496671562289
-1130.0,300.0,77.94299911545039
-1130.0,350.0,78.86415887813388
-1130.0,400.0,79.91384249441526
-1130.0,450.0,81.08705883870188
-1130.0,500.0,82.37853010476826
-1080.0,-500.0,79.34173624966314
-1080.0,-450.0,78.0
-1080.0,-400.0,76.7796269274025
-1080.0,-350.0,75.68648785909176
-1080.0,-300.0,74.72616676907762
-1080.0,-250.0,73.90384142774838
-1080.0,-200.0,73.2241611613119
-1080.0,-150.0,72.69112738154499
-1080.0,-100.0,72.30798326909999
-1080.0,-50.0,72.07711919264747
-1080.0,0.0,72.0
-1080.0,50.0,72.07711919264747
-1080.0,100.0,72.30798326909999
-1080.0,150.0,72.69112738154499
-1080.0,200.0,73.2241611613119
-1080.0,250.0,73.90384142774838
-1080.0,300.0,74.72616676907762
-1080.0,350.0,75.68648785909176
-1080.0,400.0,76.7796269274025
-1080.0,450.0,78.0
-1080.0,500.0,79.34173624966314
-1030.0,-500.0,76.32969423639935
-1030.0,-450.0,74.93404507372537
-1030.0,-400.0,73.66289583109136
-1030.0,-350.0,72.52279335185283
-1030.0,-300.0,71.52000497141415
-1030.0,-250.0,70.66037707859252
-1030.0,-200.0,69.94918790728656
-1030.0,-150.0,69.391001658076
-1030.0,-100.0,68.98953221725417
-1030.0,-50.0,68.7475252079827
-1030.0,0.0,68.66666666666663
-1030.0,50.0,68.7475252079827
-1030.0,100.0,68.98953221725417
-1030.0,150.0,69.391001658076
-1030.0,200.0,69.94918790728656
-1030.0,250.0,70.66037707859252
-1030.0,300.0,71.52000497141415
-1030.0,350.0,72.52279335185283
-1030.0,400.0,73.66289583109136
-1030.0,450.0,74.93404507372537
-1030.0,500.0,76.32969423639935
-980.0,-500.0,73.34545354386705
-980.0,-450.0,71.89189414978888
-980.0,-400.0,70.56596598612933
-980.0,-350.0,69.3749874874864
-980.0,-300.0,68.3260158683678
-980.0,-250.0,67.42567924924619
-980.0,-200.0,66.67999866693332
-980.0,-150.0,66.0942088570886
-980.0,-100.0,65.67258856546538
-980.0,-50.0,65.41831208121745
-980.0,0.0,65.33333333333337
-980.0,50.0,65.41831208121745
-980.0,100.0,65.67258856546538
-980.0,150.0,66.0942088570886
-980.0,200.0,66.67999866693332
-980.0,250.0,67.42567924924619
-980.0,300.0,68.3260158683678
-980.0,350.0,69.3749874874864
-980.0,400.0,70.56596598612933
-980.0,450.0,71.89189414978888
-980.0,500.0,73.34545354386705
-930.0,-500.0,70.39255011086833
-930.0,-450.0,68.87670143089025
-930.0,-400.0,67.49156325875933
-930.0,-350.0,66.24533526554488
-930.0,-300.0,65.14598989960932
-930.0,-250.0,64.2010730266853
-930.0,-200.0,63.41748794912786
-930.0,-150.0,62.80127387243033
-930.0,-100.0,62.35739286118723
-930.0,-50.0,62.08954107666694
-930.0,0.0,62.0
-930.0,50.0,62.08954107666694
-930.0,100.0,62.35739286118723
-930.0,150.0,62.80127387243033
-930.0,200.0,63.41748794912786
-930.0,250.0,64.2010730266853
-930.0,300.0,65.14598989960932
-930.0,350.0,66.24533526554488
-930.0,400.0,67.49156325875933
-930.0,450.0,68.87670143089025
-930.0,500.0,70.39255011086833
-880.0,-500.0,67.47509828735993
