,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Spatial_Auto,Sync
0,2022,09,13,30,N,Y,0,individual1xindividual2,0,4.6615977638396515,-0.3762178892827924,4.676754602504951,-4.6146056762219185,2.918532296734267,0.8170962071627,0.5177719704455432,0.29932423671715686,,0.24892951333834715
1,2022,09,13,30,N,Y,0,individual1xindividual2,1,,,,,,0.7755370958092324,,,,0.3352855703699197
2,2022,09,13,30,N,Y,0,individual1xindividual2,2,2.0606392146168533,0.22858794655031356,2.0732791471784138,6.629324426165772,173.74863091945969,0.6776225331357915,2.014638348394864,-1.337015815259073,-0.9010680936410003,0.3514773310633395
3,2022,09,13,30,N,Y,0,individual1xindividual2,3,1.4036073084265066,0.449319334605945,1.4737711290152997,18.10376303095375,178.5377771113617,0.6725277787961256,1.3327722955118297,-0.660244516715704,-0.847308439643068,0.3084788005076327
4,2022,09,13,30,N,Y,0,individual1xindividual2,4,0.8902187073902372,0.6528112898827378,1.1039256891593332,36.7556267438723,160.63059556507324,0.9783528398812992,1.0904293085133556,-0.1120764686320564,-0.5881356307874251,0.23476703384070677
5,2022,09,13,30,N,Y,0,individual1xindividual2,5,0.3440092718843741,0.8651197163894191,0.9310072517591504,68.26125542221968,159.71546518825994,0.9482347301144902,1.0759722347014176,-0.12773750458692762,-0.7472029298082754,0.44855960610612283
6,2022,09,13,30,N,Y,0,individual1xindividual2,6,-0.15858931006272164,1.0618404690482683,1.073618065689478,98.08989407437423,166.05724573159776,0.7435333806097564,0.7962803291468149,-0.05274694853705858,-0.8867897146764662,0.41562365896794834
7,2022,09,13,30,N,Y,0,individual1xindividual2,7,-0.5737308426506681,1.2013858740114536,1.3313508546145565,115.30360881200959,165.78881084117415,0.7309193415298781,0.89561060129641,-0.16469125976653182,-0.7560785370736922,0.7130979572595921
0,2022,09,13,30,N,Y,0,individual1xindividual3,0,-2.4851355331333513,-0.13096100354513235,2.488583814640675,-176.90484177220324,172.0156452028266,0.8170962071627,0.7533669442268097,0.06372926293589021,,0.7346895294134481
1,2022,09,13,30,N,Y,0,individual1xindividual3,1,-2.9059828197436595,0.059905644941369005,2.9066002193182934,122.01486663116387,166.31594695470517,0.7755370958092324,0.6922140469884038,0.08332304882082849,-0.8671684827470818,0.5570445254408449
2,2022,09,13,30,N,Y,0,individual1xindividual3,2,-3.2822806108535585,0.19769866375784018,3.288229123713377,176.55787707506684,167.2085606554794,0.6776225331357915,0.9614405958290347,-0.2838180626932433,-0.527112303182963,0.4632347167748376
3,2022,09,13,30,N,Y,0,individual1xindividual3,3,-3.53942640878102,-0.22030940158167442,3.546276291492498,-157.5415501053474,94.41807124332213,0.6725277787961256,2.022979544685159,-1.3504517658890332,0.27740056557522835,0.4188124978731153
4,2022,09,13,30,N,Y,0,individual1xindividual3,4,-3.6677679301881647,-0.5325770384510499,3.706232573868249,-171.72790282815677,46.06732034128768,0.9783528398812992,2.0457710311017436,-1.0674181912204446,0.9002593265663623,0.3905293387704093
5,2022,09,13,30,N,Y,0,individual1xindividual3,5,-3.4305593127897462,-0.897155985819471,3.5459309160585972,-165.31423508410148,11.440061895395088,0.9482347301144902,2.409095361855877,-1.460860631741387,0.8831363049886201,0.44642164668908546
6,2022,09,13,30,N,Y,0,individual1xindividual3,6,-3.16803081538042,-1.2416823016089449,3.4026745635351046,-158.57680584331933,9.889417918921106,0.7435333806097564,2.0785945657605667,-1.3350611851508098,0.8625840144088027,0.6680308347515465
