Year,Month,Day,Trial,Ablation,Darkness,Singles,Flow,Frame,Fish,Turn_Dir,Fish_Left,Fish_Right
2021,07,07,14,N,Y,N,0,36,individual2,0,1,6
2021,07,07,14,N,Y,N,0,225,individual2,0,7,0
2021,07,07,14,N,Y,N,0,9,individual3,0,4,3
2021,07,07,14,N,Y,N,0,140,individual3,0,0,6
2021,07,07,14,N,Y,N,0,188,individual5,1,4,1
2021,07,07,14,N,Y,N,0,213,individual5,0,5,0
2021,07,07,14,N,Y,N,0,172,individual6,0,1,3
2021,07,07,14,N,Y,N,0,45,individual7,1,5,2
2021,07,07,14,N,Y,N,0,230,individual7,1,6,1
2021,07,07,14,N,Y,N,0,37,individual8,1,7,0
2021,07,07,14,N,Y,N,0,77,individual8,1,6,1
2021,07,07,18,N,Y,N,2,223,individual1,1,6,1
2021,07,07,18,N,Y,N,2,26,individual2,0,5,2
2021,07,07,18,N,Y,N,2,282,individual5,1,2,3
2021,07,07,18,N,Y,N,2,60,individual6,0,3,4
2021,10,06,34,Y,N,N,2,30,individual1,0,1,4
2021,10,06,34,Y,N,N,2,101,individual1,0,2,5
2021,10,06,34,Y,N,N,2,118,individual2,0,0,7
2021,10,06,34,Y,N,N,2,11,individual3,1,0,7
2021,10,06,38,Y,N,N,0,121,individual2,1,6,1
2021,10,06,38,Y,N,N,0,152,individual2,1,7,0
2021,10,06,38,Y,N,N,0,22,individual4,0,0,7
2021,10,06,38,Y,N,N,0,8,individual6,1,4,2
2021,10,06,38,Y,N,N,0,37,individual6,1,7,0
2021,10,06,38,Y,N,N,0,270,individual6,1,5,2
2021,10,08,15,N,Y,N,0,45,individual1,0,5,1
2021,10,08,15,N,Y,N,0,103,individual1,1,1,5
2021,10,08,15,N,Y,N,0,138,individual1,1,5,2
2021,10,08,15,N,Y,N,0,197,individual1,1,4,0
2021,10,08,15,N,Y,N,0,236,individual1,1,2,4
2021,10,08,15,N,Y,N,0,294,individual1,0,3,3
2021,10,08,15,N,Y,N,0,224,individual3,1,6,0
2021,10,08,15,N,Y,N,0,10,individual4,0,2,4
2021,10,08,15,N,Y,N,0,84,individual4,0,2,4
2021,10,08,15,N,Y,N,0,117,individual4,1,1,6
2021,10,08,15,N,Y,N,0,36,individual5,0,0,6
2021,10,08,15,N,Y,N,0,40,individual5,0,2,4
2021,10,08,15,N,Y,N,0,79,individual5,1,4,3
2021,10,08,15,N,Y,N,0,92,individual5,1,4,3
2021,10,08,15,N,Y,N,0,99,individual5,0,4,3
2021,10,08,15,N,Y,N,0,155,individual5,0,1,6
2021,10,08,15,N,Y,N,0,218,individual5,1,1,4
2021,10,08,15,N,Y,N,0,236,individual5,1,4,2
2021,10,08,15,N,Y,N,0,267,individual5,1,5,0
2021,10,08,15,N,Y,N,0,288,individual5,1,6,0
2021,10,08,15,N,Y,N,0,27,individual6,0,0,6
2021,10,08,15,N,Y,N,0,53,individual6,0,5,2
2021,10,08,15,N,Y,N,0,139,individual6,0,0,7
2021,10,08,15,N,Y,N,0,141,individual6,0,0,7
2021,10,08,15,N,Y,N,0,186,individual6,0,0,5
2021,10,08,15,N,Y,N,0,231,individual6,0,1,5
2021,10,08,15,N,Y,N,0,296,individual6,0,3,3
2021,10,08,15,N,Y,N,0,4,individual7,0,2,4
2021,10,08,15,N,Y,N,0,37,individual7,0,6,0
2021,10,08,15,N,Y,N,0,147,individual7,0,1,6
2021,10,08,15,N,Y,N,0,317,individual7,1,6,0
2021,10,08,15,N,Y,N,0,63,individual8,0,6,1
2021,10,08,15,N,Y,N,0,79,individual8,0,2,5
2021,10,08,15,N,Y,N,0,216,individual8,0,1,5
2021,10,08,15,N,Y,N,0,257,individual8,1,2,3
2021,10,08,15,N,Y,N,0,281,individual8,1,5,1
2021,10,08,15,N,Y,N,0,313,individual8,1,5,1
2021,07,07,17,N,Y,N,2,190,individual1,0,4,3
2021,07,07,17,N,Y,N,2,25,individual2,1,5,2
2021,07,07,17,N,Y,N,2,88,individual2,1,7,0
2021,07,07,17,N,Y,N,2,114,individual2,1,3,2
2021,07,07,17,N,Y,N,2,160,individual2,0,1,6
2021,07,07,17,N,Y,N,2,327,individual3,0,6,0
2021,07,07,17,N,Y,N,2,34,individual4,0,2,5
2021,07,07,17,N,Y,N,2,85,individual4,None,0,7
2021,07,07,17,N,Y,N,2,156,individual5,0,0,7
2021,07,07,17,N,Y,N,2,201,individual5,1,1,6
2021,07,07,17,N,Y,N,2,220,individual5,1,0,6
2021,07,07,17,N,Y,N,2,192,individual6,0,3,3
2021,07,07,17,N,Y,N,2,46,individual7,0,4,3
2021,07,07,17,N,Y,N,2,85,individual7,0,3,4
2021,07,07,17,N,Y,N,2,137,individual7,0,3,3
2021,07,07,17,N,Y,N,2,177,individual7,0,0,7
2021,07,07,17,N,Y,N,2,229,individual7,0,1,5
2021,07,07,17,N,Y,N,2,75,individual8,0,3,4
2021,07,07,17,N,Y,N,2,199,individual8,0,1,6
2021,07,07,17,N,Y,N,2,228,individual8,0,0,6
2021,10,06,39,Y,N,N,0,20,individual4,0,1,6
2021,10,06,39,Y,N,N,0,51,individual4,0,0,7
2021,10,06,39,Y,N,N,0,142,individual5,1,7,0
2021,10,06,39,Y,N,N,0,213,individual5,1,6,1
2021,10,06,39,Y,N,N,0,271,individual7,0,1,6
2021,10,06,39,Y,N,N,0,35,individual8,0,0,7
2021,10,06,39,Y,N,N,0,62,individual8,None,0,7
2021,07,07,16,N,Y,N,2,65,individual1,0,0,7
2021,07,07,16,N,Y,N,2,153,individual5,1,6,0
2021,07,07,16,N,Y,N,2,110,individual6,0,0,7
2021,07,07,16,N,Y,N,2,138,individual6,0,2,5
2021,07,07,16,N,Y,N,2,176,individual6,0,2,4
2021,07,07,16,N,Y,N,2,243,individual7,1,1,5
2021,07,07,16,N,Y,N,2,259,individual7,1,6,1
2021,07,07,16,N,Y,N,2,40,individual8,None,4,2
2021,07,07,16,N,Y,N,2,73,individual8,1,6,1
2021,03,25,12,N,N,N,0,12,individual1,0,0,7
2021,03,25,12,N,N,N,0,30,individual1,0,0,6
2021,03,25,12,N,N,N,0,162,individual2,1,6,0
2021,03,25,12,N,N,N,0,85,individual3,1,7,0
2021,03,25,12,N,N,N,0,7,individual5,0,2,5
2021,03,25,12,N,N,N,0,116,individual7,1,7,0
2021,03,25,12,N,N,N,0,205,individual7,1,5,1
2021,08,03,21,Y,N,N,0,296,individual1,0,0,6
2021,08,03,21,Y,N,N,0,147,individual2,1,3,4
2021,08,03,21,Y,N,N,0,84,individual3,1,5,0
2021,08,03,21,Y,N,N,0,106,individual3,1,6,0
2021,08,03,21,Y,N,N,0,129,individual3,1,7,0
2021,08,03,21,Y,N,N,0,134,individual3,1,7,0
2021,08,03,21,Y,N,N,0,105,individual4,None,2,4
2021,08,03,21,Y,N,N,0,115,individual6,1,5,0
2021,08,03,21,Y,N,N,0,144,individual6,1,7,0
2021,08,03,21,Y,N,N,0,258,individual6,0,3,4
2021,08,03,21,Y,N,N,0,301,individual7,1,2,4
2021,07,07,26,N,Y,N,2,45,individual1,0,4,3
2021,07,07,26,N,Y,N,2,124,individual1,0,0,7
2021,07,07,26,N,Y,N,2,225,individual2,0,1,6
2021,07,07,26,N,Y,N,2,277,individual2,0,1,6
2021,07,07,26,N,Y,N,2,41,individual3,1,5,2
2021,07,07,26,N,Y,N,2,37,individual4,1,5,1
2021,07,07,26,N,Y,N,2,105,individual4,0,5,1
2021,07,07,26,N,Y,N,2,124,individual4,0,4,3
2021,07,07,26,N,Y,N,2,268,individual4,0,0,6
2021,07,07,26,N,Y,N,2,155,individual6,1,1,6
2021,07,07,26,N,Y,N,2,28,individual7,1,5,1
2021,07,07,26,N,Y,N,2,163,individual7,0,2,5
2021,07,07,26,N,Y,N,2,215,individual7,0,2,5
2021,03,25,22,N,N,N,0,153,individual1,0,5,1
2021,03,25,22,N,N,N,0,92,individual2,0,1,5
2021,03,25,22,N,N,N,0,266,individual2,0,2,5
2021,03,25,22,N,N,N,0,247,individual3,1,5,2
2021,03,25,22,N,N,N,0,272,individual3,1,7,0
2021,03,25,22,N,N,N,0,40,individual4,0,0,6
2021,03,25,22,N,N,N,0,89,individual4,0,2,5
2021,03,25,22,N,N,N,0,133,individual4,None,4,3
2021,03,25,22,N,N,N,0,252,individual4,1,5,2
2021,03,25,22,N,N,N,0,266,individual4,1,5,2
2021,03,25,22,N,N,N,0,299,individual4,0,5,2
2021,03,25,22,N,N,N,0,22,individual5,1,6,0
2021,03,25,22,N,N,N,0,183,individual5,1,4,3
2021,03,25,22,N,N,N,0,84,individual7,0,0,6
2021,03,25,22,N,N,N,0,117,individual7,0,1,6
2021,03,25,22,N,N,N,0,134,individual7,0,0,6
2021,03,25,22,N,N,N,0,279,individual7,1,7,0
2021,03,25,22,N,N,N,0,70,individual8,1,1,5
2021,03,25,10,N,N,N,0,82,individual1,0,6,1
2021,03,25,10,N,N,N,0,280,individual1,0,1,6
2021,03,25,10,N,N,N,0,310,individual1,0,0,7
2021,03,25,10,N,N,N,0,43,individual2,0,3,3
2021,03,25,10,N,N,N,0,173,individual2,1,6,1
2021,03,25,10,N,N,N,0,50,individual3,0,1,5
2021,03,25,10,N,N,N,0,255,individual3,0,4,3
2021,03,25,10,N,N,N,0,276,individual3,0,0,7
2021,03,25,10,N,N,N,0,38,individual4,1,0,6
2021,03,25,10,N,N,N,0,59,individual4,1,5,1
2021,03,25,10,N,N,N,0,225,individual4,1,3,4
2021,03,25,10,N,N,N,0,250,individual4,1,6,1
2021,03,25,10,N,N,N,0,55,individual5,1,5,1
2021,03,25,10,N,N,N,0,113,individual5,1,6,0
2021,03,25,10,N,N,N,0,293,individual5,1,7,0
2021,03,25,10,N,N,N,0,343,individual5,1,7,0
2021,03,25,10,N,N,N,0,137,individual6,0,0,6
2021,03,25,10,N,N,N,0,263,individual6,0,0,6
2021,03,25,10,N,N,N,0,70,individual7,1,5,2
2021,03,25,10,N,N,N,0,193,individual7,1,4,3
2021,03,25,10,N,N,N,0,342,individual7,1,5,2
2021,03,25,10,N,N,N,0,45,individual8,1,5,1
2021,03,25,10,N,N,N,0,215,individual8,1,2,4
2020,07,28,29,N,N,N,2,41,individual4,0,7,0
2020,07,28,29,N,N,N,2,91,individual4,0,0,7
2020,07,28,29,N,N,N,2,120,individual6,0,4,3
2020,07,28,29,N,N,N,2,51,individual8,0,0,7
2021,03,25,24,N,N,N,0,218,individual1,1,1,5
2021,03,25,24,N,N,N,0,66,individual3,1,7,0
2021,03,25,24,N,N,N,0,174,individual3,1,0,7
2021,03,25,24,N,N,N,0,104,individual6,1,5,1
2021,03,25,24,N,N,N,0,111,individual7,1,5,1
2021,03,25,24,N,N,N,0,155,individual7,1,6,0
2021,10,08,21,N,Y,N,2,47,individual3,1,4,2
2021,10,08,21,N,Y,N,2,21,individual4,1,2,5
2021,10,08,21,N,Y,N,2,45,individual4,1,2,4
2021,10,08,21,N,Y,N,2,242,individual5,0,1,5
2021,10,08,21,N,Y,N,2,279,individual5,0,2,5
2021,10,08,21,N,Y,N,2,295,individual5,0,0,6
2021,10,08,21,N,Y,N,2,62,individual6,0,3,3
2021,10,08,21,N,Y,N,2,189,individual6,1,3,3
2021,10,08,21,N,Y,N,2,26,individual7,0,3,4
2021,10,08,21,N,Y,N,2,74,individual7,0,1,5
2021,10,08,21,N,Y,N,2,115,individual7,1,2,5
2021,10,08,21,N,Y,N,2,187,individual7,1,5,2
2021,10,08,21,N,Y,N,2,258,individual7,1,6,1
2021,10,08,21,N,Y,N,2,290,individual7,0,5,1
2021,10,08,21,N,Y,N,2,253,individual8,1,3,3
2021,10,06,57,Y,N,N,0,267,individual2,1,4,3
2021,10,06,57,Y,N,N,0,34,individual4,1,7,0
2021,10,06,57,Y,N,N,0,27,individual5,0,0,7
2021,10,06,57,Y,N,N,0,19,individual8,1,5,2
2021,10,06,57,Y,N,N,0,227,individual8,1,6,1
2021,10,06,57,Y,N,N,0,257,individual8,1,6,1
