scorer,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,topbackleftP,topbackleftP,topbackleftP,topbackrightP,topbackrightP,topbackrightP,topfrontleftP,topfrontleftP,topfrontleftP,topfrontrightP,topfrontrightP,topfrontrightP,bottombackleftP,bottombackleftP,bottombackleftP,bottombackrightP,bottombackrightP,bottombackrightP,bottomfrontleftP,bottomfrontleftP,bottomfrontleftP,bottomfrontrightP,bottomfrontrightP,bottomfrontrightP
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,938.114,558.698,1.0,920.423,476.767,1.0,962.4,394.218,1.0,993.974,375.553,0.9990000128746033,1021.774,376.764,0.9950000047683716,1086.056,377.985,0.9940000176429749,1151.809,373.004,1.0,1180.771,358.869,1.0,1713.855,233.905,1.0,1811.652,267.215,0.996999979019165,1911.838,284.669,0.9980000257492065,1949.092,275.712,0.9990000128746033,1056.864,453.794,1.0,1137.189,443.538,1.0,1217.859,456.209,1.0,1246.931,462.755,1.0,1235.496,430.966,1.0,1324.249,435.269,1.0,1404.059,435.862,1.0,1438.198,442.668,1.0,1011.787,233.934,1.0,1092.947,256.618,1.0,1176.108,272.168,1.0,1211.739,269.718,1.0,1316.776,251.355,0.9990000128746033,1398.052,255.116,0.9800000190734863,1492.948,267.483,1.0,1525.586,252.611,1.0,1471.322,346.324,0.9990000128746033,1571.881,353.979,0.9929999709129333,1670.941,349.648,1.0,1701.166,330.35,1.0,242.487,763.343,0.9929999709129333,1979.744,755.591,0.5049999952316284,195.634,76.031,0.9940000176429749,2028.274,140.377,0.6430000066757202,186.433,804.532,0.75,2067.917,788.705,0.4790000021457672,,,,2068.768,84.239,0.7639999985694885
1,945.63,562.194,1.0,921.588,480.808,1.0,962.4,395.467,1.0,993.974,383.318,1.0,1021.774,376.764,0.9950000047683716,1086.221,378.085,0.9860000014305115,1153.432,378.362,0.9990000128746033,1182.273,362.035,1.0,1714.156,233.905,0.9990000128746033,1811.698,267.215,0.996999979019165,1911.838,285.022,0.996999979019165,1949.092,275.824,0.9990000128746033,1056.864,454.16,1.0,1137.189,443.657,0.9990000128746033,1218.01,456.209,1.0,1247.58,466.193,1.0,1236.259,430.966,1.0,1324.249,435.334,1.0,1404.286,435.862,1.0,1438.412,442.668,1.0,1012.035,233.934,1.0,1093.883,256.618,0.9990000128746033,1176.108,275.134,1.0,1211.739,269.99,1.0,1316.776,252.54,0.9929999709129333,1398.284,255.116,0.9269999861717224,1492.948,269.983,1.0,1525.586,262.21,1.0,1471.322,346.588,0.9990000128746033,1571.881,355.077,0.9860000014305115,1670.941,351.814,0.9990000128746033,1702.681,335.143,1.0,243.206,763.353,0.9800000190734863,1979.744,755.809,0.5009999871253967,195.653,76.152,0.9929999709129333,2028.659,140.544,0.1289999932050705,186.532,804.537,0.8019999861717224,2067.928,788.707,0.6430000066757202,,,,2068.866,84.301,0.6460000276565552
2,953.746,563.711,1.0,925.326,482.395,1.0,962.4,395.467,1.0,993.974,383.318,1.0,1021.774,376.764,0.996999979019165,1086.261,378.085,0.9919999837875366,1153.432,380.526,1.0,1182.827,367.071,1.0,1714.365,233.905,0.9990000128746033,1812.368,267.215,0.9980000257492065,1911.838,287.793,0.9980000257492065,1949.382,278.012,1.0,1056.864,454.16,1.0,1137.189,445.02,0.9990000128746033,1218.349,456.209,1.0,1247.58,466.193,1.0,1236.663,430.966,1.0,1324.249,435.334,1.0,1404.582,436.47,1.0,1440.357,442.668,1.0,1012.035,233.934,0.9990000128746033,1093.883,256.618,0.9990000128746033,1176.108,278.038,1.0,1211.739,271.625,1.0,1316.776,252.748,0.9860000014305115,1399.277,255.116,0.8730000257492065,1492.948,269.983,1.0,1525.586,271.511,1.0,1471.322,346.915,0.9990000128746033,1571.881,355.345,0.9800000190734863,1670.941,353.364,1.0,1703.358,340.229,1.0,243.274,763.594,0.9620000123977661,1979.744,755.841,0.5360000133514404,195.758,76.16,0.9929999709129333,2028.67,140.697,0.4480000138282776,186.532,804.537,0.843999981880188,2068.01,788.75,0.7799999713897705,,,,2068.886,84.381,0.703000009059906
3,961.035,564.432,1.0,932.673,486.486,1.0,961.255,395.637,1.0,992.546,383.318,1.0,1021.262,377.122,0.9950000047683716,1086.261,378.085,0.9950000047683716,1153.432,381.567,1.0,1184.34,371.342,1.0,1714.365,232.537,0.9990000128746033,1812.368,264.542,0.9980000257492065,1911.006,290.062,1.0,1949.092,278.649,1.0,1056.598,454.16,1.0,1137.126,447.32,0.9990000128746033,1218.349,451.263,1.0,1247.179,466.193,1.0,1236.434,430.947,1.0,1323.193,435.334,1.0,1404.582,436.47,1.0,1439.806,438.619,1.0,1011.787,233.671,0.9990000128746033,1092.947,255.155,0.9990000128746033,1174.706,280.261,1.0,1209.512,275.785,1.0,1314.856,253.043,0.9919999837875366,1399.277,254.56,0.949999988079071,1492.578,269.983,1.0,1525.245,275.765,1.0,1470.589,346.915,0.9990000128746033,1571.349,355.661,0.9810000061988831,1670.126,356.186,1.0,1704.017,344.853,1.0,243.274,763.446,0.984000027179718,1979.744,755.809,0.28200000524520874,195.758,76.204,0.9919999837875366,2028.659,140.544,0.6190000176429749,186.477,804.719,0.8500000238418579,2068.01,788.75,0.45399999618530273,,,,2068.886,84.469,0.7609999775886536
4,966.909,566.779,1.0,937.309,488.946,1.0,960.529,396.374,1.0,988.585,381.594,1.0,1021.262,377.541,0.996999979019165,1086.261,377.572,0.9940000176429749,1153.489,381.567,1.0,1184.34,377.168,1.0,1714.365,231.695,0.9990000128746033,1812.618,263.137,0.9959999918937683,1910.116,293.708,1.0,1949.009,282.045,0.9990000128746033,1056.108,452.95,1.0,1136.126,448.588,1.0,1218.106,448.209,1.0,1247.179,464.259,1.0,1236.259,429.813,1.0,1322.968,434.451,1.0,1404.582,436.47,1.0,1439.806,432.602,1.0,1009.789,233.559,0.9990000128746033,1092.873,253.701,1.0,1174.209,280.261,1.0,1208.446,284.091,1.0,1309.735,253.259,0.9950000047683716,1399.277,254.421,0.9929999709129333,1490.372,269.566,0.9980000257492065,1522.913,278.171,1.0,1469.842,346.915,0.9990000128746033,1571.086,355.974,0.9800000190734863,1670.12,357.436,1.0,1704.017,347.971,1.0,243.206,763.446,0.9750000238418579,1980.047,755.918,0.3269999921321869,195.653,76.204,0.9940000176429749,2028.659,140.544,0.7580000162124634,186.477,804.723,0.8510000109672546,2068.01,788.75,0.8600000143051147,,,,2068.867,84.301,0.6589999794960022
5,975.244,567.94,1.0,939.479,491.371,1.0,960.018,397.562,1.0,987.226,381.421,1.0,1021.262,378.097,0.9959999918937683,1086.261,377.081,0.9879999756813049,1153.857,381.567,1.0,1184.34,385.718,1.0,1713.512,230.951,0.9959999918937683,1815.815,263.063,0.9950000047683716,1908.272,293.708,1.0,1948.944,286.578,0.9990000128746033,1056.097,452.323,1.0,1136.126,450.77,1.0,1218.349,444.698,1.0,1247.58,458.603,1.0,1236.259,428.486,1.0,1322.805,434.389,1.0,1403.61,436.603,1.0,1439.806,432.034,1.0,1009.297,233.06,0.9990000128746033,1091.268,251.453,1.0,1173.466,280.261,1.0,1207.075,287.434,1.0,1308.547,254.316,0.9940000176429749,1399.203,254.421,0.9750000238418579,1490.091,267.081,0.9990000128746033,1521.262,278.171,1.0,1469.355,347.407,1.0,1571.016,356.136,0.9710000157356262,1670.12,358.385,1.0,1704.889,350.34,1.0,243.183,763.492,0.9850000143051147,1980.047,755.918,0.7519999742507935,195.651,76.209,0.9940000176429749,2028.368,140.694,0.40400001406669617,186.259,804.775,0.8429999947547913,2067.919,788.556,0.7390000224113464,,,,2068.866,84.301,0.796999990940094
6,980.635,570.581,1.0,945.617,494.911,1.0,959.791,399.757,1.0,983.057,378.832,1.0,1021.512,379.477,0.996999979019165,1087.03,377.081,0.984000027179718,1152.96,380.902,0.9990000128746033,1183.529,388.164,1.0,1711.571,230.737,0.996999979019165,1815.815,259.936,0.996999979019165,1904.58,293.708,0.9980000257492065,1948.944,294.73,0.9990000128746033,1056.097,451.614,1.0,1136.126,451.207,1.0,1218.349,442.167,1.0,1247.179,450.358,1.0,1235.47,426.905,1.0,1322.805,433.841,1.0,1403.464,437.201,1.0,1439.42,430.054,1.0,1009.28,233.05,0.9980000257492065,1090.552,249.685,0.9990000128746033,1172.777,278.487,1.0,1203.318,289.979,1.0,1308.505,255.959,0.9959999918937683,1399.203,254.421,0.9850000143051147,1490.091,263.832,0.9990000128746033,1520.18,278.171,1.0,1469.01,347.636,0.9990000128746033,1569.763,356.211,0.9879999756813049,1670.084,358.385,1.0,1704.889,355.13,0.9950000047683716,243.017,763.446,0.9729999899864197,1980.047,755.918,0.6510000228881836,195.589,76.352,0.9940000176429749,2028.368,140.574,0.3240000009536743,186.259,804.81,0.9490000009536743,2067.859,788.55,0.6430000066757202,,,,2068.844,84.133,0.7089999914169312
