,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000
,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,topbackleftP,topbackleftP,topbackleftP,topbackrightP,topbackrightP,topbackrightP,topfrontleftP,topfrontleftP,topfrontleftP,topfrontrightP,topfrontrightP,topfrontrightP,bottombackleftP,bottombackleftP,bottombackleftP,bottombackrightP,bottombackrightP,bottombackrightP,bottomfrontleftP,bottomfrontleftP,bottomfrontleftP,bottomfrontrightP,bottomfrontrightP,bottomfrontrightP
,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1023.671,513.99,1,983.229,585.125,1,949.421,646.826,1,938.774,669.84,1,735.915,250.999,1,803.751,230.408,0.995999992,873.565,232.916,1,898.823,250.193,1,707.294,723.184,0.999000013,629.295,723.245,0.977999985,534.023,720.433,1,507.321,703.748,1,784.001,281.022,0.996999979,853.067,282.089,0.976000011,936.517,292.927,1,965.147,301.841,0.999000013,1020.793,316.237,1,1106.017,299.787,1,1194.101,270.362,0.996999979,1215.483,261.811,0.999000013,1058.552,416.336,1,1142.706,428.814,1,1216.937,447.855,1,1241.771,454.96,1,,,,,,,,,,,,,,,,,,,,,,,,,181.084,76.569,0.167999998,2068.449,84.777,0.142000005,,,,,,,,,,,,,236.569,749.337,0.779999971,2069.236,84.158,0.952000022
1,1024.463,513.99,1,983.652,585.125,1,949.978,646.826,0.996999979,938.774,669.84,1,735.915,253.768,1,804.419,231.696,0.998000026,873.565,232.916,1,898.823,250.193,1,709.527,723.195,0.998000026,630.034,723.475,0.97299999,537.138,722.548,1,507.321,710.839,0.999000013,784.001,281.022,0.999000013,854.502,282.483,0.994000018,936.517,292.927,1,965.147,302.367,0.999000013,1020.793,318.471,1,1106.017,300.775,1,1194.101,270.705,0.994000018,1215.483,261.811,1,1058.552,416.554,1,1142.706,428.814,0.999000013,1216.937,447.946,1,1241.771,454.96,1,,,,,,,,,,,,,,,,,,,,,,,,,181.254,76.595,0.370000005,2068.48,84.785,0.145999998,,,,,,,,,,,,,236.647,749.443,0.80400002,2069.316,84.276,0.981000006
2,1024.69,513.99,1,986.504,585.125,1,949.99,646.826,0.999000013,938.774,669.84,1,735.915,253.944,0.999000013,805.214,232.07,0.994000018,873.565,232.916,1,898.823,250.193,1,712.433,723.334,1,634.858,723.475,0.981000006,537.473,725.628,1,508.672,716.848,0.977999985,784.001,281.022,0.998000026,855.707,282.709,0.99000001,936.517,292.927,1,965.147,302.367,0.999000013,1020.793,318.471,1,1106.017,302.487,0.998000026,1194.101,271.852,0.992999971,1215.483,264.092,1,1058.552,417.275,1,1142.706,428.814,0.994000018,1216.937,447.946,1,1241.771,454.96,1,,,,,,,,,,,,,,,,,,,,,,,,,181.254,76.595,0.224000007,2068.48,84.785,0.115000002,,,,,,,,,,,,,236.749,770.984,0.862999976,2069.351,84.331,0.986999989
3,1025.099,510.617,1,989.859,579.457,1,949.978,642.469,1,937.965,666.416,1,731.456,259.418,1,804.419,232.705,0.992999971,872.979,226.982,1,893.423,239.303,1,713.811,723.334,1,635.568,723.475,0.97299999,538.741,725.835,0.999000013,508.672,725.432,0.976999998,781.015,280.66,0.996999979,855.707,282.483,0.906000018,934.721,291.481,1,962.053,302.367,0.999000013,1012.085,318.673,1,1100.353,302.909,0.995999992,1186.903,275.639,0.998000026,1206.365,264.092,1,1057.385,416.669,1,1139.142,428.493,0.992999971,1212.965,447.946,1,1240.258,453.693,1,1450.028,573.361,0.497000009,,,,1363.490084,472.3817623,1,1330.451236,461.9963043,1,,,,,,,,,,,,,181.369,76.569,0.365999997,2068.48,84.785,0.111000001,,,,,,,,,,,,,236.934,771.202,0.742999971,2069.351,84.276,0.986999989
4,1027.018,507.705,1,992.211,577.015,0.996999979,949.99,639.369,0.999000013,937.965,661.428,1,725.941,260.183,1,803.751,235.391,0.990999997,870.528,224.783,1,890.094,234.414,0.999000013,716.727,724.938,1,635.568,723.388,0.966000021,541.321,725.835,0.999000013,508.672,731.747,0.954999983,777.329,280.329,0.999000013,853.067,282.709,0.754999995,931.784,290.965,1,958.421,301.015,0.999000013,1007.71,318.673,1,1097.431,303.144,0.995999992,1178.246,288.68,1,1200.478,268.058,1,1052.387,416.554,1,1129.272,426.084,0.998000026,1211.01,447.72,1,1238.385,452.228,1,1447.746,573.361,1,,,,1388.442712,474.1236609,1,1346.726,477.711,1,,,,,,,,,,,,,181.329,76.529,0.187000006,2068.48,84.785,,,,,,,,,,,,,,236.802,771.221,0.785000026,2069.351,84.276,0.99000001
5,1028.601,503.121,1,996.386,573.147,0.995999992,951.207,638.607,0.996999979,937.965,655.291,0.998000026,720.453,260.539,1,795.073,235.629,0.984000027,863.277,218.823,0.985000014,878.863,217.89,0.989000022,718.584,727.842,0.999000013,642.492,723.388,0.948000014,554.322,727.067,0.870000005,516.817,732.379,0.964999974,771.46,279.217,0.999000013,852.041,282.709,0.962000012,929.029,289.796,1,956.529,300.931,1,1002.187,320.916,1,1089.716,305.349,0.99000001,1176.529,293.783,0.999000013,1198.853,274.236,1,1046.243,416.554,1,1129.013,425.855,0.977999985,1204.51,445.015,1,1230.908,452.228,1,1443.331,573.361,1,1441.874,529.295,0.883000016,1376.081,470.878,1,1346.726,477.296,1,,,,,,,,,,,,,181.329,76.529,0.25,2068.636,85.024,0.275999993,,,,,,,,,,,,,236.802,771.221,0.927999973,2069.446,84.1,0.930999994
6,1030.092,499.518,1,998.891,569.704,0.990999997,955.003,636.419,0.994000018,938.428,648.247,1,714.008,261.323,1,794.305,235.744,0.97299999,859.262,217.216,0.996999979,878.374,215.294,1,721.478,728.012,0.999000013,642.692,723.388,,555.479,730.934,0.843999982,520.413,737.316,0.998000026,770.971,279.217,0.999000013,852.041,282.792,0.921999991,926.489,289.481,1,947.165,300.312,1,994.705,321.214,1,1080.726,305.628,0.977999985,1169.203,299.129,0.999000013,1196.263,284.125,1,1042.419,416.669,1,1124.631,423.241,0.998000026,1200.413,443.526,1,1229.635,452.228,1,1443.331,580.355,1,1435.713,528.639,0.947000027,1376.081,469.759,1,1346.726,475.667,1,,,,,,,,,,,,,180.945,76.433,0.181999996,2075.308,779.299,0.259000003,,,,,,,,,,,,,236.934,771.221,0.856999993,2069.447,84.1,0.931999981
7,1032.864,496.014,1,1001.79,566.112,0.998000026,963.68,633.353,0.995999992,943.157,645.247,1,710.263,263.201,1,793.341,236.447,0.962000012,852.61,217.216,1,874.204,210.658,1,723.971,728.576,1,649.865,725.157,0.953999996,557.927,732.023,1,521.061,743.122,0.999000013,769.117,279.683,0.996999979,852.041,283.393,0.930000007,923.611,288.12,1,944.884,300.283,1,987.066,324.081,1,1065.258,306.295,0.998000026,1163.487,301.029,0.999000013,1189.97,292.854,1,1040.561,416.218,1,1120.785,422.429,0.998000026,1195.97,443.096,1,1225.043,455.803,1,1442.287,585.039,1,1435.713,528.639,0.853999972,1376.081,468.36,0.999000013,1352.356,475.667,0.999000013,,,,,,,,,,,,,181.329,76.529,0.120999999,2068.73,85.174,0.254000008,,,,,,,,,,,,,236.934,771.117,0.828999996,2069.512,84.1,0.966000021
8,1033.307,492.413,1,1002.125,563.568,0.999000013,963.727,633.3,0.998000026,943.795,644.424,1,705.514,263.215,1,788.837,236.447,0.950999975,848.107,217.216,1,867.857,210.141,1,727.202,729.417,1,652.325,726.105,0.980000019,557.927,732.023,0.999000013,522.974,743.545,0.999000013,764.756,279.683,0.998000026,852.041,283.393,0.833999991,920.589,288.12,1,944.254,295.242,1,980.664,325.944,1,1054.561,306.519,0.976999998,1160.891,302.835,1,1184.842,302.437,1,1037.472,416.04,1,1115.982,420.385,1,1193.463,441.846,1,1221.214,455.803,1,1441.38,589.346,1,1440.169,529.057,0.978999972,1385.251,467.289,1,1359.355,471.223,1,,,,,,,,,,,,,181.329,76.591,0.104999997,2068.733,85.349,0.245000005,,,,,,,,,,,,,236.914,771.117,0.819999993,2069.63,84.214,0.996999979
