,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000
,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,topbackleftP,topbackleftP,topbackleftP,topbackrightP,topbackrightP,topbackrightP,topfrontleftP,topfrontleftP,topfrontleftP,topfrontrightP,topfrontrightP,topfrontrightP,bottombackleftP,bottombackleftP,bottombackleftP,bottombackrightP,bottombackrightP,bottombackrightP,bottomfrontleftP,bottomfrontleftP,bottomfrontleftP,bottomfrontrightP,bottomfrontrightP,bottomfrontrightP
,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,511.065,732.579,0.999539971,465.207,675.24,0.993170023,499.53,601.199,,529.821,587.365,0.999979973,1120.119,455.479,1,1131.321,544.701,0.999989986,1071.904,624.211,1,1045.381,628.914,1,479.096,520.843,0.999930024,527.406,471.598,0.999949992,581.037,431.488,0.999440014,608.702,418.049,0.999490023,724.047,315.113,0.999979973,767.281,255.981,0.999989986,814.629,200.922,1,839.796,186.75,0.999989986,862.627,272.572,0.999779999,941.084,257.523,0.99842,1031.066,249.135,0.999960005,1057.927,255.892,0.999970019,608.231,568.912,0.999859989,693.659,560.235,0.999979973,769.05,572.68,1,798.487,589.161,1,410.6963816,553.8853175,1,479.1411353,580.5547279,1,540.1157485,620.2694516,1,583.9603212,640.2973015,1,895.9737997,601.551013,1,862.8695102,521.3441651,1,813.274,416.043,1,793.4126345,399.0283655,1,256.282,780.731,1,1939.371,133.745,0.218470007,258.629,169.653,0.999949992,1992.329,186.351,0.998660028,122.227,810.761,0.999729991,2115.391,804.456,0.658590019,283.056,100.115,0.995760024,,,
1,521.506,734.012,0.99962002,465.385,677.829,0.999239981,499.53,606.34,0.999870002,529.821,592.262,0.999989986,1120.119,455.479,1,1136.917,544.701,0.999880016,1079.483,624.211,0.999989986,1051.813,628.914,0.999989986,479.914,523.317,0.999970019,527.615,475.207,0.999960005,581.037,431.618,0.999459982,608.702,423.241,0.999870002,724.979,321.74,1,768.134,260.175,0.999989986,814.629,202.057,1,839.796,186.75,1,863.224,273.132,0.999769986,941.384,258.252,0.996399999,1031.366,249.135,0.999960005,1059.116,255.892,0.999970019,608.231,571.675,0.999819994,695.251,561.864,0.998220026,770.263,572.68,0.999989986,799.045,589.161,0.999989986,413.2075322,548.2911346,1,483.8032504,574.7809985,1,541.3386433,615.1361776,1,568.6813814,632.665237,1,899.8214342,600.5823303,1,869.3268275,517.3251169,1,821.229,418.931,1,797.474,395.565,0.999979973,256.584,780.763,1,1946.163,133.806,0.397020012,258.896,169.653,0.999899983,1993.054,186.54,0.999570012,122.277,811.182,0.999880016,2115.391,804.541,0.701120019,283.126,100.155,0.988170028,,,
2,533.193,734.012,0.999949992,468.704,681.921,0.99849999,499.53,611.355,0.999989986,529.821,604.45,0.999939978,1120.119,455.479,1,1140.873,544.701,0.999849975,1090.722,624.715,1,1060.33,631.887,1,479.914,526.751,0.999979973,527.699,478.949,0.999930024,581.037,432.965,0.999790013,608.702,426.119,0.999949992,724.982,325.373,1,768.134,264.139,0.999979973,816.63,205.453,1,839.796,188.914,1,863.224,273.435,0.999939978,941.614,259.297,0.999050021,1031.366,249.135,0.999960005,1060.4,255.892,0.999960005,608.231,572.537,0.999750018,695.283,561.899,0.996450007,770.855,572.68,0.999989986,799.608,589.161,0.999989986,413.3288763,548.6676635,1,490.0158849,576.7988187,0.01,545.1094187,613.8475883,1,567.4797581,634.7698852,1,906.741,608.337,1,871.5037792,514.8453859,1,830.044,419.415,0.999890029,797.474,395.565,0.999029994,256.757,780.798,1,1946.936,777.328,0.525849998,259.019,169.653,0.999970019,1993.054,186.54,0.999530017,122.277,811.455,0.999779999,2115.391,812.374,0.349720001,283.192,100.176,0.993809998,,,
3,538.538,732.579,0.999979973,468.704,681.921,0.999310017,497.714,611.355,0.999989986,523.839,604.45,0.999849975,1119.233,454.271,1,1143.106,543.859,0.999960005,1103.342,624.211,1,1074.285,631.887,1,480.013,530.844,1,527.615,482.134,0.999729991,580.26,434.772,0.999960005,607.927,426.672,0.999970019,724.982,328.727,0.999989986,768.134,270.071,0.999989986,816.63,210.259,0.999989986,835.124,188.914,1,862.627,273.627,0.999899983,941.614,260.72,0.99901998,1031.366,249.135,0.999979973,1060.4,253.35,1,606.778,573.251,0.999890029,695.283,561.899,0.999930024,770.263,571.328,1,799.608,587.993,0.999989986,413.3895484,544.7660624,0.01,486.1474712,574.4582047,0.01,556.2659029,613.6136591,0.01,569.4764706,639.5869402,0.01,912.88,610.786,1,874.429,522.918,0.778069973,835.761,420.77,0.999989986,804.815,396.332,0.999909997,256.584,780.83,1,1946.163,777.831,0.164550006,259.019,169.653,0.999970019,1993.55,186.563,0.998969972,122.298,811.455,0.999790013,2115.391,812.374,0.51752001,283.237,100.176,0.995469987,,,
4,545.588,730.136,0.999830008,468.704,681.921,0.999109983,486.249,614.036,1,514.735,604.45,0.999880016,1116.774,450.376,1,1147.403,543.721,1,1112.071,622.93,1,1082.796,631.887,1,479.4,536.412,1,527.406,484.317,0.999930024,577.479,439.949,0.999759972,605.381,427.666,0.999989986,725.375,332.94,1,767.624,272.634,0.999989986,818.091,216.046,0.999989986,831.721,190.842,1,862.627,273.627,0.999989986,942.207,261.69,0.999849975,1029.899,249.135,0.999989986,1060.4,252.502,0.999979973,606.632,573.598,0.99958998,695.251,562.117,0.999010026,769.05,569.146,1,800.77,579.826,0.999989986,413.987,545.386,0.999970019,484.81,572.926,0.999920011,551.939,608.181,0.999970019,577.646,629.702,0.999800026,916.892,615.711,1,883.467,531.245,0.598749995,847.665,430.943,0.106909998,818.869,396.332,,256.604,781.035,1,1939.38,777.831,0.168290004,259.019,169.653,0.999979973,1993.382,186.608,0.998480022,122.277,811.454,0.999740005,2115.391,812.374,0.508650005,283.237,100.234,0.993279994,,,
5,552.7,728.848,0.99970001,465.964,681.921,0.99831003,478.495,615.523,1,511.946,602.94,0.999989986,1116.143,442.906,1,1150.26,542.424,0.999729991,1120.726,622.5,1,1094.212,635.585,1,479.4,538.381,1,526.359,490.495,0.999530017,575.879,440.998,0.999599993,602.874,428.489,0.999989986,725.476,337.578,1,767.624,278.687,0.999880016,818.58,219.579,1,831.721,193.972,1,862.839,273.627,0.999979973,942.342,262.768,0.999960005,1029.335,248.781,0.999979973,1061.27,245.881,0.999899983,606.431,573.655,0.997179985,693.901,562.194,0.997579992,768.613,568.941,1,800.861,577.221,0.999989986,413.987,543.742,0.999949992,484.762,572.174,0.999779999,550.82,603.418,1,577.646,624.066,0.999909997,924.47,617.255,1,883.467,531.245,0.984449983,854.357,431.157,1,827.755,403.494,0.982010007,256.757,781.686,0.999989986,1939.38,778.031,0.500819981,258.896,169.974,0.999939978,1993.382,186.971,0.971059978,122.229,811.397,0.999830008,2115.651,804.655,0.798709989,283.386,100.234,0.99800998,,,
6,558.402,728.848,0.999899983,465.964,682.107,0.992630005,478.45,617.876,1,502.107,602.377,0.999989986,1114.398,442.54,0.999989986,1151.447,540.412,0.999790013,1132.765,621.787,1,1103.222,637.923,1,478.762,541.291,0.999989986,526.359,496.997,0.999779999,572.642,447.982,0.998480022,596.825,430.702,0.999979973,726.899,341.677,1,767.473,286.125,0.999979973,820.567,225.388,1,831.721,200.115,0.999989986,862.839,273.502,0.999960005,942.342,264.053,0.999670029,1029.335,249.345,0.999989986,1061.571,243.804,0.999849975,605.758,573.787,0.999549985,693.334,563.118,0.999419987,768.613,567.287,1,800.861,572.704,1,413.987,541.707,0.999920011,484.762,572.174,0.999840021,550.82,599.998,1,577.646,619.118,0.999960005,928.037,620.414,1,884.867,532.441,0.982500017,862.98,435.579,1,860.348,409.797,0.998399973,256.604,781.696,0.999989986,1939.28,778.277,0.365990013,258.857,169.974,0.999930024,1993.414,187.102,0.988900006,122.037,811.454,0.999840021,2115.716,804.561,0.744009972,283.386,100.266,0.998300016,,,
