scorer,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000,DLC_resnet50_L8FV4PFeb22shuffle1_100000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,topbackleftP,topbackleftP,topbackleftP,topbackrightP,topbackrightP,topbackrightP,topfrontleftP,topfrontleftP,topfrontleftP,topfrontrightP,topfrontrightP,topfrontrightP,bottombackleftP,bottombackleftP,bottombackleftP,bottombackrightP,bottombackrightP,bottombackrightP,bottomfrontleftP,bottomfrontleftP,bottomfrontleftP,bottomfrontrightP,bottomfrontrightP,bottomfrontrightP
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1177.0,55.625,1.0,1256.0,71.625,1.0,1326.0,77.3125,1.0,1351.0,86.25,1.0,625.5,457.25,1.0,543.5,458.75,1.0,474.5,430.0,1.0,441.25,418.75,1.0,454.25,391.75,1.0,403.25,324.5,1.0,350.25,249.0,1.0,331.0,223.625,1.0,705.0,422.0,1.0,784.0,421.25,1.0,856.5,418.5,1.0,890.5,429.75,1.0,1065.0,400.0,1.0,997.0,367.0,1.0,939.0,335.0,1.0,907.0,320.0,1.0,1087.0,105.1875,1.0,1160.0,159.625,1.0,1224.0,207.75,1.0,1254.0,230.75,1.0,516.5,236.25,1.0,591.5,200.25,1.0,673.0,154.75,1.0,693.5,123.25,1.0,922.0,214.75,1.0,855.0,204.625,1.0,779.5,190.375,1.0,739.5,187.25,1.0,151.375,722.5,1.0,1590.0,699.0,1.0,227.125,113.75,1.0,1618.0,113.3125,1.0,85.375,769.0,1.0,1700.0,740.5,1.0,110.6875,43.1875,1.0,1724.0,59.3125,1.0
1,1177.0,55.625,1.0,1256.0,71.625,1.0,1326.0,77.3125,1.0,1352.0,86.25,1.0,632.0,457.25,1.0,547.5,458.75,1.0,478.75,431.5,1.0,449.75,420.25,1.0,457.0,392.25,1.0,406.75,330.25,1.0,354.5,254.125,1.0,332.5,225.0,1.0,705.0,427.25,1.0,784.0,422.25,1.0,856.5,418.5,1.0,890.5,431.75,1.0,1066.0,400.0,1.0,997.5,368.5,1.0,942.5,335.75,1.0,913.0,320.0,1.0,1087.0,105.1875,1.0,1160.0,159.625,1.0,1224.0,210.25,1.0,1254.0,230.75,1.0,516.5,238.0,1.0,591.5,200.625,1.0,673.0,159.625,1.0,693.5,127.75,1.0,928.5,215.625,1.0,858.5,204.625,1.0,781.0,190.375,1.0,744.5,187.625,1.0,151.375,722.5,1.0,1590.0,699.0,1.0,227.125,113.75,1.0,1618.0,113.3125,1.0,85.375,769.0,1.0,1700.0,740.5,1.0,110.6875,43.1875,1.0,1724.0,59.3125,1.0
2,1177.0,55.65625,1.0,1256.0,71.625,1.0,1326.0,77.3125,1.0,1352.0,86.25,1.0,638.0,457.25,1.0,553.0,459.75,1.0,483.0,432.25,1.0,455.75,421.0,1.0,461.5,400.75,1.0,411.0,338.0,1.0,360.5,263.0,1.0,337.0,230.625,1.0,705.0,427.5,1.0,784.0,422.75,1.0,856.5,418.5,1.0,890.5,431.75,1.0,1068.0,400.0,1.0,1000.5,370.5,1.0,943.5,336.5,1.0,922.0,322.25,1.0,1087.0,105.1875,1.0,1160.0,159.625,1.0,1224.0,210.25,1.0,1254.0,230.75,1.0,516.5,239.375,1.0,591.5,202.375,1.0,673.0,161.375,1.0,693.5,131.5,1.0,929.5,216.625,1.0,861.5,206.125,1.0,785.0,190.625,1.0,746.0,187.625,1.0,151.375,722.5,1.0,1590.0,699.0,1.0,227.125,113.75,1.0,1618.0,113.3125,1.0,85.375,769.0,1.0,1700.0,740.5,1.0,110.6875,43.1875,1.0,1724.0,59.3125,1.0
3,1175.0,55.625,1.0,1251.0,71.4375,1.0,1324.0,76.125,1.0,1351.0,83.4375,1.0,638.0,455.5,1.0,555.5,461.75,1.0,487.5,441.5,1.0,461.25,421.0,1.0,462.75,405.0,1.0,418.75,346.0,1.0,362.0,264.75,1.0,344.75,236.5,1.0,700.5,427.25,1.0,779.0,422.75,1.0,855.5,416.75,1.0,889.0,429.75,1.0,1071.0,400.0,1.0,1004.5,373.0,1.0,946.0,338.0,1.0,923.5,320.0,1.0,1085.0,102.875,1.0,1157.0,157.875,1.0,1220.0,208.625,1.0,1253.0,228.125,1.0,514.0,241.125,1.0,589.0,203.125,1.0,671.5,163.75,1.0,693.5,138.0,1.0,931.0,216.625,1.0,862.0,206.125,1.0,787.0,190.375,1.0,747.5,187.25,1.0,151.375,722.5,1.0,1590.0,699.0,1.0,227.125,113.75,1.0,1618.0,113.3125,1.0,85.375,769.0,1.0,1700.0,740.5,1.0,110.6875,43.1875,1.0,1724.0,59.3125,1.0
4,1171.0,55.40625,1.0,1249.0,71.4375,1.0,1321.0,75.75,1.0,1350.0,81.6875,1.0,646.0,454.0,1.0,559.5,461.75,1.0,490.0,447.0,1.0,469.75,424.25,1.0,466.5,405.25,1.0,419.0,346.5,1.0,362.25,268.75,1.0,345.25,243.25,1.0,700.0,427.25,1.0,776.5,424.25,1.0,850.5,416.5,1.0,882.0,426.25,1.0,1073.0,400.0,1.0,1006.0,373.0,1.0,946.5,340.0,1.0,923.5,320.0,1.0,1082.0,99.25,1.0,1156.0,156.5,1.0,1219.0,207.75,1.0,1251.0,225.0,1.0,511.0,244.5,1.0,585.0,203.75,1.0,669.0,167.375,1.0,693.5,140.5,1.0,933.0,216.625,1.0,863.0,206.125,1.0,789.0,190.375,1.0,748.0,186.125,1.0,151.375,722.5,1.0,1590.0,699.0,1.0,227.125,113.75,1.0,1618.0,113.3125,1.0,85.375,769.0,1.0,1700.0,740.5,1.0,110.6875,43.1875,1.0,1724.0,59.3125,1.0
5,1169.0,54.125,1.0,1245.0,71.0625,1.0,1320.0,75.0625,1.0,1345.0,80.5,1.0,653.0,454.0,1.0,571.5,461.75,1.0,494.5,456.25,1.0,471.5,432.25,1.0,471.5,409.0,1.0,425.75,352.25,1.0,364.25,277.25,1.0,348.0,247.25,1.0,696.0,424.25,1.0,775.0,426.0,1.0,846.0,415.5,1.0,882.0,425.75,1.0,1075.0,400.0,1.0,1008.5,374.0,1.0,947.0,341.5,1.0,927.0,322.25,1.0,1080.0,99.25,1.0,1153.0,152.5,1.0,1216.0,205.25,1.0,1247.0,222.375,1.0,510.25,245.625,1.0,583.5,203.875,1.0,666.0,170.75,1.0,696.5,146.5,1.0,936.5,216.5,1.0,866.5,206.125,1.0,792.5,192.375,1.0,754.0,182.875,1.0,151.375,722.5,1.0,1590.0,699.0,1.0,227.125,113.75,1.0,1618.0,113.3125,1.0,85.375,769.0,1.0,1700.0,740.5,1.0,110.6875,43.1875,1.0,1724.0,59.3125,1.0
6,1165.0,53.125,1.0,1240.0,71.0625,1.0,1317.0,75.0625,1.0,1342.0,78.3125,1.0,657.5,454.0,1.0,573.0,461.75,1.0,500.0,463.25,1.0,473.75,440.5,1.0,474.75,415.25,1.0,426.75,356.5,1.0,365.5,280.0,1.0,355.5,254.375,1.0,694.5,420.25,1.0,770.5,426.25,1.0,839.5,415.5,1.0,879.5,419.25,1.0,1075.0,400.25,1.0,1009.0,374.25,1.0,948.0,346.25,1.0,928.5,323.75,1.0,1075.0,99.25,1.0,1151.0,151.0,1.0,1210.0,203.875,1.0,1246.0,222.0,1.0,510.25,249.125,1.0,579.0,204.25,1.0,665.5,170.875,1.0,697.0,152.125,1.0,939.5,216.5,1.0,869.5,206.75,1.0,793.0,192.5,1.0,760.5,180.75,1.0,151.375,722.5,1.0,1590.0,699.0,1.0,227.125,113.75,1.0,1618.0,113.3125,1.0,85.375,769.0,1.0,1700.0,740.5,1.0,110.6875,43.1875,1.0,1724.0,59.3125,1.0
