scorer,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1123.7764892578125,159.7623748779297,0.9999303817749023,1017.755126953125,176.900634765625,0.9990430474281311,898.626953125,190.90768432617188,0.9992988109588623,858.4574584960938,186.1275634765625,0.9987775683403015
1,1123.7764892578125,159.7662811279297,0.9999340772628784,1017.755126953125,176.97637939453125,0.9990584254264832,898.626953125,190.9529571533203,0.9993403553962708,858.7501831054688,186.1275634765625,0.9989185333251953
2,1123.7764892578125,159.96063232421875,0.9999268054962158,1017.755126953125,177.20603942871094,0.999221920967102,898.626953125,191.1220703125,0.9994335770606995,860.1744384765625,186.1275634765625,0.9988896250724792
3,1122.9293212890625,160.19686889648438,0.9999043941497803,1016.7523193359375,177.2631378173828,0.9995521903038025,898.626953125,191.1220703125,0.9996780157089233,860.2640380859375,185.6708526611328,0.9994845390319824
4,1122.658203125,160.6834259033203,0.9999128580093384,1015.9669189453125,177.2794952392578,0.9996871948242188,898.2216796875,191.70338439941406,0.9998517036437988,860.2640380859375,185.6708526611328,0.999346911907196
5,1121.9632568359375,160.9765167236328,0.9999245405197144,1015.4649047851562,177.416748046875,0.9997418522834778,897.7227783203125,192.16871643066406,0.9996936321258545,860.2640380859375,185.6708526611328,0.9969949722290039
6,1121.360107421875,161.23219299316406,0.9998750686645508,1015.1838989257812,177.46580505371094,0.9997584223747253,897.4368286132812,192.70480346679688,0.9993155002593994,859.1395874023438,190.07215881347656,0.9992302656173706
7,1120.6962890625,161.3830108642578,0.9998168349266052,1015.1826171875,177.46580505371094,0.9997466206550598,897.2901611328125,193.08474731445312,0.9993088245391846,857.237548828125,190.73963928222656,0.9992451667785645
8,1120.31396484375,161.6245880126953,0.9996910095214844,1014.4127807617188,177.46580505371094,0.9997846484184265,896.7296752929688,193.08474731445312,0.9992313385009766,857.237548828125,190.73963928222656,0.9994010925292969
