scorer,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,topbackleftP,topbackleftP,topbackleftP,topbackrightP,topbackrightP,topbackrightP,topfrontleftP,topfrontleftP,topfrontleftP,topfrontrightP,topfrontrightP,topfrontrightP,bottombackleftP,bottombackleftP,bottombackleftP,bottombackrightP,bottombackrightP,bottombackrightP,bottomfrontleftP,bottomfrontleftP,bottomfrontleftP,bottomfrontrightP,bottomfrontrightP,bottomfrontrightP
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1534.649,625.915,0.999949992,1487.466,664.019,0.997969985,1437.863,711.979,0.996490002,1414.816,729.721,0.998740017,1360.483,303.961,1,1292.598,354.548,0.997579992,1240.311,401.22,0.999949992,1214.072,417.352,0.999599993,915.956,708.482,0.999989986,835.467,684.08,0.998090029,747.964,674.186,0.997389972,720.265,678.18,0.999880016,1364.979,639.034,0.999840021,1413.224,566.138,0.997680008,1456.227,491.689,0.993160009,1475.858,462.094,0.999920011,998.794,721.049,0.999840021,1077.881,692.975,0.989960015,1154.109,675.486,0.998709977,1184.026,650.127,0.99970001,958.299,520.024,0.999759972,1022.667,480.981,0.99673003,1084.554,450.444,0.999890029,1115.004,447.368,0.998480022,700.011,123.099,0.983349979,739.666,197.174,0.964749992,775.319,291.281,0.999920011,780.755,330.517,0.999939978,1363.183,229.2,0.999989986,1284.784,228.014,0.998520017,1196.35,228.647,0.999830008,1154.89,229.087,0.999000013,161.854,117.811,0.998570025,2069.17,135.011,0.983770013,243.163,186.458,0.994140029,1909.294,189.268,0.987089992,215.589,844.028,0.999949992,1978.85,811.16,0.939949989,268.629,796.268,0.968699992,1868.669,773.794,0.989679992
1,1546.149,625.915,0.999979973,1495.97,664.019,0.998560011,1446.12,711.979,0.990040004,1423.026,729.721,0.998790026,1366.673,303.961,1,1303.344,354.548,0.999029994,1246.411,401.22,0.997730017,1221.567,417.352,0.99970001,920.642,711.251,0.999989986,837.656,684.949,0.995130002,753.204,674.937,0.999350011,724.773,679.537,0.999880016,1364.979,642.063,0.999469995,1415.602,567.94,0.997720003,1457.197,498.027,0.992619991,1475.858,465.915,0.999989986,998.794,724.695,0.999939978,1077.881,698.072,0.994369984,1154.109,675.486,0.999890029,1184.026,670.036,0.998570025,959.367,522.302,0.999759972,1024.527,482.822,0.996249974,1084.554,451.115,0.999960005,1115.004,449.606,0.999549985,700.011,123.099,0.837890029,740.29,197.174,0.949230015,775.797,291.281,0.999909997,784.207,330.517,0.999409974,1367.773,230.597,0.999989986,1288.934,228.014,0.998880029,1202.283,228.647,0.99980998,1155.529,229.087,0.995549977,162.086,117.843,0.998449981,2069.245,135.109,0.981599987,243.163,186.525,0.985270023,1909.295,189.504,0.985090017,215.613,844.083,0.999920011,1978.863,811.198,0.962469995,268.668,796.618,0.970730007,1868.669,773.81,0.988870025
2,1553.557,625.915,1,1506.843,664.019,0.99958998,1453.476,711.979,0.999109983,1433.149,729.721,0.998880029,1373.319,303.961,1,1306.729,354.548,0.998989999,1253.128,401.22,0.99970001,1227.144,417.352,0.998939991,925.696,711.251,0.999989986,843.932,686.12,0.980499983,757.402,674.987,0.999939978,728.332,680.547,0.999899983,1364.979,647.085,0.999920011,1415.713,575.425,0.995959997,1459.64,498.502,0.999189973,1475.858,467.969,1,998.794,727.851,0.999650002,1077.881,700.313,0.998480022,1154.109,675.511,0.999979973,1184.026,677.04,0.999729991,959.854,524.361,0.999610007,1024.527,486.149,0.997210026,1084.554,452.183,0.999960005,1115.004,449.606,0.999610007,700.011,124.023,0.739099979,740.618,197.174,0.945360005,778.295,291.281,0.999970019,786.889,330.517,0.999800026,1375.254,230.597,1,1292.402,228.014,0.998780012,1205.914,228.647,0.999949992,1162.746,229.087,0.990469992,162.088,117.859,0.998350024,2069.261,135.109,0.97615999,243.163,186.55,0.98168999,1909.331,189.504,0.986570001,215.68,844.231,0.999920011,1978.863,811.244,0.960770011,268.668,796.679,0.96608001,1868.729,773.81,0.986620009
3,1562.404,620.198,0.999979973,1511.637,660.948,0.998849988,1464.607,706.596,0.997640014,1441.882,727.304,0.999679983,1376.513,302.361,1,1314.269,352.256,0.998740017,1258.757,400.931,0.999059975,1232.014,413.973,0.99822998,931.014,710.551,0.999970019,851.317,686.522,0.995880008,764.373,675.619,0.999890029,737.246,680.547,0.999949992,1364.309,648.885,0.999930024,1415.713,583.275,0.997860014,1460.624,501.05,0.992569983,1472.129,468.278,0.999909997,994.717,727.851,0.999759972,1072.3,703.906,0.995679975,1150.216,676,0.999719977,1180.618,677.04,0.999880016,959.367,528.478,0.998740017,1022.667,489.392,0.996490002,1081.653,452.782,0.999279976,1111.722,449.606,0.998690009,698.212,124.023,0.424699992,740.874,185.983,0.919889987,780.403,286.139,0.999740005,786.889,326.32,0.999920011,1383.475,230.597,1,1299.739,228.014,0.998880029,1212.246,227.992,0.999949992,1168.689,223.897,0.996230006,162.088,117.859,0.998340011,2069.311,135.14,0.976819992,242.567,186.525,0.991540015,1909.331,189.525,0.98872,215.68,844.231,0.999930024,1978.85,811.244,0.96262002,268.668,796.679,0.972459972,1868.729,773.794,0.986689985
4,1568.052,617.959,0.999989986,1524.709,656.851,0.99950999,1471.969,702.329,0.999319971,1454.848,726.025,0.999909997,1380.952,300.26,1,1320.027,351.81,0.998090029,1263.706,400.771,0.99545002,1235.882,410.053,0.999849975,935.594,711.251,0.999949992,852.897,687.668,0.998329997,771.641,675.619,0.999960005,740.181,679.537,0.999970019,1363.022,649.406,0.999849975,1415.602,585.859,0.999270022,1462.61,501.72,0.99950999,1470.945,474.669,0.999970019,985.671,727.851,0.999490023,1064.886,706.254,0.999710023,1143.768,676,0.999970019,1171.209,677.04,0.999979973,959.398,531.573,0.999890029,1020.793,491.346,0.995530009,1080.364,453.824,0.999149978,1109.791,445.349,0.997510016,689.292,128.546,0.99861002,741.645,184.818,0.957570016,780.507,285.384,0.999859989,786.889,323.795,0.999989986,1389.463,230.597,1,1301.974,228.985,0.986240029,1217.619,227.97,0.999970019,1174.579,219.548,0.991140008,162.086,117.889,0.99842,2069.311,135.162,0.975269973,242.149,186.458,0.983619988,1909.356,189.349,0.989090025,215.68,844.258,0.999970019,1978.846,811.298,0.966629982,268.712,796.679,0.964579999,1868.796,773.692,0.987290025
5,1578.031,613.473,0.999970019,1526.978,655.586,0.99800998,1482.829,698.75,0.989009976,1459.052,718.454,0.999759972,1386.954,299.133,1,1327.727,347.93,0.997990012,1268.824,398.427,0.998740017,1240.897,408.296,0.999480009,941.487,711.902,0.999989986,857.185,688.616,0.992770016,773.814,675.666,0.999970019,741.45,678.98,0.999970019,1359.897,653.625,0.999469995,1415.602,591.827,0.997300029,1463.549,508.931,0.997229993,1467.036,478.903,0.999989986,,,,1062.72,711.302,0.999140024,1136.019,677.948,0.999909997,1166.057,673.54,0.999819994,959.854,535.118,0.999899983,1020.09,494.062,0.982819974,1080.364,459.368,0.998989999,1101.847,444.906,0.997979999,687.08,129.133,0.999989986,749.093,181.007,0.949209988,781.237,277.586,0.999949992,780.451,316.02,0.999930024,1395.108,227.789,1,1306.892,228.186,0.996360004,1224.279,227.97,0.999960005,1182.271,212.589,0.999909997,162.086,117.859,0.998290002,2069.382,135.239,0.980859995,237.194,181.117,0.990610003,1909.38,189.349,0.985539973,215.663,844.606,0.999960005,1978.846,811.415,0.968840003,268.899,796.679,0.974659979,1869.041,773.552,0.988730013
6,1586.321,610.165,0.999989986,1538.727,649.924,0.999430001,1488.549,695.17,0.999010026,1466.924,716.13,0.999480009,1390.255,297.859,0.999979973,1332.287,347.654,0.99849999,1276.761,397.259,0.996010005,1249.269,406.41,0.999830008,946.767,712.212,0.999949992,860.356,688.988,0.995989978,774.999,675.925,0.999890029,749.136,676.874,1,1356.932,655.401,0.999949992,1417.327,597.824,0.993070006,1465.763,510.436,0.999249995,1467.036,481.724,1,,,,1056.878,713.028,0.998780012,1134.025,679.224,0.999670029,1156.52,673.071,0.997399986,960.058,538.104,0.99962002,1019.126,496.646,0.997690022,1078.325,463.381,0.998629987,1099.887,444.906,0.999119997,682.913,130.317,0.999989986,754.54,178.849,0.927540004,784.277,272.14,0.999289989,778.51,310.547,0.999639988,1402.405,227.789,1,1314.801,228.186,0.996689975,1229.105,227.992,0.999899983,1188.74,210.89,0.999610007,162.088,117.859,0.998589993,2069.382,135.257,0.985809982,237.138,181.117,0.98793,1917.182,189.25,0.986029983,215.663,844.606,0.999970019,1978.816,811.415,0.971050024,268.945,796.679,0.974129975,1869.146,773.52,0.986020029
